use_case,rank,system_name,tier,section,total_score,anti_passed,hard_passed,weighted_score,tiebreaker_score,notes
UC-04 enterprise-coding,1,Mem0 (with AgentOps),T1,Memory observability & monitoring,18.3,True,True,18.3,0,passed
UC-04 enterprise-coding,2,Gemini Enterprise Agent Platform Memory Bank (rebrand of Vertex AI Memory Bank),T1,Platform-provider memory,17.08,True,True,17.08,0,passed
UC-04 enterprise-coding,3,Galileo (galileo.ai),T1,Memory observability & monitoring,17.08,True,True,17.08,0,passed
UC-04 enterprise-coding,4,Snowflake Cortex Search,T1,Vector-database infrastructure,16.56,True,True,16.56,0,passed | R-soft penalty: deployment lacks self-host/VPC
UC-04 enterprise-coding,5,Databricks Vector Search,T1,Vector-database infrastructure,16.56,True,True,16.56,0,passed | R-soft penalty: deployment lacks self-host/VPC
UC-04 enterprise-coding,6,Memgraph,T2,Knowledge-graph platforms,16.34,True,True,16.34,0,passed | R-soft penalty: deployment lacks self-host/VPC
UC-04 enterprise-coding,7,Elasticsearch / OpenSearch,T1,Vector-database infrastructure,16.34,True,True,16.34,0,passed | R-soft penalty: deployment lacks self-host/VPC
UC-04 enterprise-coding,8,Amazon Neptune Analytics,T1,Knowledge-graph platforms,15.9,True,True,15.9,0,passed | R-soft penalty: deployment lacks self-host/VPC
UC-04 enterprise-coding,9,Mem0 Security / OpenMemory,T1,"Memory governance, privacy & safety",15.27,True,True,15.27,0,passed
UC-04 enterprise-coding,10,Zep & Graphiti,T1,Dedicated memory layers,14.8,True,True,14.8,8,passed | R-soft penalty: deployment lacks self-host/VPC
UC-04 enterprise-coding,WL-1,Hindsight (Vectorize),T1,Dedicated memory layers,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-2,Supermemory,T1,Dedicated memory layers,,True,False,,,FALSE-NEGATIVE WATCH: missing=sso_rbac | R-hard failed: sso_rbac missing; audit log / auditable missing
UC-04 enterprise-coding,WL-3,SuperLocalMemory,T1,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-4,Interloom,T1,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-5,Nyne,T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
UC-04 enterprise-coding,WL-6,MemWal (Walrus),T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2"
UC-04 enterprise-coding,WL-7,Jamba (AI21 Labs),T1,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; audit log / auditable missing"
UC-04 enterprise-coding,WL-8,Aleph Alpha PhariaAI / PhariaCatch,T1,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2"
UC-04 enterprise-coding,WL-9,AI Singapore SEA-LION,T2,Dedicated memory layers,,True,False,,,"FALSE-NEGATIVE WATCH: missing=multi_tenancy,sso_rbac | R-hard failed: multi_tenancy missing; sso_rbac missing; compliance lacks SOC 2; audit log / auditable missing"
