system_name,compliance_certs,data_handling,source_url_compliance,source_url_data_handling
Mem0,"SOC 2 Type II, HIPAA-ready","Trains on de-identified/aggregated data (see privacy policy); enterprise controls not publicly detailed",https://mem0.ai/security,https://mem0.ai/privacy-policy
Letta,"no data","no data",https://letta.com/,https://letta.com/
Zep,"SOC 2 Type II, HIPAA (BAA available on Enterprise)","Never trains on customer data; BYOK supported (BYOM/BYOC/BYOC-VPC options available)",https://www.getzep.com/security/,https://www.getzep.com/security/
Pinecone,"SOC 2 Type II, HIPAA (BAA available), ISO 27001, GDPR-compliant","Never trains on customer data (data used only for API call servicing); BYOK supported (CMEK)",https://www.pinecone.io/security/,https://www.pinecone.io/security/
Qdrant,"SOC 2 Type II, HIPAA","Never trains on customer data (Hybrid Cloud: Qdrant has no access to data); self-hostable OSS",https://qdrant.tech/blog/soc-2-type-ii-hipaa/,https://qdrant.tech/documentation/cloud-security/
Weaviate,"SOC 2 Type II, HIPAA (AWS Enterprise Cloud), ISO 27001","Never trains on customer data (customer is sole data controller per GDPR; no training commitments in DPA)",https://weaviate.io/security,https://weaviate.io/dpa
Cognition (Devin),"SOC 2 Type II","Opt-out available (default: no training; Enterprise: never trains); explicit opt-in required",https://trust.cognition.ai/,https://docs.devin.ai/admin/security
Replit,"SOC 2 Type II","Never trains on customer data for Teams/Enterprise (only public Repls used, anonymized; commercial agreement prohibits training on Customer Content)",https://replit.com/products/security,https://replit.com/commercial-agreement
Lovable,"SOC 2 Type II, ISO 27001","Opt-out available (Business/Enterprise: full opt-out in Settings; Free/Pro: opt-out via support contact); DPA prohibits training on Customer Personal Data",https://lovable.dev/security,https://lovable.dev/faq/account/privacy/data-training-ai-models
Augment Code,"SOC 2 Type II, ISO 42001","Never trains on customer data; BAA available for HIPAA; BYOK supported (customer-managed encryption keys)",https://www.augmentcode.com/guides/7-soc-2-ready-ai-coding-tools-for-enterprise-security,https://www.augmentcode.com/guides/7-soc-2-ready-ai-coding-tools-for-enterprise-security
Glean,"SOC 2 Type II, ISO 27001, ISO 42001, HIPAA, GDPR-compliant","Never trains on customer data (zero-retention agreements with all model providers)",https://www.glean.com/security,https://www.glean.com/product/governance
Otter.ai,"SOC 2 Type II, HIPAA (Enterprise with BAA)","Trains on customer data (default — de-identified audio/transcripts used for training; explicit opt-in requested for manual review; class-action filed Aug 2025 re consent)",https://otter.ai/privacy-security,https://otter.ai/privacy-policy
