row_name,validated_verticals,validated_verticals_cite,time_to_running,time_to_running_cite,anti_fit,anti_fit_cite,optimised_for,optimised_for_cite,adjacent_infrastructure,adjacent_infrastructure_cite
Mem0,"healthcare, legal, financial-services, customer support, coding agents (broad horizontal)",https://mem0.ai/customers,<10min (hosted SaaS sign-up) or <1hr (Docker compose self-host),https://docs.mem0.ai/quickstart,no anti-fit explicitly stated,https://docs.mem0.ai/,"developer experience + universal memory layer (model-agnostic, multi-store)",https://mem0.ai/,BYO LLM provider; bundles vector store (Qdrant default) and graph store (Neo4j optional),https://docs.mem0.ai/components/vectordbs/overview
Letta / MemGPT,"consumer / individual, research, agent developers (horizontal)",https://www.letta.com/,"<1hr (Docker compose, OSS) or hosted Letta Cloud",https://docs.letta.com/quickstart,no anti-fit explicitly stated,https://docs.letta.com/,LLM-as-OS paradigm; agent autonomy in managing its own memory,https://www.letta.com/,BYO LLM (OpenAI/Anthropic/local); bundled storage (Postgres/SQLite),https://docs.letta.com/install
Zep & Graphiti,"customer support, healthcare, financial-services, legal",https://www.getzep.com/customers,<10min (Zep Cloud SaaS) or <1hr (Graphiti OSS Docker),https://help.getzep.com/quickstart,no anti-fit explicitly stated,https://help.getzep.com/,temporal correctness + auditable provenance via bi-temporal KG,https://www.getzep.com/,BYO LLM; Graphiti requires Neo4j or FalkorDB,https://github.com/getzep/graphiti
Cognee,"internal IT, knowledge management, research",https://cognee.ai/,<1hr (pip install + Docker for graph store),https://docs.cognee.ai/quickstart,no anti-fit explicitly stated,https://docs.cognee.ai/,typed knowledge graph extraction (ECL pipeline) over RAG,https://cognee.ai/,BYO LLM; bundles Kuzu/Neo4j for graph + LanceDB for vectors,https://docs.cognee.ai/
Hindsight (Vectorize),"knowledge management, RAG-heavy enterprise (horizontal)",https://vectorize.io/,<10min (Vectorize hosted SaaS sign-up),https://vectorize.io/,no data - searched not found,https://vectorize.io/,retrieval engineering + reflection / summarisation as service,https://vectorize.io/,BYO LLM; managed vector store inside Vectorize,https://vectorize.io/
Supermemory,"consumer / individual, knowledge management, RAG agents",https://supermemory.ai/,<10min (hosted SaaS) or <1hr (self-host),https://docs.supermemory.ai/,no anti-fit explicitly stated,https://docs.supermemory.ai/,"multi-channel capture (API, app, browser ext, MCP) + RAG over personal graph",https://supermemory.ai/,BYO LLM; bundled vector + graph,https://docs.supermemory.ai/
Memvid,"consumer / individual, hobbyist agent developers",https://github.com/Olow304/memvid,"<10min (pip install, single-file .mv2 format)",https://github.com/Olow304/memvid,not for multi-tenant / concurrent-write production workloads,https://github.com/Olow304/memvid,simplicity / minimal config (one .mv2 file),https://github.com/Olow304/memvid,fully self-contained — bring nothing,https://github.com/Olow304/memvid
Memobase,"consumer / individual companion AI, voice agents",https://memobase.io/,<10min (hosted SaaS sign-up),https://docs.memobase.io/,no data - searched not found,https://docs.memobase.io/,user-profile + event-timeline (companion-AI persona),https://memobase.io/,BYO LLM; bundled storage,https://docs.memobase.io/
OMEGA,no data - searched not found,https://www.useomega.com/,no data - searched not found,https://www.useomega.com/,no data - searched not found,https://www.useomega.com/,latency (50ms retrieval) over consistency,https://www.useomega.com/,no data - searched not found,https://www.useomega.com/
ByteRover,"coding agents, agent memory (horizontal)",https://byterover.dev/,<10min (hosted SaaS),https://byterover.dev/,no data - searched not found,https://byterover.dev/,agent memory product (no explicit positioning),https://byterover.dev/,BYO LLM provider,https://byterover.dev/
