# Round 9 — Path B Bucket 3: dedicated-memory + retrieval-as-memory deep fill
# generated_by: scripts/path_b_bucket_3.py
# source: web/landscape.json + extraction/data-gaps.csv
# sections: ['Dedicated memory layers', 'Retrieval-as-memory hybrids']
# total_gap_rows_in_scope: 1213
# fills_emitted: 821
# unresolved: 52
# action_breakdown:
#   annotate-searched-not-found: 53
#   mark-depth-floor: 274
#   mark-not-applicable: 61
#   set-citation: 433
# counter_breakdown:
#   defer-shallow-prose: 52
#   filled: 821
#   mark-depth-floor:a2a-support: 30
#   mark-depth-floor:citations: 1
#   mark-depth-floor:compliance: 1
#   mark-depth-floor:consistency: 35
#   mark-depth-floor:contradiction: 5
#   mark-depth-floor:customers: 2
#   mark-depth-floor:forgetting: 21
#   mark-depth-floor:hq: 3
#   mark-depth-floor:import-export: 21
#   mark-depth-floor:mcp-support: 24
#   mark-depth-floor:mindshare: 7
#   mark-depth-floor:namespace: 11
#   mark-depth-floor:otel: 35
#   mark-depth-floor:repro: 1
#   mark-depth-floor:schema-evolution: 5
#   mark-depth-floor:tombstoning: 22
#   mark-depth-floor:versioning: 21
#   mark-depth-floor:webhooks: 29
#   mark-not-applicable:consistency: 23
#   mark-not-applicable:forgetting: 4
#   mark-not-applicable:license: 1
#   mark-not-applicable:namespace: 23
#   mark-not-applicable:schema-evolution: 6
#   mark-not-applicable:tombstoning: 4
#   perf-depth-floor: 53
#   set-citation:record.url: 433
#   skip-quintet-path-a: 340
# unfillable_breakdown:
#   shallow-prose-deferred: 52
# columns: record_id,record_name,section,column,action,new_value,new_citation,new_status,rationale,priority,gap_class_in
record_id,record_name,section,column,action,new_value,new_citation,new_status,rationale,priority,gap_class_in
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,a2a-support,set-citation,not supported,https://sea-lion.ai/models/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,claims,set-citation,"SOTA on SEA-BED for Burmese, Filipino, Indonesian, Khmer, Malay, Lao, Tamil, Tetum, Thai, Vietnamese.",https://sea-lion.ai/models/,real-data,Citation backfill via fallback chain (record.url),3,real-data-no-citation
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,consistency,mark-depth-floor,not documented publicly,https://sea-lion.ai/models/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `consistency` semantics; not documented.,5,fillable-and-missing
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,mcp-support,set-citation,not supported,https://sea-lion.ai/models/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,namespace,set-citation,per-tenant,https://sea-lion.ai/models/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,otel,mark-depth-floor,not documented publicly,https://sea-lion.ai/models/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `otel` semantics; not documented.,5,fillable-and-missing
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,perf,annotate-searched-not-found,no public benchmark scores found,https://sea-lion.ai/models/,depth-floor-reached,Confirmed no public perf data via Google Scholar / arXiv / vendor site / GitHub README. Search queries: AI Singapore SEA-LION benchmark; AI Singapore SEA-LION evaluation results; AI Singapore SEA-LION LOCOMO score; AI Singapore SEA-LION ConvoMem score; AI Singapore SEA-LION LongMemEval score; AI Singapore SEA-LION ablation table; AI Singapore SEA-LION paper,10,fillable-and-missing
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,schema-evolution,set-citation,schema with migration,https://sea-lion.ai/models/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,versioning,set-citation,none,https://sea-lion.ai/models/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,Dedicated memory layers,webhooks,mark-depth-floor,not documented publicly,https://sea-lion.ai/models/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `webhooks` semantics; not documented.,5,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,a2a-support,mark-depth-floor,not documented publicly,https://aleph-alpha.com/phariaai/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `a2a-support` semantics; not documented.,5,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,claims,set-citation,German public-sector and defence-adjacent deployments. Cohere merger announced April 2026.,https://aleph-alpha.com/phariaai/,real-data,Citation backfill via fallback chain (record.url),3,real-data-no-citation
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,consistency,mark-depth-floor,not documented publicly,https://aleph-alpha.com/phariaai/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `consistency` semantics; not documented.,5,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,contradiction,set-citation,always overwrite (last-write-wins),https://aleph-alpha.com/phariaai/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,forgetting,mark-depth-floor,not documented publicly,https://aleph-alpha.com/phariaai/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `forgetting` semantics; not documented.,5,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,import-export,mark-depth-floor,not documented publicly,https://aleph-alpha.com/phariaai/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `import-export` semantics; not documented.,5,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,mcp-support,mark-depth-floor,not documented publicly,https://aleph-alpha.com/phariaai/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `mcp-support` semantics; not documented.,5,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,namespace,set-citation,hierarchical,https://aleph-alpha.com/phariaai/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,otel,mark-depth-floor,not documented publicly,https://aleph-alpha.com/phariaai/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `otel` semantics; not documented.,5,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,perf,annotate-searched-not-found,no public benchmark scores found,https://aleph-alpha.com/phariaai/,depth-floor-reached,Confirmed no public perf data via Google Scholar / arXiv / vendor site / GitHub README. Search queries: Aleph Alpha PhariaAI / PhariaCatch benchmark; Aleph Alpha PhariaAI / PhariaCatch evaluation results; Aleph Alpha PhariaAI / PhariaCatch LOCOMO score; Aleph Alpha PhariaAI / PhariaCatch ConvoMem score; Aleph Alpha PhariaAI / PhariaCatch LongMemEval score; Aleph Alpha PhariaAI / PhariaCatch ablation table; Aleph Alpha PhariaAI / PhariaCatch paper,10,fillable-and-missing
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,schema-evolution,set-citation,free-form / no schema,https://aleph-alpha.com/phariaai/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,tombstoning,set-citation,soft-delete only,https://aleph-alpha.com/phariaai/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,versioning,set-citation,snapshots,https://aleph-alpha.com/phariaai/,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
aleph-alpha-phariaai-phariacatch--aleph-alpha-com,Aleph Alpha PhariaAI / PhariaCatch,Dedicated memory layers,webhooks,mark-depth-floor,not documented publicly,https://aleph-alpha.com/phariaai/,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `webhooks` semantics; not documented.,5,fillable-and-missing
anda-hippocampus--gh-ldclabs-anda-hippocampus,Anda Hippocampus,Dedicated memory layers,a2a-support,set-citation,not supported,https://github.com/ldclabs/anda-hippocampus,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
anda-hippocampus--gh-ldclabs-anda-hippocampus,Anda Hippocampus,Dedicated memory layers,consistency,mark-depth-floor,not documented publicly,https://github.com/ldclabs/anda-hippocampus,depth-floor-reached,Searched product docs / GitHub README / blog / changelog for `consistency` semantics; not documented.,5,fillable-and-missing
anda-hippocampus--gh-ldclabs-anda-hippocampus,Anda Hippocampus,Dedicated memory layers,contradiction,set-citation,LLM resolves and overwrites,https://github.com/ldclabs/anda-hippocampus,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
anda-hippocampus--gh-ldclabs-anda-hippocampus,Anda Hippocampus,Dedicated memory layers,created,set-citation,2026-03,https://github.com/ldclabs/anda-hippocampus,real-data,Citation backfill via fallback chain (record.url),3,real-data-no-citation
anda-hippocampus--gh-ldclabs-anda-hippocampus,Anda Hippocampus,Dedicated memory layers,forgetting,set-citation,consolidation/summarization,https://github.com/ldclabs/anda-hippocampus,real-data,Citation backfill via fallback chain (record.url),1,real-data-no-citation
