system_name,github_url,license_spdx,latest_release_tag,latest_release_date,source_urls
obra/superpowers,https://github.com/obra/superpowers,MIT,v5.1.0,2026-05-04,https://github.com/obra/superpowers/blob/main/LICENSE;https://github.com/obra/superpowers/releases/tag/v5.1.0
modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Custom,2026.1.26,2026-01-27,https://github.com/modelcontextprotocol/servers/blob/main/LICENSE;https://github.com/modelcontextprotocol/servers/releases/tag/2026.1.26
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,AGPL-3.0,v12.7.0,2026-05-06,https://github.com/thedotmack/claude-mem/blob/main/LICENSE;https://github.com/thedotmack/claude-mem/releases/tag/v12.7.0
FoundationAgents/MetaGPT,https://github.com/geekan/MetaGPT,MIT,v0.8.1,2024-04-22,https://github.com/geekan/MetaGPT/blob/main/LICENSE;https://github.com/geekan/MetaGPT/releases/tag/v0.8.1
microsoft/autogen,https://github.com/microsoft/autogen,MIT,python-v0.7.5,2025-09-30,https://github.com/microsoft/autogen/blob/main/LICENSE-CODE;https://github.com/microsoft/autogen/releases/tag/python-v0.7.5
mem0ai/mem0,https://github.com/mem0ai/mem0,Apache-2.0,openclaw-v1.0.11,2026-04-29,https://github.com/mem0ai/mem0/blob/main/LICENSE;https://github.com/mem0ai/mem0/releases/tag/openclaw-v1.0.11
MemPalace/mempalace,https://github.com/MemPalace/mempalace,MIT,v3.3.4,2026-05-01,https://github.com/MemPalace/mempalace/blob/main/LICENSE;https://github.com/MemPalace/mempalace/releases/tag/v3.3.4
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,MIT,1.14.4,2026-04-30,https://github.com/crewAIInc/crewAI/blob/main/LICENSE;https://github.com/crewAIInc/crewAI/releases/tag/1.14.4
run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,v0.14.21,2026-04-21,https://github.com/run-llama/llama_index/blob/main/LICENSE;https://github.com/run-llama/llama_index/releases/tag/v0.14.21
milvus-io/milvus,https://github.com/milvus-io/milvus,Apache-2.0,v2.6.15,2026-04-17,https://github.com/milvus-io/milvus/blob/main/LICENSE;https://github.com/milvus-io/milvus/releases/tag/v2.6.15
agno-agi/agno,https://github.com/agno-agi/agno,Apache-2.0,v2.6.4,2026-04-28,https://github.com/agno-agi/agno/blob/main/LICENSE;https://github.com/agno-agi/agno/releases/tag/v2.6.4
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG,MIT,v1.4.15,2026-04-19,https://github.com/HKUDS/LightRAG/blob/main/LICENSE;https://github.com/HKUDS/LightRAG/releases/tag/v1.4.15
microsoft/graphrag,https://github.com/microsoft/graphrag,MIT,3.0.9,2026-04-13,https://github.com/microsoft/graphrag/blob/main/LICENSE;https://github.com/microsoft/graphrag/releases/tag/3.0.9
qdrant/qdrant,https://github.com/qdrant/qdrant,Apache-2.0,v1.17.1,2026-03-27,https://github.com/qdrant/qdrant/blob/main/LICENSE;https://github.com/qdrant/qdrant/releases/tag/v1.17.1
microsoft/semantic-kernel,https://github.com/microsoft/semantic-kernel,MIT,dotnet-1.75.0,2026-04-29,https://github.com/microsoft/semantic-kernel/blob/main/LICENSE;https://github.com/microsoft/semantic-kernel/releases/tag/dotnet-1.75.0
chroma-core/chroma,https://github.com/chroma-core/chroma,Apache-2.0,1.5.9,2026-05-05,https://github.com/chroma-core/chroma/blob/main/LICENSE;https://github.com/chroma-core/chroma/releases/tag/1.5.9
huggingface/smolagents,https://github.com/huggingface/smolagents,Apache-2.0,v1.24.0,2026-01-16,https://github.com/huggingface/smolagents/blob/main/LICENSE;https://github.com/huggingface/smolagents/releases/tag/v1.24.0
getzep/graphiti,https://github.com/getzep/graphiti,Apache-2.0,v0.29.0,2026-04-27,https://github.com/getzep/graphiti/blob/main/LICENSE;https://github.com/getzep/graphiti/releases/tag/v0.29.0
zai-org/Open-AutoGLM,https://github.com/zai-org/Open-AutoGLM,Apache-2.0,no releases,no data,https://github.com/zai-org/Open-AutoGLM/releases
letta-ai/letta,https://github.com/letta-ai/letta,Apache-2.0,0.16.7,2026-03-31,https://github.com/letta-ai/letta/blob/main/LICENSE;https://github.com/letta-ai/letta/releases/tag/0.16.7
supermemoryai/supermemory,https://github.com/supermemoryai/supermemory,MIT,no releases,no data,https://github.com/supermemoryai/supermemory/blob/main/LICENSE;https://github.com/supermemoryai/supermemory/releases
joonspk-research/generative_agents,https://github.com/joonspk-research/generative_agents,Apache-2.0,no releases,no data,https://github.com/joonspk-research/generative_agents/blob/main/LICENSE;https://github.com/joonspk-research/generative_agents/releases
pgvector/pgvector,https://github.com/pgvector/pgvector,Custom,no releases,no data,https://github.com/pgvector/pgvector/blob/main/LICENSE;https://github.com/pgvector/pgvector/releases
topoteretes/cognee,https://github.com/topoteretes/cognee,Apache-2.0,v1.0.8,2026-05-06,https://github.com/topoteretes/cognee/blob/main/LICENSE;https://github.com/topoteretes/cognee/releases/tag/v1.0.8
stackblitz/bolt.new,https://github.com/stackblitz/bolt.new,MIT,no releases,no data,https://github.com/stackblitz/bolt.new/blob/main/LICENSE;https://github.com/stackblitz/bolt.new/releases
weaviate/weaviate,https://github.com/weaviate/weaviate,BSD-3-Clause,v1.37.2,2026-04-23,https://github.com/weaviate/weaviate/blob/main/LICENSE;https://github.com/weaviate/weaviate/releases/tag/v1.37.2
memvid/memvid,https://github.com/memvid/memvid,Apache-2.0,v2.0.139,2026-03-13,https://github.com/memvid/memvid/blob/main/LICENSE;https://github.com/memvid/memvid/releases/tag/v2.0.139
MemoriLabs/Memori,https://github.com/MemoriLabs/Memori,Apache-2.0,v3.3.3,2026-05-05,https://github.com/MemoriLabs/Memori/blob/main/LICENSE;https://github.com/MemoriLabs/Memori/releases/tag/v3.3.3
BasedHardware/omi,https://github.com/BasedHardware/omi,MIT,v0.11.378+11378-macos,2026-05-06,https://github.com/BasedHardware/omi/blob/main/LICENSE;https://github.com/BasedHardware/omi/releases/tag/v0.11.378+11378-macos
vectorize-io/hindsight,https://github.com/vectorize-io/hindsight,MIT,v0.6.0,2026-05-05,https://github.com/vectorize-io/hindsight/blob/main/LICENSE;https://github.com/vectorize-io/hindsight/releases/tag/v0.6.0
lancedb/lancedb,https://github.com/lancedb/lancedb,Apache-2.0,python-v0.31.0-beta.11,2026-04-29,https://github.com/lancedb/lancedb/blob/main/LICENSE;https://github.com/lancedb/lancedb/releases/tag/python-v0.31.0-beta.11
MemTensor/MemOS,https://github.com/MemTensor/MemOS,Apache-2.0,v2.0.14,2026-04-23,https://github.com/MemTensor/MemOS/blob/main/LICENSE;https://github.com/MemTensor/MemOS/releases/tag/v2.0.14
NVIDIA/Isaac-GR00T,https://github.com/NVIDIA/Isaac-GR00T,Apache-2.0,n1.7-release,2026-04-18,https://github.com/NVIDIA/Isaac-GR00T/blob/main/LICENSE;https://github.com/NVIDIA/Isaac-GR00T/releases/tag/n1.7-release
brianpetro/obsidian-smart-connections,https://github.com/brianpetro/obsidian-smart-connections,Custom,4.5.0,2026-05-05,https://github.com/brianpetro/obsidian-smart-connections/blob/main/LICENSE;https://github.com/brianpetro/obsidian-smart-connections/releases/tag/4.5.0
deepseek-ai/Engram,https://github.com/deepseek-ai/Engram,Apache-2.0,no releases,no data,https://github.com/deepseek-ai/Engram/blob/main/LICENSE;https://github.com/deepseek-ai/Engram/releases
CaviraOSS/OpenMemory,https://github.com/CaviraOSS/OpenMemory,Apache-2.0,v1.2.3,2025-12-12,https://github.com/CaviraOSS/OpenMemory/blob/main/LICENSE;https://github.com/CaviraOSS/OpenMemory/releases/tag/v1.2.3
facebookresearch/jepa,https://github.com/facebookresearch/jepa,CC-BY-NC-4.0,no releases,no data,https://github.com/facebookresearch/jepa/blob/main/LICENSE;https://github.com/facebookresearch/jepa/releases
OSU-NLP-Group/HippoRAG,https://github.com/OSU-NLP-Group/HippoRAG,MIT,v1.0.0,2025-02-27,https://github.com/OSU-NLP-Group/HippoRAG/blob/main/LICENSE;https://github.com/OSU-NLP-Group/HippoRAG/releases/tag/v1.0.0
facebookresearch/ijepa,https://github.com/facebookresearch/ijepa,CC-BY-NC-4.0,no releases,no data,https://github.com/facebookresearch/ijepa/blob/main/LICENSE;https://github.com/facebookresearch/ijepa/releases
danijar/dreamerv3,https://github.com/danijar/dreamerv3,MIT,no releases,no data,https://github.com/danijar/dreamerv3/blob/main/LICENSE;https://github.com/danijar/dreamerv3/releases
Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,MIT,v1.9.4,2026-04-08,https://github.com/Josh-XT/AGiXT/blob/main/LICENSE;https://github.com/Josh-XT/AGiXT/releases/tag/v1.9.4
noahshinn/reflexion,https://github.com/noahshinn/reflexion,MIT,no releases,no data,https://github.com/noahshinn/reflexion/blob/main/LICENSE;https://github.com/noahshinn/reflexion/releases
MemMachine/MemMachine,https://github.com/MemMachine/MemMachine,Apache-2.0,v0.3.7,2026-05-01,https://github.com/MemMachine/MemMachine/blob/main/LICENSE;https://github.com/MemMachine/MemMachine/releases/tag/v0.3.7
memodb-io/memobase,https://github.com/memodb-io/memobase,Apache-2.0,no releases,no data,https://github.com/memodb-io/memobase/blob/main/LICENSE;https://github.com/memodb-io/memobase/releases
kingjulio8238/Memary,https://github.com/kingjulio8238/Memary,MIT,v0.1.5,2024-10-22,https://github.com/kingjulio8238/Memary/blob/main/LICENSE;https://github.com/kingjulio8238/Memary/releases/tag/v0.1.5
