record_id,record_name,column,new_value,citation_url,status,action_taken
browserbase--browserbase-com,Browserbase,import-export,"JSON via REST API (session artifacts: HAR, video, logs, screenshots)",https://docs.browserbase.com/features/sessions,resolved,enriched
cognee-mcp--gh-topoteretes-cognee,Cognee MCP,api-surface,MCP (stdio + SSE); cognify/search/codify tool suite,https://github.com/topoteretes/cognee/tree/main/cognee-mcp,resolved,enriched
mcp-memory-service-doobidoo--gh-doobidoo-mcp-memory-service,mcp-memory-service (doobidoo),import-export,SQLite-vec or ChromaDB backend; JSON export/import via MCP tools,https://github.com/doobidoo/mcp-memory-service#-features,resolved,enriched
mem0-mcp-official--gh-mem0ai-mem0-mcp,Mem0 MCP (official),api-surface,MCP (stdio); add_coding_preference / search_coding_preferences / get_all_coding_preferences,https://github.com/mem0ai/mem0-mcp#available-tools,resolved,enriched
mem0-mcp-official--gh-mem0ai-mem0-mcp,Mem0 MCP (official),import-export,JSON over REST/MCP (add/search/delete memory tools),https://github.com/mem0ai/mem0-mcp#available-tools,resolved,enriched
official-mcp-memory-server--gh-modelcontextprotocol-servers,Official MCP Memory server,api-surface,"MCP (stdio); knowledge-graph tools (create_entities/relations/observations, read/search/delete)",https://github.com/modelcontextprotocol/servers/tree/main/src/memory#tools,resolved,enriched
openmemory-mcp--mem0-ai,OpenMemory MCP,api-surface,MCP (stdio); local server bridges to Mem0 add/search/list/delete,https://mem0.ai/openmemory,resolved,enriched
superpowers-episodic-memory-plugin--gh-obra-episodic-memory,Superpowers episodic-memory plugin,import-export,Local SQLite file; JSONL transcript ingestion,https://github.com/obra/episodic-memory,resolved,enriched
aider--aider-chat,Aider,api-surface,CLI (interactive REPL + /commands); no public REST/SDK,https://aider.chat/docs/usage/commands.html,resolved,enriched
mistral-vibe-remote-agents-mistral-medium-3-5--mistral-ai,Mistral Vibe (Remote Agents) + Mistral Medium 3.5,import-export,JSON via REST (agents API; conversation export),https://docs.mistral.ai/capabilities/agents/agents_basics/,resolved,enriched
openai-codex-cloud-agent--developers-openai-com,OpenAI Codex (cloud agent),api-surface,REST (OpenAI Responses API; Codex CLI wraps it),https://platform.openai.com/docs/api-reference/responses,resolved,enriched
replit-agent--replit-com,Replit Agent,api-surface,Web UI primary; REST (Replit Cloud API) and CLI for project ops,https://docs.replit.com/cloud-services/deployments/about-deployments,resolved,enriched
ai-singapore-sea-lion--sea-lion-ai,AI Singapore SEA-LION,orchestration,agnostic,https://sea-lion.ai/models/,resolved,terminal-as-is
