record_id,record_name,column,new_value,citation_url,status,gap_class_resolved,priority
anthropic-circuit-tracing--transformer-circuits-pub,Anthropic Circuit Tracing,perf,"Successfully traced computational circuits for factual recall, planning, and multi-step reasoning in Claude 3.5 Haiku; open-source library released.",https://transformer-circuits.pub/2025/attribution-graphs/methods.html,real-data,perf-from-claims,10
ibm-meta-tokens--arxiv-2506-00307,IBM Meta-Tokens,perf,27% / 18% average sequence-length reduction on two evaluation tasks; 47% / 33% less encoding compute due to quadratic attention cost.,https://arxiv.org/abs/2506.00307,real-data,perf-from-claims,10
memlong--arxiv-2408-16039,MemLong,perf,Extends context length from 4k to 80k tokens on a single 3090 GPU; up to +10.2 percentage points over OpenLLaMA on retrieval-augmented in-context learning tasks.,https://arxiv.org/abs/2408.16039,real-data,perf-from-claims,10
memlora--arxiv-2512-04763,MemLoRA,perf,Outperforms 10x larger baseline models (Gemma2-27B) and matches 60x larger models (GPT-OSS-120B) on LoCoMo; MemLoRA-V scores 81.3 vs 23.7 on multimodal VQA tasks.,https://arxiv.org/abs/2512.04763,real-data,perf-from-claims,10
memmachine-paper--arxiv-2604-04853,MemMachine (paper),perf,"0.9169 on LoCoMo (gpt-4.1-mini) — above Mem0, Zep, Memobase, LangMem. 93.0% on LongMemEvalS. ~80% fewer input tokens than Mem0 in matched comparisons.",https://arxiv.org/abs/2604.04853,real-data,perf-from-claims,10
memobrain--arxiv-2601-08079,MemoBrain,perf,"Consistent improvements on GAIA, WebWalker, and BrowseComp-Plus.",https://arxiv.org/abs/2601.08079,real-data,perf-from-claims,10
memochat--arxiv-2308-08239,MemoChat,perf,Outperforms strong baselines on consistency metrics for both open-source and API-based chatbots in long-range open-domain conversations (manual expert annotation across three scenarios).,https://arxiv.org/abs/2308.08239,real-data,perf-from-claims,10
memolet--doi-org,Memolet,perf,Within-subjects study with two-phase protocol assessed four design guidelines for reifying conversational memories as reusable units.,https://doi.org/10.1145/3654777.3676388,real-data,perf-from-claims,10
memoria-cognitive--arxiv-2310-03052,Memoria (cognitive),perf,"Outperforms conventional external memory techniques across sorting, language modeling, and classification tasks; ICML 2024 Spotlight.",https://arxiv.org/abs/2310.03052,real-data,perf-from-claims,10
memorizing-transformers--openreview-net,Memorizing Transformers,perf,ICLR 2022; established external-memory transformers; up to 262K-token external memory tested on language modeling and code completion.,https://openreview.net/forum?id=TrjbxzRcnf-,real-data,perf-from-claims,10
memoro--doi-org,Memoro,perf,CHI 2024; N=20 participant study showed reduced device-interaction time and increased recall confidence while preserving conversational quality.,https://doi.org/10.1145/3613904.3642450,real-data,perf-from-claims,10
memory--arxiv-2407-01178,Memory³,perf,2.4B-parameter LLM with explicit memory outperforms much larger LLMs and RAG models while maintaining higher decoding speed than RAG.,https://arxiv.org/abs/2407.01178,real-data,perf-from-claims,10
memory-as-action--arxiv-2510-12635,Memory as Action,perf,MemAct-RL-14B matches accuracy of models 16x larger; 51% average context-length reduction via Dynamic Context Policy Optimization.,https://arxiv.org/abs/2510.12635,real-data,perf-from-claims,10
memory-decoder--arxiv-2508-09874,Memory Decoder,perf,"Average perplexity reduction of 6.17 points across biomedicine, finance, and law domains adapting Qwen and Llama models.",https://arxiv.org/abs/2508.09874,real-data,perf-from-claims,10
memory-layers-at-scale--arxiv-2412-09764,Memory Layers at Scale,perf,Scales product-key memory layers to LLM-relevant sizes (December 2024).,https://arxiv.org/abs/2412.09764,real-data,perf-from-claims,10
memorybank--arxiv-2305-10250,MemoryBank,perf,Works with both proprietary (ChatGPT) and open-source LLMs; SiliconFriend deployment confirms user-personality adaptation and memory recall.,https://arxiv.org/abs/2305.10250,real-data,perf-from-claims,10
memoryllm-original--arxiv-2402-04624,MemoryLLM (original),perf,Effective on model-editing benchmarks and long-context tests; stable after ~1M sequential updates.,https://arxiv.org/abs/2402.04624,real-data,perf-from-claims,10
memp--arxiv-2508-06433,Memp,perf,Steady success-rate gains on TravelPlanner and ALFWorld as memory is refined; procedural memory from stronger models transfers to weaker models. ACL 2025.,https://arxiv.org/abs/2508.06433,real-data,perf-from-claims,10
memreasoner--openreview-net,MemReasoner,perf,+18% on multi-hop QA; generalises to tests where required facts are scattered up to 128K tokens.,https://openreview.net/forum?id=ODcMy97cVZ,real-data,perf-from-claims,10
memrl--arxiv-2601-03192,MemRL,perf,"Significantly outperforms baselines on HLE, BigCodeBench, ALFWorld, and Lifelong Agent Bench using non-parametric episodic-memory RL without parameter updates.",https://arxiv.org/abs/2601.03192,real-data,perf-from-claims,10
memsearcher--arxiv-2511-02805,MemSearcher,perf,"+11% on Qwen2.5-3B-Instruct, +12% on Qwen2.5-7B-Instruct relative average gain; multi-context GRPO end-to-end RL.",https://arxiv.org/abs/2511.02805,real-data,perf-from-claims,10
memtool--arxiv-2507-21428,MemTool,perf,Reasoning LLMs hit 90-94% tool-removal efficiency in Autonomous mode; medium models 0-60% in Autonomous; Workflow and Hybrid stabilise medium-model performance.,https://arxiv.org/abs/2507.21428,real-data,perf-from-claims,10
memverse--arxiv-2512-03627,MemVerse,perf,"Hierarchical KG memory + periodic parametric distillation; targets multimodal reasoning, continual learning, and agent coherence with bounded memory growth.",https://arxiv.org/abs/2512.03627,real-data,perf-from-claims,10
metagpt--arxiv-2308-00352,MetaGPT,perf,More coherent solutions on collaborative software-engineering benchmarks vs prior multi-agent prompting baselines; SOPs reduce cascading hallucinations.,https://arxiv.org/abs/2308.00352,real-data,perf-from-claims,10
mia-memory-intelligence-agent--arxiv-2604-04503,MIA — Memory Intelligence Agent,perf,Superior performance across 11 benchmarks for deep-research agents; alternating-RL paradigm enhances Planner-Executor cooperation.,https://arxiv.org/abs/2604.04503,real-data,perf-from-claims,10
mirix--arxiv-2507-07957,MIRIX,perf,35% higher accuracy than RAG baseline with 99.9% storage reduction on ScreenshotVQA; state-of-the-art 85.4% on LOCOMO.,https://arxiv.org/abs/2507.07957,real-data,perf-from-claims,10
mlp-memory--arxiv-2508-01832,MLP Memory,perf,17.5% and 24.1% scaling gains on WikiText-103 and Web; 12.3% relative improvement on five QA benchmarks; 5.2 pts average gain.,https://arxiv.org/abs/2508.01832,real-data,perf-from-claims,10
