system,section,field,value,source_url,notes
Anthropic Claude Memory,Platform-provider memory,created,2024-09 (Enterprise/Team rollout); 2026-03-02 (all users incl. free),https://www.reworked.co/digital-workplace/claude-ai-gains-persistent-memory-in-latest-anthropic-update/,Memory first available Enterprise/Team Sept 2024; expanded to all free users March 2 2026
Anthropic Claude Memory,Platform-provider memory,funding,Anthropic total $12.4B+ raised; $40B valuation (Series E+ 2025),https://www.anthropic.com/company,Parent company funding — product is bundled into Claude plans
Anthropic Claude Memory,Platform-provider memory,conflict_resolution,manual,https://claudefa.st/blog/guide/mechanics/auto-dream,Auto Dream consolidation is not user-controllable but no cross-fact arbitration documented
OpenAI ChatGPT Memory,Platform-provider memory,created,2024-02-13 (limited rollout); GA broader rollout mid-2024,https://techcrunch.com/2024/02/13/chatgpt-will-now-remember-and-forget-things-you-tell-it-to/,February 13 2024 initial limited rollout to small portion of free and paid users
OpenAI ChatGPT Memory,Platform-provider memory,funding,OpenAI total $57B+ raised; $300B+ valuation (2025),https://openai.com/,Parent company funding — product bundled into ChatGPT plans
OpenAI ChatGPT Memory,Platform-provider memory,conflict_resolution,LLM-arbitrate,https://openai.com/index/memory-and-new-controls-for-chatgpt/,ChatGPT resolves contradictions by updating older memories via LLM inference
Google Gemini Memory,Platform-provider memory,created,2024-11-20 (initial rollout to Gemini Advanced subscribers),https://techcrunch.com/2024/11/19/googles-gemini-chatbot-now-has-memory/,Gemini Advanced ($20/mo Google One AI Premium) only initially; later expanded
Google Gemini Memory,Platform-provider memory,funding,Google/Alphabet public (GOOGL); no separate Gemini funding,https://about.google/,Parent company Google
Google Gemini Memory,Platform-provider memory,conflict_resolution,LLM-arbitrate,https://blog.google/products/gemini/temporary-chats-privacy-controls/,Gemini infers which fact supersedes based on recency and context — no explicit conflict API
Microsoft Copilot Memory,Platform-provider memory,created,2025-07 (GA); public announcement June 2025 Microsoft Build,https://techcommunity.microsoft.com/blog/microsoft365copilotblog/introducing-copilot-memory-a-more-productive-and-personalized-ai-for-the-way-you/4432059,General availability began staged rollout July 2025; full rollout through Aug-Sept 2025
Microsoft Copilot Memory,Platform-provider memory,funding,Microsoft public (MSFT); market cap ~$3T,https://www.microsoft.com/,Parent company Microsoft
Microsoft Copilot Memory,Platform-provider memory,conflict_resolution,overwrite,https://learn.microsoft.com/en-us/copilot/microsoft-365/copilot-personalization-memory,Most recent fact overwrites older one in Exchange-backed store
LinkedIn Cognitive Memory Agent,Platform-provider memory,created,2026-04 (engineering blog published April 2026; Hiring Assistant shipped 2025),https://www.infoq.com/news/2026/04/linkedin-cognitive-memory-agent/,Internal system; Hiring Assistant launched globally 2025; CMA architecture published April 2026
LinkedIn Cognitive Memory Agent,Platform-provider memory,pricing,no data — searched not found (internal LinkedIn infrastructure — not commercially sold),https://www.linkedin.com/blog/engineering/ai/the-linkedin-generative-ai-application-tech-stack-personalization-with-cognitive-memory-agent,Internal platform only; no external product pricing
LinkedIn Cognitive Memory Agent,Platform-provider memory,compliance,LinkedIn (Microsoft) inherits Microsoft compliance posture: SOC 2; ISO 27001; GDPR,https://www.linkedin.com/help/linkedin/answer/a1340367,LinkedIn GDPR-compliant; Microsoft 365 compliance applies to Hiring Assistant
LinkedIn Cognitive Memory Agent,Platform-provider memory,data_handling,Internal only — data stays within LinkedIn/Microsoft infrastructure; not externally exposed,https://www.linkedin.com/help/linkedin/answer/a1340367,No external customer data handling — purely internal production system
LinkedIn Cognitive Memory Agent,Platform-provider memory,deployment,Managed-only (internal LinkedIn production infrastructure),https://www.infoq.com/news/2026/04/linkedin-cognitive-memory-agent/,Not externally deployable
LinkedIn Cognitive Memory Agent,Platform-provider memory,founders,"LinkedIn corporate product; key engineers: Xiaofeng Wang, Karthik Ramgopal (Distinguished Engineer)",https://www.infoq.com/news/2026/04/linkedin-cognitive-memory-agent/,Internal team — no external founders
LinkedIn Cognitive Memory Agent,Platform-provider memory,conflict_resolution,none specified,https://www.infoq.com/news/2026/04/linkedin-cognitive-memory-agent/,Architecture blog does not describe explicit conflict resolution
Perplexity Memory,Platform-provider memory,customers,Pro/Enterprise subscribers — exact count undisclosed; Perplexity ~$200M ARR as of Feb 2026,https://www.perplexity.ai/help-center/en/articles/10968016-memory,Pro plan (memory available); Enterprise Memory adds org-scoped retrieval
Perplexity Memory,Platform-provider memory,compliance,SOC 2 Type II; GDPR-compliant; HIPAA (Enterprise Pro/Max with BAA),https://trust.perplexity.ai/,Per Perplexity trust center
Perplexity Memory,Platform-provider memory,data_handling,"Enterprise: never trains on customer data; deleted memories retained up to 30 days for safety; free/non-enterprise: trains by default; opt-out available",https://docs.perplexity.ai/guides/privacy-security,Enterprise Pro/Max: no training; org admins control retention periods
Perplexity Memory,Platform-provider memory,conflict_resolution,LLM-arbitrate,https://www.perplexity.ai/help-center/en/articles/10968016-memory,95% recall at Feb 2026 update — implied LLM-driven fact consolidation
Grok Memory (xAI),Platform-provider memory,created,2025-02-17 (Grok 3 launch with memory),https://en.wikipedia.org/wiki/Grok_(chatbot),Grok 3 released Feb 17 2025 included memory feature
Grok Memory (xAI),Platform-provider memory,funding,"xAI $22.1B+ total raised; valuation ~$50B (2025 round)",https://sacra.com/c/xai/,Multiple rounds 2024-2025 including $6B Dec 2024 and additional $20B 2025
Grok Memory (xAI),Platform-provider memory,compliance,"no data — searched not found; no published SOC2/ISO cert; Ireland DPA investigating EU data use",https://x.ai/legal/privacy-policy,No formal compliance certifications published; active regulatory scrutiny in EU
Grok Memory (xAI),Platform-provider memory,data_handling,"By default does not use conversations for training; private chat mode available; data deleted within 30 days on request",https://x.ai/legal/privacy-policy,Not available EU/UK per beta restriction; security incident (370k private chats leaked 2025)
Grok Memory (xAI),Platform-provider memory,conflict_resolution,LLM-arbitrate,https://www.maginative.com/article/xai-upgrades-grok-with-personalized-memory-and-custom-workspaces/,User-deletable individual memories; LLM determines fact precedence
Mistral Le Chat — Memories,Platform-provider memory,created,2025-02 (announced alongside Pro/Team tiers in Feb 2025),https://mistral.ai/news/all-new-le-chat,Memories feature launched with Le Chat Pro tier February 2025
Mistral Le Chat — Memories,Platform-provider memory,funding,"Mistral AI $3.05B total raised; €11.7B valuation (Series C Sept 2025)",https://mistral.ai/news/mistral-ai-raises-1-7-b-to-accelerate-technological-progress-with-ai,Series C €1.7B at €11.7B post-money Sept 2025; additional $830M debt financing March 2026
Mistral Le Chat — Memories,Platform-provider memory,customers,"no data — searched not found; Le Chat user count not disclosed; Europe-focused enterprise",https://mistral.ai/,No specific customer/MAU count publicly disclosed for Le Chat Memories
Mistral Le Chat — Memories,Platform-provider memory,pricing,"Free tier (limited); Pro €14.99/mo; Team ~€24.99/user/mo; Enterprise custom",https://www.datastudios.org/post/mistral-le-chat-capabilities-pricing-and-enterprise-ambitions-in-2025,Memory available on Pro and above; up to 500 memories per user
Mistral Le Chat — Memories,Platform-provider memory,compliance,"SOC 2 (on request); ISO 27001; GDPR-compliant (HQ Paris); EU data residency by default",https://help.mistral.ai/en/collections/789666-trust-security-compliance,French company — GDPR is baseline; SOC 2 reports available under NDA
Mistral Le Chat — Memories,Platform-provider memory,data_handling,"API: 30-day retention for abuse monitoring then deleted; ZDR available on API; Le Chat: opt-out available; does not use for training with opt-out",https://help.mistral.ai/en/articles/396497-how-do-you-handle-my-data-when-using-the-memories-feature,EU data residency by default; US routing opt-in
