system_name,deployment,pricing,hq,source_url_deployment,source_url_pricing,source_url_hq
Mem0,Both,Free + paid,US,https://mem0.ai/blog/self-host-mem0-docker,https://mem0.ai/pricing,https://www.crunchbase.com/organization/mem0ai
Letta / MemGPT,Both,Free + paid,US,https://docs.letta.com/concepts/memgpt/,https://www.letta.com/pricing,https://www.letta.com/
Zep & Graphiti,Managed-only,Free + paid,US,https://www.getzep.com/product/agent-memory/,https://www.getzep.com/pricing/,https://www.crunchbase.com/organization/zep-software
Cognee,Both,Free + paid,DE,https://www.cognee.ai/pricing,https://www.cognee.ai/pricing,https://www.cognee.ai/pricing
Hindsight (Vectorize),Both,Free + paid,US,https://hindsight.vectorize.io/developer/mcp-server,https://vectorize.io/articles/mem0-alternatives,https://www.crunchbase.com/organization/vectorize-io
Supermemory,Both,OSS,US,https://github.com/supermemoryai/supermemory,https://supermemory.ai/research/,https://github.com/supermemoryai
Pinecone,Hybrid,Free + paid,US,https://www.pinecone.io/pricing/,https://www.pinecone.io/pricing/,https://www.pinecone.io/pricing/
Qdrant,Both,Free + paid,DE,https://qdrant.tech/pricing/,https://qdrant.tech/pricing/,https://qdrant.tech/legal/impressum/
Weaviate,Both,Free + paid,NL,https://weaviate.io/pricing,https://weaviate.io/pricing,https://craft.co/weaviate/locations
Chroma,Both,Free + paid,US,https://www.trychroma.com/,https://www.trychroma.com/,https://www.crunchbase.com/organization/chroma-6
Milvus / Zilliz,Both,Free + paid,US,https://zilliz.com/cloud,https://zilliz.com/pricing,https://techcrunch.com/2022/08/24/zilliz-the-startup-behind-the-milvus-open-source-vector-database-for-ai-applications-raises-60m-and-relocates-to-sf/
LanceDB,Both,Free + paid,US,https://docs.lancedb.com/cloud,https://lancedb.com/pricing/,https://www.ycombinator.com/companies/lancedb
Turbopuffer,Hybrid,Pay-per-use,CA,https://turbopuffer.com/docs,https://turbopuffer.com/pricing,https://www.cbinsights.com/company/turbopuffer
MongoDB Atlas Vector Search,Managed-only,Pay-per-use,US,https://www.mongodb.com/docs/atlas/atlas-vector-search/deployment-options/,https://www.mongodb.com/pricing,https://www.mongodb.com/company/contact
Snowflake Cortex Search,Managed-only,Pay-per-use,US,https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-search/cortex-search-overview,https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-search/cortex-search-costs,https://www.snowflake.com/en/contact/
Databricks Vector Search,Managed-only,Pay-per-use,US,https://www.databricks.com/product/machine-learning/vector-search,https://www.databricks.com/product/pricing/vector-search,https://www.databricks.com/company/contact/office-locations
Activeloop Deep Lake,Both,Free + paid,US,https://www.activeloop.ai/,https://www.activeloop.ai/pricing/,https://www.crunchbase.com/organization/snark-ai
Marqo,Both,Pay-per-use,AU,https://cloud.marqo.ai/,https://www.marqo.ai/blog/marqo-cloud-is-generally-available,https://www.cbinsights.com/company/marqo
Vespa,Both,Pay-per-use,NO,https://vespa.ai/solutions/vespa-cloud/,https://vespa.ai/pricing/,https://vespa.ai/company/
Elasticsearch / OpenSearch,Both,Free + paid,US,https://www.elastic.co/cloud,https://www.elastic.co/pricing,https://salestools.io/en/report/elastic-headquarters
Algolia,Managed-only,Free + paid,US,https://www.algolia.com/pricing,https://www.algolia.com/pricing,https://www.algolia.com/about
Meilisearch,Both,Free + paid,FR,https://www.meilisearch.com/cloud,https://www.meilisearch.com/pricing,https://www.cbinsights.com/company/meilisearch
Neo4j,Both,Free + paid,US,https://neo4j.com/pricing/,https://neo4j.com/pricing/,https://neo4j.com/company/
TigerGraph,Both,Enterprise only,US,https://www.tigergraph.com/pricing/,https://www.tigergraph.com/pricing/,https://www.cbinsights.com/company/graphsql
Stardog,Both,Enterprise only,US,https://www.stardog.com/deployment/,https://www.stardog.com/pricing/,https://www.stardog.com/
AllegroGraph,Both,Free + paid,US,https://allegrograph.com/purchase/,https://allegrograph.com/purchase/,https://franz.com/agraph/allegrograph/agraph_hosted.lhtml
Ontotext GraphDB / Graphwise,Both,Enterprise only,EU,https://www.ontotext.com/services/graphdb-managed-services/,https://www.capterra.com/p/157533/Graph-DB/,https://en.wikipedia.org/wiki/Ontotext
