system_name,modalities,volume_claim,conflict_resolution,pedigree,source_url_modalities,source_url_volume,source_url_conflict,source_url_pedigree
AI Singapore SEA-LION,text,245M training pairs; 128K-token context (no memory-volume claim),"not applicable (retrieval model, no write path)",AI Singapore (AISG) — national research foundation; no individual founders listed,https://sea-lion.ai/models/,https://sea-lion.ai/models/,https://sea-lion.ai/models/,https://sea-lion.ai/models/
Krutrim Kruti (Ola),text + voice + image,internal — undisclosed,LLM-arbitrate,"Ola Electric / Bhavish Aggarwal (founder, IIT Bombay; previously co-founded Ola Cabs)",https://ai-labs.olakrutrim.com/,https://ai-labs.olakrutrim.com/,https://ai-labs.olakrutrim.com/,https://ai-labs.olakrutrim.com/
Pydantic-AI MemoryTool,text,delegated to provider (no own volume claim),none specified (delegates to provider),"Pydantic (Samuel Colvin, founder; UK-based; YC-backed)",https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,https://pydantic.dev/docs/ai/tools-toolsets/builtin-tools/,https://pydantic.dev/
Inngest AgentKit — Network State,text,no scale claim — bounded by Inngest durable infra,"overwrite (KV store, last write wins)","Inngest Inc. (Tony Holdstock-Brown & Dan Farrelly, co-founders; ex-engineering leads; Sequoia-backed)",https://agentkit.inngest.com/concepts/memory,https://agentkit.inngest.com/concepts/memory,https://agentkit.inngest.com/concepts/memory,https://www.inngest.com/blog/series-a
Rivet Memory Node (Ironclad),text,no scale claim — research / open-source,overwrite (stable-ID overwrite on save),Ironclad Inc. (legal contract platform; Cai GoGwilt & Jason Boehmig co-founders; Tiger Global-backed),https://rivet.ironcladapp.com/,https://rivet.ironcladapp.com/,https://rivet.ironcladapp.com/,https://rivet.ironcladapp.com/
AGiXT Adaptive Memory,text,no scale claim — open-source plugin architecture,LLM-arbitrate,Josh Turner (open-source maintainer); no institutional backing,https://github.com/Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT
Botpress LLMz,text,per-plan vector-DB quota (vendor-set; undisclosed upper bound),LLM-arbitrate,"Botpress Inc. (Sylvain Perron & Nicolas Hoizey, co-founders; Montreal-based; Inovia Capital-backed)",https://botpress.com/features/knowledge-bases,https://botpress.com/features/knowledge-bases,https://botpress.com/features/knowledge-bases,https://botpress.com/
Relevance AI Memory,text,no scale claim — SaaS; vendor undisclosed,"overwrite (KV store, last write wins for persistent; append for conversation metadata)","Relevance AI (Daniel Vassilev & Jacky Li, co-founders; Sydney-based; AirTree / GV-backed)",https://relevanceai.com/docs/agent/build-your-agent/memory,https://relevanceai.com/docs/agent/build-your-agent/memory,https://relevanceai.com/docs/agent/build-your-agent/memory,https://www.relevanceai.com/about
Lindy AI Memory,text,no scale claim — SaaS,LLM-arbitrate (selective; editable by user),"Lindy (Flo Crivello, founder; ex-Uber product; YC W23)",https://docs.lindy.ai/fundamentals/lindy-101/memory,https://docs.lindy.ai/fundamentals/lindy-101/memory,https://docs.lindy.ai/fundamentals/lindy-101/memory,https://www.ycombinator.com/companies/lindy
Vapi (voice agents),voice + text,no scale claim — state lives in call variables,overwrite (structured variables),"Vapi AI (Nikhil Gupta & Jordan Dearsley, co-founders; YC W23)",https://vapi.ai/,https://vapi.ai/,https://vapi.ai/,https://www.ycombinator.com/companies/vapi
Retell AI,voice + text,no scale claim — long-term via external CRM integration,none specified (webhooks to external CRM; no native resolution),"Retell AI (Weijia Yu, founder; ex-Meta engineer; YC W24)",https://www.retellai.com/,https://www.retellai.com/,https://www.retellai.com/,https://www.ycombinator.com/companies/retell-ai
Stack AI,text,no scale claim — enterprise SaaS KB; undisclosed,not applicable (read-only KB; no agent memory write),"Stack AI (Bernardo Aceituno & Antoni Rosinol, co-founders; MIT / CMU; YC W23)",https://www.stackai.com/,https://www.stackai.com/,https://www.stackai.com/,https://www.ycombinator.com/companies/stack-ai
