row_name,api_surface,api_surface_cite,latency,latency_cite,throughput,throughput_cite,backend_storage,backend_storage_cite,multi_tenancy,multi_tenancy_cite,encryption,encryption_cite,sso_rbac,sso_rbac_cite,embedding_model,embedding_model_cite
A-MEM,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
ACON,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
AGENTS.md,not applicable — file convention,https://agents.md/,not applicable — file convention,https://agents.md/,not applicable — file convention,https://agents.md/,file (AGENTS.md),https://agents.md/,not applicable — file,https://agents.md/,not applicable — file,https://agents.md/,not applicable — file,https://agents.md/,not applicable — file convention,https://agents.md/
AGiXT Adaptive Memory,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AGiXT%20Adaptive%20Memory%20documentation%20API
AI PERSONA,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
AI Singapore SEA-LION,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API,no data — searched not found,https://www.google.com/search?q=AI%20Singapore%20SEA-LION%20documentation%20API
ARMT (Associative RMT),not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
ASAPP GenerativeAgent,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API,no data — searched not found,https://www.google.com/search?q=ASAPP%20GenerativeAgent%20documentation%20API
ATLAS,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,,not applicable — research paper,
AWS Bedrock AgentCore Memory,"REST, SDK: AWS SDKs (boto3, etc.)",https://docs.aws.amazon.com/bedrock-agentcore/,no data — searched not found,https://docs.aws.amazon.com/bedrock-agentcore/,no data — searched not found,https://docs.aws.amazon.com/bedrock-agentcore/,custom (AWS-managed),https://docs.aws.amazon.com/bedrock-agentcore/,hard-isolation,https://aws.amazon.com/compliance/,at-rest + in-transit,https://aws.amazon.com/compliance/,SSO + RBAC (IAM),https://aws.amazon.com/iam/,multiple supported,https://docs.aws.amazon.com/bedrock-agentcore/
