system,field,old_value,new_value,source_url,notes
"GraphRAG (Microsoft)","citations","not yet researched","902 cites (circa 2025)","https://www.semanticscholar.org/paper/From-Local-to-Global:-A-Graph-RAG-Approach-to-Edge-Trinh/c1799bf28d1ae93e1631be5b59196ee1e568f538","Paper: arxiv 2404.16130. S2 record confirms 902 citations as of mid-2025."
"GraphRAG (Microsoft)","modalities","not yet researched","text","https://arxiv.org/abs/2404.16130","Operates on unstructured text corpora only; no multimodal support in core paper."
"GraphRAG (Microsoft)","conflict_resolution","not yet researched","not applicable (read-only extraction + community summaries; no runtime write path)","https://arxiv.org/abs/2404.16130","GraphRAG is a read-only retrieval pipeline. Community summaries are built at index time; no conflict arbitration at query time."
"GraphRAG (Microsoft)","volume","not yet researched","no public scale claim; indexing cost reported $50–200 per 500 pages","https://microsoft.github.io/graphrag/","Indexing cost documented in official docs; no production volume claim."
"GraphRAG (Microsoft)","repro","not yet researched","Independently reproduced","https://github.com/microsoft/graphrag","Open-source; widely reproduced by community."
"GraphRAG (Microsoft)","code_release","not yet researched","Code public + weights closed","https://github.com/microsoft/graphrag","Full code under MIT; no model weights (uses external LLM APIs)."
"GraphRAG (Microsoft)","pricing","not yet researched","not applicable — not commercial","https://microsoft.github.io/graphrag/","Open-source library; no pricing."
"GraphRAG (Microsoft)","deployment","not yet researched","local (open-source library; Azure accelerator for cloud)","https://github.com/Azure-Samples/graphrag-accelerator","Library deployed locally or via Azure accelerator."
"RAPTOR","modalities","not yet researched","text","https://arxiv.org/abs/2401.18059","RAPTOR embeds and clusters text chunks; text-only per paper."
"RAPTOR","conflict_resolution","not yet researched","not applicable (read-only retrieval; no write path)","https://arxiv.org/abs/2401.18059","RAPTOR is purely a read-path technique; no write or conflict resolution."
"RAPTOR","volume","not yet researched","no scale claim — research implementation","https://github.com/parthsarthi03/raptor","No production volume claim; research demo only."
"RAPTOR","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2401.18059","Academic paper; no pricing."
"RAPTOR","deployment","not yet researched","local (open-source)","https://github.com/parthsarthi03/raptor","GitHub repo; self-hosted only."
"LazyGraphRAG","pricing","not yet researched","not applicable — not commercial","https://github.com/microsoft/graphrag","Part of open-source microsoft/graphrag library."
"LazyGraphRAG","deployment","not yet researched","local (part of microsoft/graphrag open-source library)","https://github.com/microsoft/graphrag","Integrated into graphrag OSS library."
"LazyGraphRAG","mindshare","below detection threshold or not yet researched","below detection threshold — no dedicated HN / press mentions found","https://github.com/microsoft/graphrag/discussions/1490","Discussion post, not a standalone release; low independent mindshare."
"HippoRAG / HippoRAG2","modalities","not yet researched","text","https://arxiv.org/html/2405.14831v1","Operates on text corpora; hippocampus-inspired KG over text only."
"HippoRAG / HippoRAG2","conflict_resolution","not yet researched","not applicable (read-only KG retrieval; no runtime write path)","https://arxiv.org/html/2405.14831v1","HippoRAG is a retrieval-only system; no write conflict resolution."
"HippoRAG / HippoRAG2","volume","not yet researched","no scale claim — research benchmark corpora","https://github.com/OSU-NLP-Group/HippoRAG","Evaluated on MuSiQue / HotpotQA / 2WikiMultiHopQA; no production volume claim."
"HippoRAG / HippoRAG2","pricing","not yet researched","not applicable — not commercial","https://github.com/OSU-NLP-Group/HippoRAG","Academic; no pricing."
"HippoRAG / HippoRAG2","deployment","not yet researched","local (open-source)","https://github.com/OSU-NLP-Group/HippoRAG","Self-hosted MIT-licensed repo."
"HippoRAG / HippoRAG2","mindshare","below detection threshold or not yet researched","below detection threshold — no standalone HN / press signal found","https://www.semanticscholar.org/paper/HippoRAG:-Neurobiologically-Inspired-Long-Term-for-Gutierrez-Shu/4308208fac24626e0c927ee728038aadc4e87266","103 S2 citations is strong academic signal; no consumer mindshare."
"LightRAG","modalities","not yet researched","text","https://aclanthology.org/2025.findings-emnlp.568/","EMNLP 2025 Findings; text-only graph retrieval."
"LightRAG","conflict_resolution","not yet researched","not applicable (read-only retrieval; incremental graph appends only)","https://arxiv.org/html/2410.05779v3","Incremental updates are append-only; no conflict arbitration at query time."
"LightRAG","volume","not yet researched","no scale claim — research; 34.8k★ GitHub","https://github.com/HKUDS/LightRAG","No production scale claim; star count indicates broad adoption."
"LightRAG","citations","","548 cites","https://www.semanticscholar.org/paper/LightRAG:-Simple-and-Fast-Retrieval-Augmented-Guo-Xia/1ea143c34b9bc359780f79ba4d68dee68bcc1129","S2 record for arxiv 2410.05779; circa May 2026."
"LightRAG","pricing","not yet researched","not applicable — not commercial","https://github.com/HKUDS/LightRAG","MIT-licensed OSS."
"LightRAG","deployment","not yet researched","local (open-source; OpenSearch backend optional)","https://github.com/HKUDS/LightRAG","Self-hosted; optional OpenSearch backend for scale."
"LightRAG","mindshare","below detection threshold or not yet researched","below detection threshold — no dedicated HN / press coverage found","https://github.com/HKUDS/LightRAG","34.8k★ is high but organic; no HN / VentureBeat press found."
"HyDE","modalities","not yet researched","text","https://arxiv.org/abs/2212.10496","Generates hypothetical text answer; text retrieval only."
"HyDE","conflict_resolution","not yet researched","not applicable (read-only query-expansion; no write path)","https://arxiv.org/abs/2212.10496","HyDE is a query-side technique; no persistent write or conflict resolution."
"HyDE","volume","not yet researched","no scale claim — research technique","https://arxiv.org/abs/2212.10496","Applied at query time; no corpus volume claim."
"HyDE","pricing","not yet researched","not applicable — not commercial","https://arxiv.org/abs/2212.10496","Academic paper; no pricing."
"HyDE","deployment","not yet researched","local (integrated into LangChain / Haystack / LlamaIndex)","https://docs.haystack.deepset.ai/docs/hypothetical-document-embeddings-hyde","No standalone deployment; implemented in major RAG frameworks."
"Adaptive-RAG","modalities","not yet researched","text","https://arxiv.org/abs/2403.14403","Question complexity routing over text QA; text-only."
"Adaptive-RAG","conflict_resolution","not yet researched","not applicable (routing only; no persistent write)","https://arxiv.org/abs/2403.14403","Query router with no write path."
