section,subgroup,tier,row_name,unresearched_columns
Memory benchmarks & evaluation,,row-t2,ICLR 2026 MemAgents Workshop,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,MemoryBench (Tsinghua THUIR),tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance|mindshare
Theoretical / informal — ideas without a paper,,row-t4,From Human Memory to AI Memory (survey),tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t4,Externalization in LLM Agents,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,Memory as Metabolism,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,Context Engineering,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,Four-Type Agent Memory Taxonomy,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,Context Expansion Law,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,Memory Poisoning as Attack Surface,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,Context Engineering — naming event,tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,JEPA Six-Module World Model (informal),tax-storage|tax-retrieval|tax-persistence|tax-update|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,ImplicitMemBench,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t4,MemEvoBench,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,LongMemEval,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,LoCoMo,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t4,NIAH (Needle in a Haystack),tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,BABILong,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,RULER,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,HELMET,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,InfiniteBench (∞Bench),tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,LongBench,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,MemBench,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t3,MemoryAgentBench,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Memory benchmarks & evaluation,,row-t4,MemoryArena,tax-storage|tax-retrieval|tax-persistence|tax-unit|tax-governance
Retrieval-as-memory hybrids,,row-t4,PathRAG,tax-persistence|tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,HyDE,tax-persistence|tax-governance|claims
Research / specialised systems,,row-t3,A-MEM,tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,RAPTOR,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,LazyGraphRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,HippoRAG / HippoRAG2,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,LightRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,Adaptive-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,RouteRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,GraphRAFT,tax-governance|claims
Retrieval-as-memory hybrids,,row-t4,Beyond RAG for Agent Memory,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,Generative Semantic Workspace (GSW),tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,TC-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,KAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Speculative RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,CRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Self-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,FLARE,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,ITER-RETGEN,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,StructRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,HiRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,LongRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,Multi-Head RAG (MHRAG),tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,BGE-M3,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,ChunkRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,AutoRAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t4,WeKnow-RAG,tax-persistence|tax-governance
Retrieval-as-memory hybrids,,row-t3,REALM,tax-governance|claims
Retrieval-as-memory hybrids,,row-t3,Atlas,tax-governance|mindshare
Theoretical / informal — ideas without a paper,,row-t5,LLM as OS Kernel,tax-update|tax-governance
Theoretical / informal — ideas without a paper,,row-t5,LLM OS Specs,tax-update|tax-governance
Research / specialised systems,,row-t3,MemOS (MemTensor),tax-governance
Research / specialised systems,,row-t3,BAI-LAB MemoryOS,tax-governance
Research / specialised systems,,row-t4,Titans (Google),tax-governance
Research / specialised systems,,row-t3,MemoRAG,tax-governance
Research / specialised systems,,row-t3,EVOLVE-MEM,tax-governance
Research / specialised systems,,row-t4,EverMemOS,tax-governance
Research / specialised systems,,row-t4,TiMem,tax-governance
