venue,year,memory_main_track_count,memory_main_track_count_low,memory_main_track_count_high,memory_workshops_count,total_main_track_accepted,estimation_method,notes
NeurIPS,2022,55,40,75,2,2672,keyword-rate-extrapolation,"~2% of 2672 main-track papers. Continual learning dominant framing. LLM memory nascent. 1 memory-adjacent workshop (Continual Learning). Notable: 'Memory Efficient Continual Learning with Transformers' (NeurIPS'22)"
NeurIPS,2023,130,100,170,3,3218,keyword-rate-extrapolation,"~4% of 3218 main-track papers. Rapid LLM augmentation wave begins. Notable: 'Augmenting Language Models with Long-Term Memory' (NeurIPS'23 oral). Workshops: R0-FoMo, LLM Efficiency Challenge, Efficient NLP."
NeurIPS,2024,250,200,320,4,4037,keyword-rate-extrapolation,"~6% of 4037 main-track papers. Memory/RAG/knowledge-editing consolidated cluster. Notable: HippoRAG (memory-inspired RAG); WISE (lifelong model editing); AgentPoison (memory poisoning). 4 memory-adjacent workshops."
NeurIPS,2025,390,300,500,5,5290,keyword-rate-extrapolation,"~7% of 5290 main-track papers (est). Agent memory, long-context compression, RL-based memory management dominant. Notable: A-Mem (agentic memory); Memory Mosaics. Datasets+Benchmarks track adds memory benchmarks."
ICLR,2022,30,20,45,1,1095,keyword-rate-extrapolation,"~3% of ~1095 main-track papers. Continual learning + in-context learning early work. Memory mostly parametric. 1 memory-adjacent workshop (GroundedML)."
ICLR,2023,65,50,90,2,1574,keyword-rate-extrapolation,"~4% of 1574. Prompt-memory, retrieval augmentation, catastrophic forgetting gain traction. 2 memory-adjacent workshops."
ICLR,2024,130,100,170,3,2260,keyword-rate-extrapolation,"~6% of 2260. Knowledge editing, RAG, long-context scaling consolidated. Notable: multiple knowledge-editing + retrieval papers. 3 memory-adjacent workshops."
ICLR,2025,260,200,340,3,3684,keyword-rate-extrapolation,"~7% of 3684. Continual instruction tuning, agent memory, episodic memory (Human-Inspired Episodic Memory paper). Multiple knowledge-editing papers. Notable: 'HUMAN-INSPIRED EPISODIC MEMORY FOR INFINITE CONTEXT LLMS'. 3 workshops."
ICLR,2026,410,320,520,1,5355,openreview-confirmed-workshop,"~7-8% of 5355. MemAgents workshop (dedicated memory workshop, first of its kind at ICLR). MemAgent oral paper (RL-based memory agent, 8K->3.5M context extrapolation). RAG+reasoning convergence prominent."
EMNLP,2022,50,35,70,1,829,keyword-rate-extrapolation,"~6% of 829. NLP venue: long-document, QA, memory-augmented models prominent. 1 memory-related workshop."
EMNLP,2023,85,65,115,2,1048,keyword-rate-extrapolation,"~8% of 1048. Knowledge editing, retrieval augmentation strong at NLP venue. 2 memory-adjacent workshops."
EMNLP,2024,120,90,160,2,1271,emnlp-fact-sheet-confirmed-totals,"~9% of 1271 main-track papers. RAG+memory largest NLP subcluster. EMNLP 2025 RAG survey emerged from community. Notable: multiple RAG papers, memory-augmented generation. 2 workshops."
ACL,2022,35,25,50,1,701,keyword-rate-extrapolation,"~5% of 701. Knowledge-intensive NLP, open-domain QA, early memory augmentation. 1 workshop."
ACL,2023,70,55,95,2,~750,keyword-rate-extrapolation,"Main track ~750 est. ~9% memory-adjacent. Knowledge editing, long-doc understanding strong."
ACL,2024,95,75,125,2,940,acl2024-fact-sheet,"~10% of 940. Knowledge editing (EasyEdit), long-context LLMs, RAG papers strong cluster. Notable: 'EasyEdit: An Easy-to-use Knowledge Editing Framework'. 2 memory-related workshops."
AAAI,2022,45,30,65,1,1349,keyword-rate-extrapolation,"~3% of ~1349. Continual learning, memory networks, knowledge bases. 1 workshop."
AAAI,2023,70,50,95,1,1721,aaai-confirmed-total,"~4% of 1721. LLM-memory pairing emerging. MemoryBank paper (AAAI'24 but developed 2023). 1 workshop."
AAAI,2024,100,75,135,2,2342,aaai-confirmed-total,"~4% of 2342. MemoryBank accepted (AAAI'24). LLM agent memory, continual learning. 2 workshops."
AAAI,2025,155,115,205,2,~2600,keyword-rate-extrapolation,"~6% of ~2600 est. Agent memory, lifelong learning, knowledge editing growing. 2 workshops."
