row_name,column_class,new_value,citation_url,status
ACON,repro,Original team only — 10 forks of https://github.com/microsoft/acon (largely fork-only); published 2025-10-01 (7 mo ago),https://github.com/microsoft/acon,deepened
ACON,code-release,Code public + weights closed — https://github.com/microsoft/acon · 70* / 10 forks · last commit 2025-10 · MIT,https://github.com/microsoft/acon,deepened
ACON,mindshare,28 cites · 3.9/mo · 70* / 10 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.00615,deepened
Agent KB,repro,No reproductions found — published 2025-07-08 (10 mo ago); no public code,https://arxiv.org/abs/2507.06229,deepened
Agent KB,code-release,depth-floor-reached: arXiv 2507.06229 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2507.06229,depth-floor-reached
Agent KB,mindshare,43 cites · 4.3/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2507.06229,deepened
Agent S,repro,Original team only — 1301 forks of https://github.com/simular-ai/Agent-S (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/simular-ai/Agent-S,deepened
Agent S,code-release,Code public + weights closed — https://github.com/simular-ai/Agent-S · 11142* / 1301 forks · last commit 2026-02 · Apache-2.0,https://github.com/simular-ai/Agent-S,deepened
Agent S,mindshare,147 cites · 7.8/mo · 11142* / 1301 forks · 10 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.08164,deepened
Agent Workflow Memory,repro,Independently reproduced: 50 forks of https://github.com/zorazrw/agent-workflow-memory; downstream papers cite results,https://github.com/zorazrw/agent-workflow-memory,deepened
Agent Workflow Memory,code-release,Code public + weights closed — https://github.com/zorazrw/agent-workflow-memory · 426* / 50 forks · last commit 2025-12 · Apache-2.0,https://github.com/zorazrw/agent-workflow-memory,deepened
Agent Workflow Memory,mindshare,133 cites · 6.7/mo · 426* / 50 forks · 14 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2409.07429,deepened
AgentEvolver,repro,Too recent — published 2025-11-13 (5.7 mo ago); no reproductions yet expected,https://arxiv.org/abs/2511.10395,deepened
AgentEvolver,code-release,Code public + weights closed — https://github.com/modelscope/AgentEvolver · 1427* / 163 forks · last commit 2026-04 · Apache-2.0,https://github.com/modelscope/AgentEvolver,deepened
AgentEvolver,mindshare,30 cites · 5.2/mo · 1427* / 163 forks · Tongyi Lab launch + Threads/X coverage 2025-11,https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.10395,deepened
AgentFold,repro,Original team + downstream attention: 1447 forks of https://github.com/Alibaba-NLP/DeepResearch; published 2025-10-28 (6 mo ago); no full re-implementations identified,https://github.com/Alibaba-NLP/DeepResearch,deepened
AgentFold,code-release,Code public + weights closed — https://github.com/Alibaba-NLP/DeepResearch · 18805* / 1447 forks · last commit 2026-02 · Apache-2.0,https://github.com/Alibaba-NLP/DeepResearch,deepened
AgentFold,mindshare,31 cites · 5.0/mo · 18805* / 1447 forks · Tongyi DeepResearch monorepo (#1 Github trending Oct 2025),https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.24699,deepened
Agentic Memory,repro,Too recent — published 2026-01-05 (4.0 mo ago); no reproductions yet expected,https://arxiv.org/abs/2601.01885,deepened
Agentic Memory,code-release,depth-floor-reached: arXiv 2601.01885 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2601.01885,depth-floor-reached
Agentic Memory,mindshare,15 cites · 3.8/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2601.01885,deepened
Agentic Plan Caching (APC),repro,No reproductions found — published 2025-06-17 (11 mo ago); no public code,https://arxiv.org/abs/2506.14852,deepened
Agentic Plan Caching (APC),code-release,depth-floor-reached: arXiv 2506.14852 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2506.14852,depth-floor-reached
Agentic Plan Caching (APC),mindshare,11 cites · 1.0/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2506.14852,deepened
AI PERSONA,repro,depth-floor-reached: no reproductions found via Semantic Scholar / WebSearch / arXiv abstract scan,https://www.semanticscholar.org/search?q=AI+PERSONA+reproduction,depth-floor-reached
AI PERSONA,code-release,depth-floor-reached: arXiv 2412.13103 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2412.13103,depth-floor-reached
AI PERSONA,mindshare,29 cites · 1.7/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2412.13103,deepened
AiT (Associative Transformer),repro,depth-floor-reached: no reproductions found via Semantic Scholar / WebSearch / arXiv abstract scan,https://www.semanticscholar.org/search?q=AiT+(Associative+Transformer)+reproduction,depth-floor-reached
AiT (Associative Transformer),code-release,depth-floor-reached: arXiv 2309.12862 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2309.12862,depth-floor-reached
AiT (Associative Transformer),mindshare,3 cites · 0.1/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2309.12862,deepened
Alita,repro,Original team + downstream attention: 48 forks of https://github.com/CharlesQ9/Alita; published 2025-05-26 (11 mo ago); no full re-implementations identified,https://github.com/CharlesQ9/Alita,deepened
Alita,code-release,Code public + weights closed — https://github.com/CharlesQ9/Alita · 881* / 48 forks · last commit 2025-08 · no license,https://github.com/CharlesQ9/Alita,deepened
Alita,mindshare,92 cites · 8.1/mo · 881* / 48 forks · 7 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2505.20286,deepened
Alita-G,repro,No reproductions found — published 2025-10-27 (6 mo ago); no public code,https://arxiv.org/abs/2510.23601,deepened
Alita-G,code-release,depth-floor-reached: arXiv 2510.23601 preprint; no official code repo discovered via WebSearch + arXiv abstract scan + GitHub API,https://arxiv.org/abs/2510.23601,depth-floor-reached
Alita-G,mindshare,3 cites · 0.5/mo,https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.23601,deepened
AlphaEdit,repro,Highly reproduced: ICLR 2025 Outstanding Paper; downstream method AlphaEdit+ (ICLR 2026) builds directly on it; 191 cites (mostly downstream); 46 forks of official repo,https://github.com/jianghoucheng/AlphaEdit,deepened
AlphaEdit,code-release,Code public + weights closed — https://github.com/jianghoucheng/AlphaEdit · 439* / 46 forks · last commit 2025-10 · MIT,https://github.com/jianghoucheng/AlphaEdit,deepened
AlphaEdit,mindshare,191 cites · 10.0/mo · 439* / 46 forks · ICLR 2025 Outstanding Paper · 65 influential SS cites,https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.02355,deepened
Arigraph,repro,Original team only — 28 forks of https://github.com/AIRI-Institute/AriGraph (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/AIRI-Institute/AriGraph,deepened
Arigraph,code-release,Code public + weights closed — https://github.com/AIRI-Institute/AriGraph · stale (last commit 2024-09) · 166* / 28 forks · MIT,https://github.com/AIRI-Institute/AriGraph,deepened
Arigraph,mindshare,63 cites · 2.9/mo · 166* / 28 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2407.04363,deepened
AriGraph,repro,Original team only — 28 forks of https://github.com/AIRI-Institute/AriGraph (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/AIRI-Institute/AriGraph,deepened
AriGraph,code-release,Code public + weights closed — https://github.com/AIRI-Institute/AriGraph · stale (last commit 2024-09) · 166* / 28 forks · MIT,https://github.com/AIRI-Institute/AriGraph,deepened
AriGraph,mindshare,63 cites · 2.9/mo · 166* / 28 forks,https://api.semanticscholar.org/graph/v1/paper/arXiv:2407.04363,deepened
ARMT (Associative RMT),repro,Original team only — 12 forks of https://github.com/RodkinIvan/associative-recurrent-memory-transformer (mostly fork-only; no public re-implementations identified via WebSearch),https://github.com/RodkinIvan/associative-recurrent-memory-transformer,deepened
