system_name,pedigree,source_url
Mem0,YC S24; co-founders Taranjeet Singh (built first GPT app store to 1M+ users) and Deshraj Yadav (ex-Tesla Autopilot AI Platform lead; Georgia Tech MS; built EvalAI open-source ML platform),https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
Letta / MemGPT,UC Berkeley Sky Computing Lab spin-off; co-founders Charles Packer and Sarah Wooders (both Berkeley CS PhDs under Ion Stoica and Joseph Gonzalez; Stoica is Databricks co-founder); Felicis Ventures seed,https://techcrunch.com/2024/09/23/letta-one-of-uc-berkeleys-most-anticipated-ai-startups-has-just-come-out-of-stealth/
Zep & Graphiti,YC W24; founder Daniel Chalef (serial entrepreneur; previously founded KnowledgeTree; ex-SparkPost late-stage operator; enterprise DNA + ML background since BERT/BART era),https://www.ycombinator.com/companies/zep-ai
Cognee,EU startup (Berlin); co-founders Vasilije Markovic (data engineering lead at Zalando / Taxfix / Omio; cognitive science background) and Boris Arzentar (CTO; cloud scaling background); Pebblebed seed,https://www.eu-startups.com/2026/02/german-startup-interloom-lands-e14-2-million-seed-funding-for-ai-agent-knowledge-infrastructure/
Hindsight (Vectorize),True Ventures seed; co-founders Chris Latimer (ex-Google API Gateway PM; ex-DataStax GM for vector DB) and Chris Bartholomew (CTO); Hindsight built with Virginia Tech and Washington Post researchers,https://bizwest.com/2024/10/08/vectorize-raises-3-6-million-to-boost-ai-powered-data-retrieval/
Supermemory,19-year-old solo founder Dhravya Shah (IIT dropout from Mumbai; built apps to 1M+ users; sold tweet-formatting bot to Hypefury); backed by Google AI chief Jeff Dean and Cloudflare execs; Susa Ventures seed,https://techcrunch.com/2025/10/06/a-19-year-old-nabs-backing-from-google-execs-for-his-ai-memory-startup-supermemory/
Interloom,German startup; founder Fabian Jakobi (serial entrepreneur; previously founded Boxplot acquired by Hyperscience 2021); DN Capital seed,https://fortune.com/2026/03/23/interloom-ai-agents-raises-16-million-venture-funding/
Nyne,Father-son co-founding team: Michael Fanous (CEO; UC Berkeley CS grad; ex-CareRev ML engineer) and Emad Fanous (CTO; veteran CTO); Wischoff Ventures seed,https://techcrunch.com/2026/03/13/nyne-founded-by-a-father-son-duo-gives-ai-agents-the-human-context-theyre-missing/
NeoCognition,OSU academic spin-off; co-founders Yu Su (OSU assistant professor; ex-Microsoft Research; Sloan Research Fellow) and Xiang Deng (ex-Google Research engineer; OSU presidential fellow); Ion Stoica and Dawn Song as angels,https://techcrunch.com/2026/04/21/ai-research-lab-neocognition-lands-40m-seed-to-build-agents-that-learn-like-humans/
MemoraX AI,Shenzhen-based; founder He Jianye (Tianjin University professor; ex-Huawei CTO Medical Group + Director of Large Model Algorithm Lab; MIT postdoc; top-2% scientist globally),https://eu.36kr.com/en/p/3785834045583875
Trace,YC W26; co-founders Tim and Artur (no further public background found); enterprise workflow automation,https://www.ycombinator.com/companies/trace-so
SuperLocalMemory,no data,https://www.superlocalmemory.com/
Memvid,no data,https://github.com/memvid/memvid
Memobase,no data,https://github.com/memodb-io/memobase
OMEGA,no data,https://omegamax.co/
ByteRover,no data,https://www.byterover.dev/
Backboard,no data,https://github.com/Backboard-io
Hyperspell,YC F25; founders previously scaled API products to $30M ARR (no named individuals publicly identified),https://www.ycombinator.com/companies/hyperspell
