row_name,mcp_support,mcp_cite,a2a_support,a2a_cite,otel,otel_cite,webhooks_events,webhooks_cite,import_export,import_export_cite
Mem0,native (first-party) — official mem0-mcp server,https://github.com/mem0ai/mem0-mcp,no data — searched not found,,via adapter — AgentOps integration,https://docs.mem0.ai/integrations/agentops,webhooks supported (platform tier),https://docs.mem0.ai/platform/quickstart,JSON (REST export); ChatGPT history import,https://docs.mem0.ai/api-reference/memory/get-memories
Letta / MemGPT,native (first-party) — Letta serves & consumes MCP,https://docs.letta.com/guides/mcp,no data — searched not found,,no data — searched not found,,no data — searched not found,,JSON agent file (.af) export/import,https://docs.letta.com/guides/server/agent-file
Zep & Graphiti,native (first-party) — Graphiti MCP server,https://github.com/getzep/graphiti/tree/main/mcp_server,no data — searched not found,,no data — searched not found,,no data — searched not found,,JSON via REST API,https://help.getzep.com/api-reference
Cognee,native (first-party) — cognee-mcp,https://github.com/topoteretes/cognee/tree/main/cognee-mcp,no data — searched not found,,no data — searched not found,,no data — searched not found,,JSON; Neo4j / Postgres backends pluggable,https://docs.cognee.ai/
Hindsight (Vectorize),native (first-party) — Hindsight MCP,https://hindsight.vectorize.io/developer/mcp-server,no data — searched not found,,no data — searched not found,,no data — searched not found,,JSON via Vectorize REST API,https://docs.vectorize.io/
Supermemory,native (first-party) — claude-supermemory plugin + MCP,https://github.com/supermemoryai/claude-supermemory,no data — searched not found,,no data — searched not found,,webhooks supported,https://docs.supermemory.ai/,JSON via REST,https://docs.supermemory.ai/
Memvid,native (first-party) — claude-brain MCP,https://github.com/memvid/claude-brain,no data — searched not found,,no data — searched not found,,no,https://github.com/memvid/memvid,MP4 video bundle (proprietary container),https://github.com/memvid/memvid
Memobase,native (first-party) — memobase MCP,https://github.com/memodb-io/memobase,no data — searched not found,,no data — searched not found,,no data — searched not found,,JSON via REST,https://docs.memobase.io/
OMEGA,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
ByteRover,native (first-party) — ByteRover MCP,https://www.byterover.dev/docs,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Backboard,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Hyperspell,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Memoria (MatrixOrigin),no data — searched not found,,not supported,,no data — searched not found,,no data — searched not found,,MatrixOne SQL dump,https://medium.com/@matrixorigin-database
OpenMemory,native (first-party) — OpenMemory MCP,https://github.com/CaviraOSS/OpenMemory,no data — searched not found,,no data — searched not found,,no,,JSON local store,https://github.com/CaviraOSS/OpenMemory
Memori,community port — third-party MCP wrappers,https://github.com/MemoriLabs/Memori,no data — searched not found,,no data — searched not found,,no data — searched not found,,JSON; SQLite backend,https://github.com/MemoriLabs/Memori
MemMachine,native (first-party) — MemMachine MCP,https://github.com/MemMachine/MemMachine,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Memary,no data — searched not found,,not supported,,no data — searched not found,,no,,JSON; Neo4j export,https://github.com/kingjulio8238/Memary
Anda Hippocampus,no data — searched not found,,not supported,,no data — searched not found,,no,,JSON via Rust API,https://github.com/ldclabs/anda-hippocampus
O-Mem,no data — searched not found,,not supported,,no data — searched not found,,no data — searched not found,,no data — searched not found,
SuperLocalMemory,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
VEKTOR Memory,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Memory Store,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Interloom,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Nyne,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
NeoCognition,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
MemoraX AI,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Trace,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Cellon (Memory.inc),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
MemWal (Walrus),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
Jamba (AI21 Labs),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,Hugging Face checkpoints (Apache-2.0),https://huggingface.co/ai21labs/AI21-Jamba-Large-1.7
Aleph Alpha PhariaAI / PhariaCatch,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
AI Singapore SEA-LION,not supported,,not supported,,no data — searched not found,,no data — searched not found,,Hugging Face checkpoints,https://huggingface.co/aisingapore
Krutrim Kruti (Ola),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
NAVER HyperCLOVA X THINK,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
M3-Agent (ByteDance),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
AutoGLM (Zhipu AI),no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,,no data — searched not found,
LangMem (LangChain),via official adapter — LangChain MCP adapters,https://python.langchain.com/docs/integrations/tools/mcp/,supported (LangChain A2A integration),https://blog.langchain.com/a2a-langgraph/,first-class — LangSmith + OTel exporter,https://docs.smith.langchain.com/observability/how_to_guides/trace_with_opentelemetry,webhooks supported (LangSmith hooks),https://docs.smith.langchain.com/,JSON via LangSmith export,https://docs.smith.langchain.com/
CrewAI Memory,via official adapter — crewai-tools MCP,https://docs.crewai.com/mcp/overview,no data — searched not found,,via adapter — AgentOps + OTel,https://docs.crewai.com/observability,no data — searched not found,,JSON; SQLite backend (RAG),https://docs.crewai.com/concepts/memory
