row_name|column_class|value|citation_url|status
Anthropic Auto Dream|orchestration|single-agent (background sub-agent in Claude Code; no multi-agent coordination documented)|https://claudefa.st/blog/guide/mechanics/auto-dream|real
Anthropic Auto Dream|validated-verticals|coding agents (Claude Code users); knowledge workers using personal projects|https://claudefa.st/blog/guide/mechanics/auto-dream|real
Anthropic Auto Dream|time-to-running|<10min (built into Claude Code; toggle Auto-dream on)|https://claudefa.st/blog/guide/mechanics/auto-dream|real
Anthropic Auto Dream|anti-fit|not for users on Claude.ai web (CLI-only); not for environments where consolidation logic must be auditable|https://claudefa.st/blog/guide/mechanics/auto-dream|real
Anthropic Auto Dream|optimised-for|background memory consolidation + bounded MEMORY.md size + surgical updates|https://claudefa.st/blog/guide/mechanics/auto-dream|real
Anthropic Auto Dream|adjacent-infrastructure|requires Claude Code v2.1.59+; local filesystem; no external store|https://claudefa.st/blog/guide/mechanics/auto-dream|real
codebase-memory-mcp (DeusData)|orchestration|both (single-agent local; team-shared via .codebase-memory/graph.db.zst artifact)|https://github.com/DeusData/codebase-memory-mcp|real
codebase-memory-mcp (DeusData)|validated-verticals|coding agents (11 IDE/CLI integrations: Claude Code/Codex CLI/Gemini CLI/Zed/OpenCode/Antigravity/Aider/KiloCode/VS Code/OpenClaw/Kiro)|https://github.com/DeusData/codebase-memory-mcp|real
codebase-memory-mcp (DeusData)|time-to-running|<10min (single static binary install + index_repository call)|https://github.com/DeusData/codebase-memory-mcp|real
codebase-memory-mcp (DeusData)|anti-fit|not for non-code memory; not for natural-language conversation memory; SEMANTICALLY_RELATED edges require optional embedding pipeline|https://github.com/DeusData/codebase-memory-mcp|real
codebase-memory-mcp (DeusData)|optimised-for|structural code knowledge graphs (token-efficient; 99.2% reduction vs grep) + sub-ms queries + 155-language tree-sitter coverage|https://github.com/DeusData/codebase-memory-mcp|real
codebase-memory-mcp (DeusData)|adjacent-infrastructure|self-contained binary + SQLite WAL; MCP client (Claude Code/Codex CLI/etc.); no LLM lock-in|https://github.com/DeusData/codebase-memory-mcp|real
Mistral Vibe (Remote Agents) + Mistral Medium 3.5|orchestration|both (multi-agent: parallel async coding agents; single-agent: per-session sandbox)|https://mistral.ai/news/vibe-remote-agents-mistral-medium-3-5|real
Mistral Vibe (Remote Agents) + Mistral Medium 3.5|validated-verticals|coding agents; software engineering teams (GitHub/Linear/Jira/Sentry/Slack/Teams integrations)|https://mistral.ai/news/vibe-remote-agents-mistral-medium-3-5|real
