name,tier,section,memory_model,desc_first
Mem0,T1,Dedicated memory layers,Vector + graph + KV (hybrid),Universal memory layer for AI agents.
Letta / MemGPT,T1,Dedicated memory layers,Tiered: core / recall / archival,"LLM-as-Operating-System paradigm — model manages its own memory, paging between core context, recall buffer, and archival store."
Zep & Graphiti,T1,Dedicated memory layers,Bi-temporal knowledge graph,Bi-temporal knowledge graph (event time + ingestion time).
Cognee,T1,Dedicated memory layers,Knowledge graph + ECL pipeline,"""Extract–Cognify–Load"" pipeline that turns raw input into a typed, queryable knowledge graph for agent recall."
Hindsight (Vectorize),T1,Dedicated memory layers,Vector + reflection / summarisation,Standalone memory service from Vectorize.
Supermemory,T1,Dedicated memory layers,Memory graph + extraction + RAG,"Memory engine with API, app, browser extension, and MCP server."
Memvid,T2,Dedicated memory layers,Single-file append-only Smart Frames,Single-file memory layer (one .mv2 file).
Memobase,T2,Dedicated memory layers,User profile + event timeline,User-profile-based long-term memory.
OMEGA,T2,Dedicated memory layers,Memory engine + 50ms retrieval,Memory engine product.
ByteRover,T2,Dedicated memory layers,Agent memory product,Agent-memory product.
Backboard,T2,Dedicated memory layers,Memory + LoCoMo evaluation harness,Agent memory product evaluated against LoCoMo.
Hyperspell,T2,Dedicated memory layers,Workplace agent memory connectors,"Connects Slack, Gmail, Notion, Drive so agents can recall and reason across company knowledge."
Memoria (MatrixOrigin),T2,Dedicated memory layers,Retrieval-strong memory layer,Memory layer from MatrixOrigin.
OpenMemory,T2,Dedicated memory layers,Cognitive memory engine,Open-source cognitive memory engine for LLMs and agents.
Memori,T2,Dedicated memory layers,Structured persistent memory layer,"Structured, persistent memory layer for AI agents."
MemMachine,T2,Dedicated memory layers,Multi-layered memory system,Multi-layered open-source memory system for AI agents.
Memary,T2,Dedicated memory layers,Long-term memory for autonomous agents,Open-source long-term memory framework for autonomous agents.
Anda Hippocampus,T2,Dedicated memory layers,Bio-inspired sleep consolidation,Native graph-based memory for autonomous AI agents.
O-Mem,T2,Dedicated memory layers,Omni / self-evolving memory,"Omni memory system for personalised, long-horizon, self-evolving agents."
SuperLocalMemory,T1,Dedicated memory layers,Local-geometric / privacy-first / no LLM scoring,Cloud-free agent memory using information-geometric retrieval (Fisher-Rao distance + BM25 + entity graph + temporal fusion via 4-channel RRF) instead of LLM calls for scoring and lifecycle.
VEKTOR Memory,T2,Dedicated memory layers,Local-SQLite + AUDN-loop + TypeScript-native,Node.js/TypeScript-native memory layer.
Memory Store,T2,Dedicated memory layers,Cross-agent shared episodic + preference memory,YC P26 (Spring 2026).
Interloom,T1,Dedicated memory layers,Enterprise tacit-knowledge memory,German startup.
Nyne,T2,Dedicated memory layers,Human-profile / people-graph memory,"Deploys agents across the web to build structured profiles of individuals from public digital footprint, then feeds the people graph into AI agents as contextual memory so they understand users before any conversation starts."
NeoCognition,T1,Dedicated memory layers,World-model / experiential self-learning memory,"Builds agents that learn from experience by constructing a ""world model"" of the micro-environment they operate in."
MemoraX AI,T2,Dedicated memory layers,Endogenous / in-model memory (no external bank),Shenzhen.
Trace,T2,Dedicated memory layers,Context-graph / KG memory,YC S25 + $3M seed (Feb 2026).
Cellon (Memory.inc),T2,Dedicated memory layers,Cross-service context stitching / retrieval memory,Korean startup.
