company,round_type,date,amount_usd,lead_investor,valuation,source_url
Pinecone,Seed,2022-01-01,10000000,Wing Venture Capital,no data,https://tracxn.com/d/companies/pinecone-systems/__0UwanTwdq5VEQ_i9ABozYwVOolyHuunHPhQ2BgGYPG4/funding-and-investors
Pinecone,Series A,2022-01-01,28000000,Wing Venture Capital,no data,https://tracxn.com/d/companies/pinecone-systems/__0UwanTwdq5VEQ_i9ABozYwVOolyHuunHPhQ2BgGYPG4/funding-and-investors
Pinecone,Series B,2023-04-27,100000000,Andreessen Horowitz,750000000,https://techcrunch.com/2023/04/27/pinecone-drops-100m-investment-on-750m-valuation-as-vector-database-demand-grows/
Weaviate,Seed,2020-01-01,no data,no data,no data,https://www.crunchbase.com/organization/weaviate
Weaviate,Series A,2022-01-01,17700000,no data,no data,https://www.clay.com/dossier/weaviate-funding
Weaviate,Series B,2023-04-20,50000000,Index Ventures,200000000,https://www.prnewswire.com/news-releases/weaviate-raises-50-million-series-b-funding-to-meet-soaring-demand-for-ai-native-vector-database-technology-301803296.html
Qdrant,Series A,2024-01-01,28000000,Unusual Ventures,no data,https://www.businesswire.com/news/home/20260312313902/en/Qdrant-Raises-$50-Million-Series-B-to-Define-Composable-Vector-Search-as-Core-Infrastructure-for-Production-AI
Qdrant,Series B,2026-03-12,50000000,AVP (Advance Venture Partners),no data,https://www.businesswire.com/news/home/20260312313902/en/Qdrant-Raises-$50-Million-Series-B-to-Define-Composable-Vector-Search-as-Core-Infrastructure-for-Production-AI
Chroma,Pre-Seed,2022-05-01,no data,AIX Ventures,no data,https://www.crunchbase.com/funding_round/chroma-4a75-pre-seed--8b0f28f5
Chroma,Seed,2023-04-06,18000000,Quiet Capital,75000000,https://siliconangle.com/2023/04/06/chroma-bags-18m-speed-ai-models-embedding-database/
Zilliz (Milvus),Series B,2021-08-24,43000000,Hillhouse Capital,no data,https://techcrunch.com/2022/08/24/zilliz-the-startup-behind-the-milvus-open-source-vector-database-for-ai-applications-raises-60m-and-relocates-to-sf/
Zilliz (Milvus),Series B Extension,2022-08-24,60000000,Prosperity7 Ventures (Aramco),no data,https://zilliz.com/news/vector-database-company-zilliz-series-b-extension
LanceDB,Seed,2023-01-01,8000000,CRV,no data,https://www.lancedb.com/blog/series-a-funding
LanceDB,Series A,2025-06-01,30000000,Theory Ventures,no data,https://www.lancedb.com/blog/series-a-funding
Neo4j,Series A,2012-01-01,no data,no data,no data,https://neo4j.com/news/neo4j-raises-325m-in-series-f-valued-at-over-2-billion/
Neo4j,Series F,2021-06-17,325000000,Eurazeo,2000000000,https://neo4j.com/news/neo4j-raises-325m-in-series-f-valued-at-over-2-billion/
TigerGraph,Series C,2021-02-17,105000000,Tiger Global Management,no data,https://techcrunch.com/2021/02/17/tigergraph-raises-105m-series-c-for-its-enterprise-graph-database/
Cursor (Anysphere),Series A,2024-08-01,60000000,no data,400000000,https://techcrunch.com/2024/12/19/in-just-4-months-ai-coding-assistant-cursor-raised-another-100m-at-a-2-5b-valuation-led-by-thrive-sources-say/
Cursor (Anysphere),Series B,2024-12-19,100000000,Thrive Capital,2600000000,https://techcrunch.com/2024/12/19/in-just-4-months-ai-coding-assistant-cursor-raised-another-100m-at-a-2-5b-valuation-led-by-thrive-sources-say/
Cursor (Anysphere),Series C,2025-06-01,900000000,Thrive Capital,9900000000,https://techcrunch.com/2025/11/13/coding-assistant-cursor-raises-2-3b-5-months-after-its-previous-round/
Cursor (Anysphere),Series D,2025-11-13,2300000000,Accel; Coatue,29300000000,https://techcrunch.com/2025/11/13/coding-assistant-cursor-raises-2-3b-5-months-after-its-previous-round/
Tabnine,Series B,2023-11-08,25000000,Telstra Ventures,no data,https://techcrunch.com/2023/11/08/code-generating-ai-platform-tabnine-nabs-25m-investment/
Hippocratic AI,Series A,2024-03-01,53000000,no data,no data,https://techcrunch.com/2025/01/09/hippocratic-ai-raises-141m-for-creating-patient-facing-ai-agents/
Hippocratic AI,Series B,2025-01-09,141000000,Kleiner Perkins,1640000000,https://techcrunch.com/2025/01/09/hippocratic-ai-raises-141m-for-creating-patient-facing-ai-agents/
Hippocratic AI,Series C,2025-11-03,126000000,Avenir Growth,3500000000,https://www.businesswire.com/news/home/20251103432446/en/Hippocratic-AI-Raises-$126-Million-in-Series-C-at-$3.5-Billion-Valuation-Led-by-Avenir-Growth-to-Expand-Clinically-Safe-Generative-AI-Agents-Across-Healthcare
Abridge,Series D,2025-02-01,no data,no data,2650000000,https://techcrunch.com/2025/06/24/in-just-4-months-ai-medical-scribe-abridge-doubles-valuation-to-5-3b/
Abridge,Series E,2025-06-24,300000000,Andreessen Horowitz,5300000000,https://www.abridge.com/blog/series-e
Abridge,Series E Extension,2026-04-01,316000000,Andreessen Horowitz,no data,https://techjacksolutions.com/ai-brief/abridge-closes-reported-316m-series-e-extension-at-53b-valua/
DeepScribe,Series A,2022-01-12,30000000,Index Ventures,no data,https://techcrunch.com/2022/01/12/ai-powered-transcription-platform-deepscribe-raises-30m-to-unburden-doctors-from-tedious-data-entry/
Suki AI,Series D,2024-10-10,70000000,Hedosophia,no data,https://www.businesswire.com/news/home/20241010687252/en/Suki-Secures-$70M-Series-D-Funding-as-Demand-Surges-Expands-Strategic-Partnership-with-MedStar-Health
Nabla,Series B,2024-01-05,24000000,Cathay Innovation,180000000,https://techcrunch.com/2024/01/05/nabla-raises-another-24-million-for-its-ai-assistant-for-doctors/
Nabla,Series C,2025-06-17,70000000,no data,no data,https://www.statnews.com/2025/06/17/nabla-raises-70-million-ambient-market-heats-up/
Harvey,Series C,2024-07-01,100000000,GV (Google Ventures),1500000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Series D,2025-02-01,300000000,Sequoia Capital,3000000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Series E,2025-06-01,300000000,Kleiner Perkins; Coatue,5000000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Strategic,2025-10-01,59000000,EQT Growth,no data,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Series F,2025-12-04,160000000,Andreessen Horowitz,8000000000,https://techcrunch.com/2025/12/04/legal-ai-startup-harvey-confirms-8b-valuation/
Harvey,Growth,2026-03-25,200000000,GIC; Sequoia Capital,11000000000,https://www.cnbc.com/2026/03/25/legal-ai-startup-harvey-raises-200-million-at-11-billion-valuation.html
Luminance,Series B,2024-04-02,40000000,March Capital,no data,https://www.cnbc.com/2024/04/02/legal-tech-startup-luminance-rides-ai-hype-to-40-million-fundraise.html
Luminance,Series C,2025-02-01,75000000,Point72 Private Investments,no data,https://sifted.eu/articles/luminance-ai-agent-raise-news
Spellbook,Seed,2023-05-01,10900000,no data,no data,https://www.businesswire.com/news/home/20240124392330/en/Legal-AI-Startup-Spellbook-Raises-%2420M-Series-A-Funding-Round-Following-10x-Revenue-Growth
Spellbook,Series A,2024-01-24,20000000,Inovia Capital,no data,https://www.businesswire.com/news/home/20240124392330/en/Legal-AI-Startup-Spellbook-Raises-%2420M-Series-A-Funding-Round-Following-10x-Revenue-Growth
Filevine,Series D,2022-01-01,108000000,StepStone Group,no data,https://news.crunchbase.com/enterprise/filevine-legal-tech-vc-funding-ironclad/
Filevine,Undisclosed (2 rounds combined),2023-2024,400000000,Insight Partners; Accel,no data,https://www.filevine.com/news/filevine-raises-400m-with-insight-accel-and-halo-fund-to-scale-legal-intelligence/
Hebbia,Series B,2024-07-08,130000000,Andreessen Horowitz,700000000,https://techcrunch.com/2024/07/09/ai-startup-hebbia-rased-130m-at-a-700m-valuation-on-13-million-of-profitable-revenue/
Sierra,Series A,2024-02-01,no data,no data,no data,https://siliconangle.com/2024/10/28/generative-ai-agent-startup-sierra-technologies-raises-175m-4-5b-valuation/
Sierra,Series B,2024-10-28,175000000,Greenoaks Capital,4500000000,https://siliconangle.com/2024/10/28/generative-ai-agent-startup-sierra-technologies-raises-175m-4-5b-valuation/
