name,batch,one_liner,website,slug,industries,tags,team_size,all_locations,status,stage,agent_type,ai_vertical,ai_tech_strength,ai_confidence,ai_reasoning,long_description
AutoComputer,Fall 2024,Desktop RPA with AI computer use,https://www.autocomputer.ai/,autocomputer,B2B,Artificial Intelligence; Deep Learning; B2B; Enterprise; Automation,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,B2B,Vertical Agent Product,0.9,"AutoComputer offers a desktop RPA system that uses AI to autonomously perform multi-step tasks based on text prompts, qualifying as an autonomous AI agent product.","AutoComputer is a desktop robotic process automation system.  Given just a text prompt, our AI automates tedious tasks such as financial data entry by performing all the clicks and keystrokes for you."
Avora,Fall 2024,Agents for dental operations,https://www.getavora.ai,avora,Healthcare,,4,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"Avora deploys agents that autonomously listen, identify moments, and chart notes in dental operations, fitting the single-purpose agent category.","Avora helps dental groups (DSOs) boost case acceptance and institutionalize clinical excellence. We deploy agents that listen to appointments, identify coachable moments, and chart notes to save provider time."
Canvas,Fall 2024,Continual learning for agents,https://www.canvas.inc/,canvas,B2B,,3,"San Francisco, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Evaluation & Monitoring,0.95,"Canvas builds continual learning, evaluation, and observability infrastructure specifically for AI agents in production, making it an agent-enabling platform.","Canvas builds the continual-improvement layer for AI in production.
Post-training, evals, infrastructure, and observability for agents that compound as a flywheel."
Capy,Fall 2024,The IDE for the parallel age,https://capy.ai,capy,"B2B; Engineering, Product and Design",AI; AI Assistant,6,"San Francisco, CA, USA",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent Orchestration,0.95,"Capy provides an IDE to orchestrate multiple coding agents in parallel, clearly an agent orchestration platform.",Orchestrate an army of coding agents from one dashboard. Ship entire sprints in parallel.
Careforce,Fall 2024,"AI Workers for Healthcare Orgs to Find, Call & Schedule More Patients.",https://careforce.ai/,careforce,Healthcare; Healthcare IT,Health Tech; Healthcare; Healthcare IT; Call Center; AI,9,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"Careforce builds AI Workers that autonomously find, call, and schedule patients, fitting the single-purpose healthcare agent product category.","Careforce builds AI Workers for healthcare orgs to take on coordination burden from staff and reduce time of care by autonomously identifying and outreaching patients (through phone, text, email, & mail) to schedule visits, book screenings, complete pre-post, and onboard. 

These agents require no integration, can navigate all tools, speak 29 languages, come with 50+ outreach scripts and have a remarkable 80% conversation-to-booking closing rate."
Cekura,Fall 2024,Voice AI and Chat AI agents: Testing and Observability,https://www.cekura.ai/,cekura-ai,"B2B; Engineering, Product and Design",Developer Tools; SaaS; B2B,15,"San Francisco, CA, USA",Active,Early,CaaS Platform,General Purpose / Horizontal,Agent Evaluation & Monitoring,0.9,"Cekura provides automated QA and monitoring tools specifically for voice and chat AI agents, supporting the agent lifecycle, which is agent infrastructure.","Cekura helps Conversational AI companies with automated QA. From pre-production simulation and evaluations to production call monitoring, to assisting customers in setting up the CI/CD pipeline, we help in QA across the agent lifecycle.

We are working with 75+ customers across healthcare, BFSI, logistics, recruitment, and retail. Some of the largest CCAS players and enterprises use Cekura to ship AI voice and chat agents reliably "
CollectWise,Fall 2024,Automating consumer debt collection with AI,https://collectwise.com/,collectwise,Fintech,,8,"New York City, NY, USA",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.9,"CollectWise automates consumer debt collection with AI agents focused on that specific use case, making it a vertical single-purpose agent product.",CollectWise automates consumer debt collection with AI. Our platform allows creditors and agencies to double their recovery rates while reducing collection costs by 75%.
Dexter,Fall 2024,Spend Intelligence for Complex Enterprises,https://www.getdexter.co/,dexter,B2B; Finance and Accounting,SaaS; B2B; Analytics; Procurement; Automation,3,"Berlin, Berlin, Germany",Active,Early,Single-Purpose Agent,Finance & Accounting,Vertical Agent Product,0.9,"Dexter uses AI agents to mine procurement data and surface insights, a vertical single-purpose agent product.","Dexter helps procurement teams understand exactly where money is being spent and where it can be saved. Dexter's AI agents mine supplier invoices and contracts for insights, surfacing consolidation opportunities, contract leakage, and off-contract spend. "
Endstack,Fall 2024,Cloud desktop OS for humans and agents,https://www.endstack.com,endstack,B2B,Artificial Intelligence; Developer Tools; Generative AI; AI Assistant,2,"Los Angeles, CA, USA",Active,Early,CaaS Platform,Infrastructure & DevOps,Agent Building Platform,0.95,"Endstack provides a cloud desktop OS integrating autonomous AI agents at the system level, enabling agent use and collaboration, making it an agent platform.","Endstack is a desktop OS optimized for humans and agents running in the cloud.

Your desktop is powered by endOS, giving you a real desktop workspace in the browser backed by Linux in the cloud. Files, notes, browser tabs, native apps, terminals, and all your agents in one beautiful, familiar, interface.

You get a powerful agent running 24/7, integrated at the system level into endOS that you can also reach via Slack, email, or SMS. 

Endstack desktops are also natively multiplayer, allowing for realtime collaboration with teammates."
Freebuff,Fall 2024,The 100% free coding agent,https://freebuff.com,freebuff,"B2B; Engineering, Product and Design",Artificial Intelligence; Developer Tools,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Engineering & Dev Tools,Vertical Agent Product,0.9,"Freebuff is a coding agent CLI that acts autonomously to assist developers, making it a single-purpose AI agent product for coding.","We're making consumer agent products completely free, using the best open source models, and funded by ads.

Our first product is a coding agent CLI called Freebuff. Install it with ""npm i -g freebuff"". We're also working on a free Lovable competitor."
Friday,Fall 2024,The AI Assistant for Gmail,https://www.friday.so,friday,Consumer,Productivity; Email; AI; AI Assistant,5,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Productivity,Vertical Agent Product,0.9,"Friday autonomously manages emails by predicting and taking actions on them, fitting the definition of a single-purpose AI agent product.","Email sucks. It takes forever to go through, and hiring an assistant is costly and invasive. Friday is building the assistant that learns how to predict the action that you will take on your emails, and does it for you.

Today's email products try to help you go through your emails a little faster, but if you have to get through 1000 emails, those products doesn't do much for you. 

The reality is, most of the emails you get don't require you to personally look at them. Friday completely eliminates the need to check those emails, and handles them all at once for you, immediately. 

Friday is here to file away spam, sift through newsletters for important tidbits, text you important notifications, and reply to mundane emails, so that no matter how many thousands of emails are in your inbox, you'll just be left with the few emails that actually require your personal touch.

Getting this right is difficult, so everyone else settles with trying to help you go through your email twice as fast. If you want to go 100x as fast, you shouldn't spend even a second on useless emails. 

Friday gets this right, bringing the elite experience of having a professional assistant to the entire world."
FutureClinic,Fall 2024,Personal doctors through chat,https://www.futureclinic.com,futureclinic,Healthcare,Health Tech; Digital Health; Healthcare,4,"New York City, NY, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.95,"FutureClinic's AI assistant performs medical history taking, reasoning, and treatment suggestions autonomously, making it a healthcare-focused single-purpose AI agent.","FutureClinic is a platform that makes it easy for any doctor to open their own digital clinic. Our AI assistant takes a comprehensive medical history using an empathic chat or voice-based interface, uses sophisticated medical reasoning to narrow down likely diagnoses, and produces evidence-based treatment suggestions for each patient. Licensed doctors then review the text-based summaries of the cases our AI provides, and choose how to manage the patients. In this fashion, we're able to deliver end-to-end healthcare in a way that makes personalized, expert healthcare scalable to 8 billion people around the world. "
Gecko Security,Fall 2024,The AI Security Engineer to Find and Fix Vulnerabilities ,https://gecko.security,gecko-security,B2B; Security,SaaS; B2B; Security; Cybersecurity; AI,2,"London, United Kingdom",Active,Early,Single-Purpose Agent,Security,Vertical Agent Product,0.9,"Gecko Security uses AI to autonomously find, verify, and fix vulnerabilities, fitting the profile of a single-purpose AI security agent.","We built Gecko for teams that want to build secure code quickly without wasting time on security tools that don’t deliver results, or relying on one-time human pentests that quickly become outdated. Gecko uses AI to understand how your application should work, simulates relevant attacks to find critical vulnerabilities, and then verifies these vulnerabilities by exploiting them. It also helps you understand the risk of these vulnerabilities and applies a working fix to keep your code secure."
HYBRD,Fall 2024,coaching agents for athletes,https://www.hybrd.com/,hybrd,Consumer,Health Tech; Consumer; Fitness; Digital Health; AI,5,"Boston, MA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"HYBRD provides a coaching AI agent that autonomously adjusts training programs based on data, qualifying as a single-purpose AI agent in health and fitness.","The mission of HYBRD is to take world-class coaching and make it universally available. 

Health data has never been more abundant. GPS watches track pace and heart rate, wearables monitor sleep and recovery, and voice logging has made it easier than ever to capture weightlifting and HYROX. 

And yet most athletes are still following static PDF plans they found online, or ""adaptive"" apps that fall apart the moment cross-training enters the picture.

Existing tools feel disappointing because they don’t actually know your goals and constraints, so they can’t do anything meaningful with the data they collect. 
HYBRD can. 

We aggregate your wearable data, fill the gaps with a simple AI logger, and use that complete picture to build personalized training programs from the best coaches in the world, like Alex Viada, who coined the term ""hybrid athlete."" 

From there, the HYBRD agent keeps you on track, adjusting your schedule around weather, travel, and fatigue as you progress. Everything you'd get from a $500/month coach, at a 50x lower price. 

Founded in 2024 by WHOOP and AWS alumni, HYBRD is built by hybrid athletes. Join us for a workout every Monday morning in San Francisco and Boston."
HealthSpark,Fall 2024,Empowering Physical Therapists to Go Independent,https://www.joinhealthspark.com,healthspark,Healthcare,Health Tech; Digital Health; Healthcare; AI,1,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.9,"HealthSpark offers an AI-native platform automating administrative tasks for physical therapists, acting as a specialized AI agent product.","HealthSpark empowers physical therapists (PTs) to start, run, and grow their own independent practices. Our AI-native “business-in-a-box” takes care of the administrative work—credentialing, insurance billing, patient onboarding, documentation, and scheduling—so PTs can focus on patient care, not paperwork."
ISSEN,Fall 2024,AI realtime voice companion for language learning,https://issen.com,issen,Consumer,Education; Generative AI; Consumer; AI,1,"New York, NY, USA",Active,Early,Single-Purpose Agent,Education,Vertical Agent Product,0.9,"ISSEN is an AI conversational voice tutor that adapts lessons autonomously, fitting the single-purpose AI agent category in education.","ISSEN is an AI conversational language app that helps you become fluent. Your on-demand voice tutor is personal to you, adapting lessons and chats to your particular interests, learning style, and goals. Our mission is to transform language learning by offering a level of connection, effectiveness and fun that, until now, only human teachers could provide."
Innate,Fall 2024,Personal AI Robots,https://innate.bot,innate,Consumer; Consumer Electronics,Artificial Intelligence; Developer Tools; Robotics,7,"San Francisco, CA, USA",Active,Early,CaaS Platform,Consumer,Agent Building Platform,0.95,"Innate builds a platform for programming personal AI robots with code, language, and demonstrations, enabling others to create autonomous agents.","We make personal AI robots - general-purpose physical machines that anyone can program with code, language and demonstrations.

We believe building open platforms like the first PCs this is the only way to bring the robotics future that we all want, where everyone can participate in the robotics revolution."
Karmen,Fall 2024,Your AI scheduling assistant for construction,https://www.karmenai.com,karmen,Real Estate and Construction; Construction,,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Real Estate,Vertical Agent Product,0.9,"Karmen autonomously builds and updates construction schedules, acting as a single-purpose AI scheduling agent for construction.","Karmen is an AI scheduling assistant for construction. Karmen builds your baseline schedules from project documents, and updates them as your project evolves, saving you time and potential delays.

"
Lightscreen AI,Fall 2024,Voice + video AI interviewer,https://lightscreen.ai,lightscreen-ai,B2B; Recruiting and Talent,,2,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,HR & Recruiting,Vertical Agent Product,0.95,Lightscreen AI provides a customizable autonomous AI voice and video interviewer agent that conducts multi-step technical interviews with smart interruptions and evaluation.,"Lightscreen’s voice + video AI interviewer enables companies to identify and invest in genuinely skilled candidates. It's already being used by high-growth startups and recruiting agencies to screen technical candidates. 

We provide companies with a voicebot that can run a full-length technical interview, does smart interruptions, and multi-modal cheating detection. The AI provides the company rubric-based, rich candidate evaluation in minutes and can be fully customized to ask questions and evaluate based on the company's needs. "
Lingo.dev,Fall 2024,The Localization Engineering Platform,https://lingo.dev,lingodotdev,"B2B; Engineering, Product and Design",Developer Tools; B2B; International; Infrastructure; AI,7,"San Francisco, CA, USA; Remote",Active,Early,CaaS Platform,Engineering & Dev Tools,Agent API/SDK,0.9,"Lingo.dev offers stateful translation APIs with persistent domain context and configurable localization engines, enabling others to build and deploy autonomous localization agents.","Lingo.dev is a localization engineering platform where teams create localization engines – stateful translation APIs configured with glossaries, brand voice rules, per-locale model preferences, and quality scoring. Each engine persists domain context across every request via retrieval augmented localization (RAL). Integrate via API, CLI, CI/CD, or other integrations. Localization infrastructure behind 200M+ translated words for teams including Mistral, Solana, SoSafe, and Cal.com."
Luthor,Fall 2024,Real-time governance for enterprise communications,https://luthor.ai,luthor,B2B,B2B; Compliance; Marketing; Regtech; AI,3,"San Francisco, CA, USA",Active,Early,Single-Purpose Agent,Legal & Compliance,Vertical Agent Product,0.9,"Luthor provides a real-time compliance AI agent that autonomously reviews, enforces, and logs marketing content to ensure regulatory compliance.","Luthor replaces fragmented compliance workflows with a single system that reviews, enforces, and logs every piece of marketing content the moment it’s created.

Generative AI has made content production effortless. Manual compliance review has not kept up. This gap is now the largest and fastest-growing source of risk in the enterprise.

Luthor closes that gap completely. Every claim is checked against your policies, your regulations, and your approved sources before it goes live. Marketing teams move faster. Compliance teams gain complete confidence, with every message verified and fully auditable.

Trusted by asset managers, RIAs, lenders, banks, and credit unions to operate at AI-era volume while meeting SEC, FINRA, FTC, UDAAP, and more.

Luthor eliminates the gap between what companies say and what they can stand behind."
Matcha,Fall 2024,The best way to hire clinical talent.,https://www.matcha-health.com,astrix-health,Healthcare,Machine Learning; Marketplace; Recruiting; Healthcare; AI,2,"New York, NY, USA",Active,Early,Single-Purpose Agent,Healthcare,Vertical Agent Product,0.85,"Matcha uses AI agents to engage and match clinical talent to hospitals, automating candidate screening and matching processes.","We're building Matcha, the faster, smarter way to hire clinical talent—helping hospitals find active, qualified candidates at a fraction of the time and cost of job boards or headhunters.

Matcha engages candidates at scale, matching them to your organization by qualifications and cultural fit. Recruiters save time, hospitals save money, and candidates get a better experience—a radically better hiring model for everyone involved."
