system,field,value,url,notes
Stardog,created,2010,https://tracxn.com/d/companies/stardog-union/__ndZ0edfq3lw3HxO_Xxwj_FPrCivThi1Mc74J0lwbhv8,Founded 2010 per multiple sources
Stardog,data_handling,"Does not sell customer data; grants data rights only for product operation and maintenance",https://www.stardog.com/privacy-policy/,Stardog never shares personal information with third parties except as required by law
Stardog,founders,"Kendall Clark (CEO/co-founder), Michael Grove, Evren Sirin",https://www.stardog.com/company/about/,Founded 2010; Kendall Clark is philosopher-turned-data-scientist
TopQuadrant,created,2001,https://www.topquadrant.com/about-us/,Raleigh NC; founded 2001
TopQuadrant,funding,"$350K (seed; bootstrapped)",https://www.crunchbase.com/organization/topquadrant,No additional rounds found
TopQuadrant,customers,"Enterprise only — unnamed regulated-industry clients",https://www.topquadrant.com/,No public named customers or headcount disclosed
TopQuadrant,pricing,"Enterprise only — modular packages (Metadata Mgmt, Reference Data Mgmt, Vocabulary Mgmt, Business Glossaries); no list prices",https://www.topquadrant.com/topbraid-edg/,TopBraid Explorer offers read-only access at lower per-user cost
TopQuadrant,compliance,"No data — searched not found",https://www.topquadrant.com/,No SOC2/ISO references found publicly
TopQuadrant,data_handling,"No data — searched not found",https://www.topquadrant.com/,No public data-handling statement found
TopQuadrant,deployment,"Both (on-prem + Azure Marketplace SaaS)",https://marketplace.microsoft.com/en-us/product/saas/topquadrant.edg,Available on Azure Marketplace
TopQuadrant,hq,"US (Raleigh NC)",https://www.topquadrant.com/about-us/,Research Triangle Park area
TopQuadrant,founders,"Irene Polikoff (CEO/co-founder), Ralph Hodgson, Robert Coyne",https://www.topquadrant.com/about-us/,Irene Polikoff is co-founder and CEO
TopQuadrant,mindshare,"Below detection threshold — no significant LinkedIn/HN signal",https://www.topquadrant.com/,Niche SKOS/OWL governance product
Neo4j,data_handling,"Processes customer data solely on behalf of the customer (data controller); does not sell user information; customer data not used for training",https://neo4j.com/legal-terms/privacy-notice/,Privacy notice explicitly scopes out uploaded data from coverage
Neo4j,founders,"Emil Eifrem (CEO/co-founder), Johan Svensson, Peter Neubauer; founded 2007 in Sweden",https://en.wikipedia.org/wiki/Neo4j,Open-sourced initially; company formed 2007
TigerGraph,data_handling,"Customer data not used for vendor model training; ML training happens outside TigerGraph in customer's own ML environment",https://docs-beta.tigergraph.com/cloud/tigergraph-cloud-faqs,CCPA and GDPR compliant; data encrypted in transit via SSL
TigerGraph,founders,"Yu Xu (founder/CTO); Mingxi Wu (Head of Engineering); founded 2012",https://en.wikipedia.org/wiki/TigerGraph,Current CEO is Rajeev Shrivastava
AllegroGraph,created,1984,https://franz.com/about/,Franz Inc. founded 1984 — AllegroGraph is its flagship product
AllegroGraph,funding,"No external funding — privately held since 1984",https://www.crunchbase.com/organization/franz-inc-,Bootstrapped
AllegroGraph,customers,"No data — searched not found",https://allegrograph.com/,No public customer list
AllegroGraph,pricing,"Free tier + commercial licenses (quote-based)",https://allegrograph.com/,No public price list
AllegroGraph,compliance,"No data — searched not found",https://allegrograph.com/,No public SOC2 or ISO certifications found
AllegroGraph,data_handling,"No data — searched not found",https://allegrograph.com/,No public data-handling statement
AllegroGraph,deployment,"Both (on-prem + cloud)",https://allegrograph.com/,Self-hostable + cloud options documented
AllegroGraph,hq,"US (Lafayette/Oakland CA)",https://franz.com/about/,3515 Mt Diablo Blvd Lafayette CA
AllegroGraph,founders,"John Foderaro, Kevin Layer, Fritz Kunze (Franz Inc.)",https://www.encyclopedia.com/books/politics-and-business-magazines/franz-inc,AllegroGraph is the RDF product of Franz Inc.
Ontotext GraphDB / Graphwise,created,2008,https://en.wikipedia.org/wiki/Ontotext_GraphDB,Ontotext founded 2008 by Atanas Kiryakov in Sofia; merged with SWC Oct 2024 to form Graphwise
Ontotext GraphDB / Graphwise,funding,"~€41M total (€30M valuation + €11M invested by Integral/PortfoLion/Carpathian/EBRD in 2022-2023)",https://therecursive.com/a-content-management-platform-and-a-graph-database-come-together-in-the-new-company-graphwise/,Previous owner was Sirma Group Holding
Ontotext GraphDB / Graphwise,customers,"No data — searched not found",https://graphwise.ai/,No public customer list
Ontotext GraphDB / Graphwise,compliance,"No data — searched not found",https://graphwise.ai/,No public compliance certifications found
Ontotext GraphDB / Graphwise,data_handling,"No data — searched not found",https://graphwise.ai/,No public data-handling statement found
Ontotext GraphDB / Graphwise,founders,"Atanas Kiryakov (Ontotext); Andreas Blumauer & Martin Kaltenboeck (Semantic Web Company / PoolParty)",https://graphwise.ai/blog/graphwise-merger-swc-ontotext/,Graphwise formed Oct 2024 from merger
Ontotext GraphDB / Graphwise,mindshare,"Below detection threshold",https://graphwise.ai/,Niche European semantic web market
