source_system,target_system,relationship_type,evidence_quote
CrewAI Memory,Mem0,integrates_with,"Memory subsystem inside the CrewAI orchestration framework; integrates with Mem0 for the long-term tier."
Strands Agents Memory (AWS),Mem0,exclusive_partnership,"Memory via Mem0 integration (ElastiCache for Valkey + Neptune Analytics) or Bedrock AgentCore Memory. AWS+Mem0 partnership."
Strands Agents Memory (AWS),AWS Bedrock AgentCore Memory,or_backed_by,"Memory via Mem0 integration... or Bedrock AgentCore Memory."
Strands Agents Memory (AWS),Amazon Neptune Analytics,substrate,"Memory via Mem0 integration (ElastiCache for Valkey + Neptune Analytics)"
Strands Agents Memory (AWS),FAISS,default_substrate_local,"Local default uses FAISS"
Strands Agents Memory (AWS),OpenSearch,production_substrate,"OpenSearch for production"
AWS Bedrock AgentCore Memory,LangChain,native_integration,"Native integrations with LangChain/LangGraph and Strands."
AWS Bedrock AgentCore Memory,LangGraph Persistence,native_integration,"Native integrations with LangChain/LangGraph and Strands."
Mem0,Amazon Neptune Analytics,substrate,"AWS architecture: build persistent memory with Mem0 open source, Amazon ElastiCache for Valkey and Amazon Neptune Analytics"
Mem0,Amazon Neptune Analytics,integration_ga,"Neptune Analytics Mem0 integration GA 2025"
Haystack Memory (deepset),Mem0,integrates_with,"18k+ stars; production via deepset Cloud; integrates Mem0 as a memory store alternative."
AutoGen Memory,Mem0,integrates_with,"ListMemory chronological context + teachable agents that vectorise corrections. Integrates with Mem0/Zep rather than building deep memory natively."
AutoGen Memory,Zep & Graphiti,integrates_with,"Integrates with Mem0/Zep rather than building deep memory natively."
AgentOps,Mem0,integrates_with,"When Mem0 is connected, gains Memory Operation Timeline, Search Analytics, Memory Growth tracking, Error Tracking per memory call."
Ratine (observability),Mem0,integrates_with,"Free / open source. Auto-detects Mem0 local, AutoGen, custom layouts."
Langflow Memory,Mem0,bundled_integration,"Bundled Mem0 + Redis integrations for external memory layers."
Langflow Memory,Redis,bundled_integration,"Bundled Mem0 + Redis integrations for external memory layers."
FalkorDB,Mem0,graph_backend,"Native GraphRAG SDK. Graph-memory backend for Mem0"
FalkorDB,Zep & Graphiti,mcp_integration,"MCP server via Graphiti integration"
Amazon Neptune Analytics,Mem0,integration,"Vector index on graph nodes queryable via openCypher. Mem0 integration GA 2025"
