row_name,encryption_value,encryption_cite,multi_tenancy_value,multi_tenancy_cite,conflict_res_value,conflict_res_cite
Mem0,"AES-256 at rest, TLS in transit; BYOK supported; SOC 2 Type I (Type II in progress), HIPAA-ready",https://mem0.ai/security,"Logical namespace per (user_id, agent_id, run_id); self-hosted/on-prem deployment available for tenant isolation",https://docs.mem0.ai/core-concepts/memory-operations,"LLM-arbitrate via fact-extraction prompt: extracts facts, compares against existing memory, then ADD/UPDATE/DELETE/NOOP per LLM decision",https://docs.mem0.ai/open-source/features/graph-memory
Letta / MemGPT,"AES-256 at rest, TLS in transit (Letta Cloud on managed cloud)",https://docs.letta.com/,"Logical namespace per org/project/agent; self-hosted Docker option for hard tenant isolation",https://docs.letta.com/concepts/agents,"LLM-arbitrate: agent autonomously decides when to update core memory blocks via tool calls (memory_replace / memory_insert)",https://docs.letta.com/concepts/memgpt
Zep & Graphiti,"AES-256 at rest, TLS in transit; BYOK / customer-managed encryption keys; SOC 2 Type II certified",https://trust.getzep.com/,"Logical namespace per user/session; AWS VPC self-hosted option for full data residency; HIPAA BAA on Enterprise plan",https://www.getzep.com/pricing/,"Bi-temporal versioning (valid-time x transaction-time) via Graphiti temporal graph; new facts invalidate old facts at edge level rather than overwriting",https://help.getzep.com/graphiti
Cognee,"no data — searched not found",https://trust.cognee.ai/,"Logical namespace per project/dataset; self-hosted OSS deployment",https://docs.cognee.ai/core-concepts/main-operations,"LLM-arbitrate: pipelines re-extract entities and reconcile via cognee_reasoning step",https://docs.cognee.ai/
Supermemory,"AES-256 at rest, TLS in transit; SOC 2, HIPAA, and GDPR compliant; Enterprise VPC deployment",https://supermemory.ai/,"Enterprise: deploy in customer VPC for full tenant isolation; standard SaaS uses logical namespace per user/org",https://supermemory.ai/,"LLM-arbitrate via memory consolidation; vendor docs do not specify deterministic conflict rules",https://docs.supermemory.ai/
Memori,"not applicable — open-source library; encryption at rest depends on the SQL/MySQL backend the user provisions","https://github.com/GibsonAI/memori",not applicable — library; multi-tenancy is the embedding application's concern,https://github.com/GibsonAI/memori,"Append + LLM-arbitrate: writes to Memori DB are append-only; conscious-mode reranking and dedup is LLM-mediated",https://github.com/GibsonAI/memori
LangMem (LangChain),"not applicable — library; encryption depends on the LangGraph store backend (Postgres/SQLite/etc.)",https://langchain-ai.github.io/langmem/,"not applicable — library; namespacing is hierarchical (tuple-keyed) within whatever store the embedding app provides",https://langchain-ai.github.io/langmem/concepts/conceptual_guide/,"LLM-arbitrate via update prompt: extract -> reconcile against existing items -> emit ADD/UPDATE/DELETE",https://langchain-ai.github.io/langmem/concepts/conceptual_guide/
LangGraph Persistence,"not applicable — library; encryption depends on checkpointer backend (Postgres/SQLite/Redis)",https://langchain-ai.github.io/langgraph/concepts/persistence/,"not applicable — library; namespace is (thread_id, checkpoint_ns); hosted LangGraph Cloud runs in Anthropic-managed VPC",https://langchain-ai.github.io/langgraph/concepts/persistence/,"Last-write-wins on state-channel reducer; per-channel reducer functions can implement custom merge",https://langchain-ai.github.io/langgraph/concepts/low_level/
CrewAI Memory,"not applicable — library; encryption depends on storage backend",https://docs.crewai.com/,"not applicable — library; namespace via crew/agent IDs",https://docs.crewai.com/,"LLM-arbitrate via embeddings + retrieval; explicit contradiction handling not documented",https://docs.crewai.com/
LlamaIndex Memory,"not applicable — library; encryption depends on vector store backend",https://docs.llamaindex.ai/,"not applicable — library; namespace per index/session",https://docs.llamaindex.ai/,"Append-only with chat history; no automatic contradiction reconciliation",https://docs.llamaindex.ai/
