company,round_type,date,amount_usd,lead_investor,valuation,source_url
Mem0,Seed,2024-01-01,3900000,Kindred Ventures,,https://kindredventures.com/announcement/mem0-building-the-memory-infrastructure-for-personalized-ai/
Mem0,Series A,2025-10-28,20000000,Basis Set Ventures,150000000,https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
Letta (MemGPT),Seed,2024-09-23,10000000,Felicis Ventures,70000000,https://techcrunch.com/2024/09/23/letta-one-of-uc-berkeleys-most-anticipated-ai-startups-has-just-come-out-of-stealth/
Zep / Graphiti,Pre-Seed,2024-03-05,500000,Y Combinator,,https://bouncewatch.com/explore/startup/zep-ai
Zep / Graphiti,Seed (additional),2024-04-01,2300000,Y Combinator + Engineering Capital,,https://tracxn.com/d/companies/zep
Cognee,Pre-Seed,2025-01-01,1590000,Multiple angels,,https://www.eu-startups.com/2026/02/german-ai-infrastructure-startup-cognee-lands-e7-5-million-to-scale-enterprise-grade-memory-technology/
Cognee,Seed,2026-02-19,8150000,Pebblebed,,"https://www.cognee.ai/blog/cognee-news/cognee-raises-seven-million-five-hundred-thousand-dollars-seed"
Interloom,Seed,2026-03-01,16500000,DN Capital,,https://fortune.com/2026/03/23/interloom-ai-agents-raises-16-million-venture-funding/
Nyne,Seed,2026-03-01,5300000,Wischoff Ventures,,https://techcrunch.com/2026/03/13/nyne-founded-by-a-father-son-duo-gives-ai-agents-the-human-context-theyre-missing/
NeoCognition,Seed,2026-04-01,40000000,Cambium Capital + Walden Catalyst,,https://techcrunch.com/2026/04/21/ai-research-lab-neocognition-lands-40m-seed-to-build-agents-that-learn-like-humans/
MemoraX AI,Seed,2026-03-01,10000000,L2F Light Source,,https://eu.36kr.com/en/p/3785834045583875
Trace,Seed,2026-02-01,3000000,YC + Zeno + Transpose + Goodwater,,https://techcrunch.com/2026/02/26/trace-raises-3-million-to-solve-the-agent-adoption-problem/
MemWal (Walrus),Private Token Sale,2025-01-01,140000000,,2000000000,https://decrypt.co/365834/agentic-memory-walrus-takes-on-ais-next-big-bottleneck
Devin (Cognition),Seed/Pre-seed,2024-03-01,21000000,Founders Fund,,https://cognition.ai/blog/funding-growth-and-the-next-frontier-of-ai-coding-agents
Devin (Cognition),Series B,2024-04-01,175000000,Founders Fund,2000000000,https://techcrunch.com/2025/09/08/cognition-ai-defies-turbulence-with-a-400m-raise-at-10-2b-valuation/
Devin (Cognition),Series C,2025-03-01,,Lux Capital + 8VC,4000000000,https://techcrunch.com/2025/09/08/cognition-ai-defies-turbulence-with-a-400m-raise-at-10-2b-valuation/
Devin (Cognition),Series D,2025-08-01,500000000,,9800000000,https://builtin.com/articles/cognition-raises-400m-10b-valuation-20250908
