landscape_id,name,source_id,source_categories,source_url,match_method
aider--aider-chat,Aider,agentic-community,Agentic/Coding Agents,https://github.com/agentic-community/agentic-landscape,homepage_url
apache-age--age-apache-org,Apache AGE,agentic-community,Infrastructure/Knowledge Graphs,https://github.com/agentic-community/agentic-landscape,homepage_url
autogen-memory--microsoft-github-io,Autogen,agentic-community,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,homepage_url
autogpt--gh-significant-gravitas-autogpt,AutoGPT,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
axolotl--gh-axolotl-ai-cloud-axolotl,Axolotl,agentic-community,LLMs/Fine-tuning,https://github.com/agentic-community/agentic-landscape,repo_url
browser-use--browser-use-com,Browser Use,agentic-community,Agentic/Tool Integration,https://github.com/agentic-community/agentic-landscape,homepage_url
browser-use--browser-use-com,Browser Use,yc-sylph,Agent API/SDK,https://github.com/SylphAI-Inc/yc-agent-landscape,homepage_url
charm-crush--gh-charmbracelet-crush,crush,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
chroma--trychroma-com,Chroma,agentic-community,Infrastructure/Vector DBs,https://github.com/agentic-community/agentic-landscape,homepage_url
claude-mem--gh-thedotmack-claude-mem,claude-mem,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
colossalai--gh-hpcaitech-colossalai,ColossalAI,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
composio--composio-dev,Composio,agentic-community,Agentic/Tool Integration,https://github.com/agentic-community/agentic-landscape,homepage_url
confident-ai-deepeval--confident-ai-com,Confident AI,yc-sylph,Agent Evaluation & Monitoring,https://github.com/SylphAI-Inc/yc-agent-landscape,homepage_url
continue-dev-framework--continue-dev,Continue,agentic-community,Agentic/Coding Agents,https://github.com/agentic-community/agentic-landscape,homepage_url
crewai--crewai-com,Crew AI,agentic-community,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,homepage_url
daytona--daytona-io,Daytona,agentic-community,Agentic/Code Sandbox,https://github.com/agentic-community/agentic-landscape,homepage_url
e2b--e2b-dev,e2b,agentic-community,Agentic/Code Sandbox,https://github.com/agentic-community/agentic-landscape,homepage_url
eliza-ai16z--gh-elizaos-eliza,eliza,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
falkordb--falkordb-com,FalkorDB,agentic-community,Infrastructure/Knowledge Graphs,https://github.com/agentic-community/agentic-landscape,homepage_url
haystack-framework--haystack-deepset-ai,Haystack,agentic-community,Agentic/RAG,https://github.com/agentic-community/agentic-landscape,homepage_url
helicone--helicone-ai,Helicone,agentic-community,Agentic/Observability,https://github.com/agentic-community/agentic-landscape,homepage_url
inngest--inngest-com,Inngest,agentic-community,Agentic/Workflow Orchestration,https://github.com/agentic-community/agentic-landscape,homepage_url
lancedb--lancedb-com,LanceDB,agentic-community,Infrastructure/Vector DBs,https://github.com/agentic-community/agentic-landscape,homepage_url
langfuse--langfuse-com,LangFuse,agentic-community,Agentic/Observability,https://github.com/agentic-community/agentic-landscape,homepage_url
langmem-langchain--langchain-ai-github-io,LangMem,agentic-community,Agentic/Memory,https://github.com/agentic-community/agentic-landscape,homepage_url
lazygraphrag--gh-microsoft-graphrag,graphrag,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
legora--legora-com,Legora,yc-sylph,Vertical Agent Product,https://github.com/SylphAI-Inc/yc-agent-landscape,homepage_url
letta-memgpt--letta-com,Letta,agentic-community,Agentic/Memory,https://github.com/agentic-community/agentic-landscape,homepage_url
litellm--gh-berriai-litellm,LiteLLM,agentic-community,Agentic/LLM Gateway,https://github.com/agentic-community/agentic-landscape,repo_url
litellm--gh-berriai-litellm,litellm,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
livekit-agents--docs-livekit-io,LiveKit Agents,agentic-community,Agentic/Voice Agents,https://github.com/agentic-community/agentic-landscape,homepage_url
marqo--marqo-ai,marqo,agentic-community,Infrastructure/Vector DBs,https://github.com/agentic-community/agentic-landscape,homepage_url
mastra--mastra-ai,Mastra,yc-sylph,Agent Building Platform,https://github.com/SylphAI-Inc/yc-agent-landscape,homepage_url
mcp-servers-reference--gh-modelcontextprotocol-servers,servers,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
megatron-core--gh-nvidia-megatron-lm,Megatron-LM,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
mem0--mem0-ai,mem0,agentic-community,Agentic/Memory,https://github.com/agentic-community/agentic-landscape,homepage_url
mem0--mem0-ai,Mem0,yc-sylph,Agent Memory & State,https://github.com/SylphAI-Inc/yc-agent-landscape,homepage_url
metagpt-harness--gh-foundationagents-metagpt,MetaGPT,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
microsoft-semantic-kernel--gh-microsoft-semantic-kernel,Semantic Kernel,agentic-community,Agentic/Frameworks,https://github.com/agentic-community/agentic-landscape,repo_url
microsoft-semantic-kernel--gh-microsoft-semantic-kernel,semantic-kernel,antgroup,,https://github.com/antgroup/agentic-ai-landscape,repo_url
milvus--milvus-io,Milvus,agentic-community,Infrastructure/Vector DBs,https://github.com/agentic-community/agentic-landscape,homepage_url
