row_name,new_claims_value,citation_url,status
ACON,"Reduces memory usage by 26-54% (peak tokens) while preserving task performance; preserves >95% of accuracy when distilled into smaller compressors; up to 46% gain for smaller LMs as long-horizon agents. Headline: 54.5% peak-token reduction on 8-objective QA while surpassing uncompressed EM/F1; baselines: No-Compression, FIFO, Retrieval, LLMLingua, naive Prompting; primary datasets: AppWorld, OfficeBench, 8-objective QA.",https://arxiv.org/abs/2510.00615,deepened
Agent KB,"Universal cross-framework agent knowledge base with disagreement gate ensuring retrieved knowledge enhances reasoning. Headline: smolagents +18.7pp at pass@3 (55.2%->73.9%) and OpenHands +4.0pp on SWE-bench (24.3%->28.3%); baseline: same frameworks without Agent KB retrieval; primary datasets: GAIA, Humanity's Last Exam, GPQA, SWE-bench.",https://arxiv.org/abs/2507.06229,deepened
Agent S,"Open agentic framework using computers like a human via experience-augmented hierarchical planning + Agent-Computer Interface (ACI). Headline: 20.58% success rate vs. 11.21% baseline on OSWorld (83.6% relative improvement, +9.37pp absolute); baseline: GPT-4o vanilla OSWorld agent; primary datasets: OSWorld (369 Ubuntu tasks) and WindowsAgentArena.",https://arxiv.org/abs/2410.08164,deepened
Agent Workflow Memory,Induces commonly-reused workflows from past experiences and applies them in offline (training) and online (test-time) modes. Headline: +24.6% on Mind2Web and +51.1% relative success-rate on WebArena over baseline; baseline: BrowserGym autonomous agent without human-annotated workflows; primary datasets: Mind2Web and WebArena (812 tasks across 5 websites).,https://arxiv.org/abs/2409.07429,deepened
AgentEvolver,"Self-evolving agent system: self-questioning for task generation, self-navigating for experience reuse, self-attributing for sample efficiency. Headline: superior task-goal completion (avg@8/best@8) over Vanilla GRPO baseline using substantially fewer parameters; baseline: Vanilla GRPO RL without experience guidance/process rewards; primary datasets: AppWorld and BFCL-v3 (multi-turn split).",https://arxiv.org/abs/2511.10395,deepened
AgentFold,"Proactive context management via folding inspired by retrospective consolidation; multi-scale granular condensation to deep consolidation. Headline: AgentFold-30B-A3B reaches 36.2% on BrowseComp and 47.3% on BrowseComp-ZH, surpassing DeepSeek-V3.1-671B (30.0% on BrowseComp) and OpenAI o4-mini; baselines: DeepSeek-V3.1-671B, GLM-4.5-355B, OpenAI o4-mini; primary datasets: BrowseComp, BrowseComp-ZH, WideSearch, GAIA.",https://arxiv.org/abs/2510.24699,deepened
Agentic Memory,"Agent-controlled memory operations as tool-based actions for long/short-term memory; trained via three-stage progressive RL with step-wise GRPO. Headline: AgeMem reaches 54.31% avg on Qwen3-4B-Instruct, +23.52% over best baseline (Mem0/A-Mem) and +49.59% over no-memory; baselines: Mem0, A-Mem, LangMem, AgeMem-noRL ablation; primary datasets: ALFWorld, SciWorld, PDDL, BabyAI, HotpotQA.",https://arxiv.org/abs/2601.01885,deepened
Agentic Plan Caching (APC),"Plan template extraction from completed agent runs with keyword retrieval and lightweight model adaptation. Headline: 50.31% serving-cost reduction and 27.28% latency reduction on average while preserving 96.61% of optimal performance; baselines: Accuracy-Optimal (large planner LM, no caching) and Semantic Caching; primary datasets: FinanceBench, TabMWP, QASPER, AIME 2024/2025, GAIA.",https://arxiv.org/abs/2506.14852,deepened
AI PERSONA,"Lifelong personalization of LLMs continuously adapting to diverse user profiles; releases code and data for benchmarking lifelong personalized LLM systems. Headline: Persona Learning (k=3) reaches 8.29 helpfulness and 7.63 personalization, approaching the Golden Persona upper bound (8.34, 7.78); baseline: No-Persona (7.96, 7.35); primary dataset: PersonaBench (200 personas, 10 common + 10 persona-specific scenes each, 6,000+ data points).",https://arxiv.org/abs/2412.13103,deepened
AiT (Associative Transformer),Sparse attention mechanism using Hopfield-energy associative memory for token reconstruction; CVPR 2025. Headline: outperforms SOTA sparse-Transformer Coordination method with significantly fewer parameters and attention layers (no specific headline metric in abstract); baseline: Coordination and other sparse-Transformer baselines; primary dataset: Sort-of-CLEVR.,https://arxiv.org/abs/2309.12862,deepened
Alita,"Generalist agent with minimal predefinition and maximal self-evolution via MCP generation. Headline: 75.15% pass@1 and 87.27% pass@3 on GAIA validation; 74.00% on Mathvista, 52.00% on PathVQA; baseline: complex agent systems with greater predefinition; primary datasets: GAIA, Mathvista, PathVQA.",https://arxiv.org/abs/2505.20286,deepened
Alita-G,"Self-evolution from generalist to domain expert via MCP synthesis, abstraction, and curation into MCP Box. Headline: 83.03% pass@1 and 89.09% pass@3 on GAIA with ~15% reduction in mean tokens per example, vs. 75.15% pass@1 for the original Alita master; baseline: original Alita master without specialized MCP box; primary datasets: GAIA, PathVQA, Humanity's Last Exam.",https://arxiv.org/abs/2510.23601,deepened
AlphaEdit,"Locating-then-editing parametric edits via null-space projection of perturbations preserving original knowledge. Headline: boosts existing methods by 36.7% on average across LLaMA3, GPT2-XL, GPT-J (32.85% Efficacy and 30.60% Generalization on LLaMA3); baselines: MEMIT, ROME, RECT, PRUNE, MEND, InstructEdit, plus Fine-Tuning; primary datasets: Counterfact and ZsRE for sequential editing, with GLUE for general-capability checks.",https://arxiv.org/abs/2410.02355,deepened
Arigraph,LLM agent builds and maintains memory graph integrating semantic and episodic information during exploration; outperforms memory baselines on text games and competitive on multi-hop QA. Headline: markedly outperforms established memory methods and strong RL baselines (no specific headline metric in abstract); baselines: memory methods and RL baselines; primary dataset: interactive text-game environments and multi-hop QA.,https://arxiv.org/abs/2407.04363,deepened
AriGraph,"LLM agent builds and maintains memory graph integrating semantic and episodic information during exploration. Headline: markedly outperforms established memory methods and strong RL baselines, competitive with dedicated KG-based methods (no specific headline metric in abstract); baselines: memory methods and RL baselines; primary dataset: interactive text-game environments and multi-hop QA.",https://arxiv.org/abs/2407.04363,deepened
ARMT (Associative RMT),"Associative recurrent memory transformer for long sequences. Headline: 79.9% accuracy on single-fact questions over 50M tokens on BABILong, surpassing RMT (76.4% at 10M) and Mamba (saturates near 500K); baselines: RMT and Mamba; primary dataset: BABILong multi-task long-context benchmark with associative-retrieval QA1-5 tasks.",https://arxiv.org/abs/2407.04841,deepened
ATLAS,"Long-context architecture optimizing recall via test-time memory. Headline: +80% accuracy at 10M-token BABILong vs. Transformers and recent linear-recurrent baselines; baselines: Transformers and linear-recurrent models; primary dataset: BABILong (plus language modeling, common-sense reasoning, recall-intensive long-context tasks).",https://arxiv.org/abs/2505.23735,deepened
BrowserAgent,"Direct browser interaction via Playwright with predefined actions and explicit memory of key conclusions across steps. Headline: BrowserAgent-RFT averages 0.484 LLM-judge score across six benchmarks vs. Search-R1-Instruct's 0.348 (~20% relative improvement on multi-hop QA); baseline: Search-R1-Instruct; primary datasets: NQ, PopQA, HotpotQA, 2WikiMultiHopQA, Musique, Bamboogle.",https://arxiv.org/abs/2510.10666,deepened
