row_name,section,integration_count,integration_count_cite,orchestration_patterns,orchestration_patterns_cite,programmatic_control,programmatic_control_cite,vendor_benchmarks,vendor_benchmarks_cite,pricing_specifics,pricing_specifics_cite,agent_abstraction,agent_abstraction_cite,memory_primitives,memory_primitives_cite,llm_lock,llm_lock_cite,runtimes,runtimes_cite,session_handling,session_handling_cite
Mem0,Dedicated memory layers,14,https://github.com/mem0ai/mem0 (analysis-4-network.md inbound: CrewAI/AutoGen/Haystack/DSPy/Langflow/AgentOps/Ratine/Strands/FalkorDB/Mem0 MCP/OpenMemory MCP/Mem0 Security/Inngest AgentKit/Pydantic-AI),both,https://docs.mem0.ai/open-source/features/multi-agent-memory,full CRUD + SDK (Python/Node REST),https://docs.mem0.ai/api-reference,"LoCoMo 91.6 (vendor); LMES ~26% improvement over OpenAI; ConvoMem 30 (vendor) — disputed by Zep counter-analysis",https://mem0.ai/research,"per-API-call: free tier 1k mem ops/mo; Starter $19/mo (50k ops); Pro $249/mo; Enterprise custom",https://mem0.ai/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Letta / MemGPT,Dedicated memory layers,1,https://github.com/letta-ai/letta (network analysis: 0 inbound from catalog rows; comparator only),single-agent,https://docs.letta.com/concepts/agent,full CRUD + SDK (Python/TS REST),https://docs.letta.com/api-reference,"LMES 83.2 (vendor); LoCoMo 74.0 with gpt-4o-mini (vendor)",https://www.letta.com/blog/benchmarking-ai-agent-memory,"per-message + per-agent tier flat-rate: Letta Cloud Free; Pro $20/mo; Enterprise custom; OSS self-hosted free",https://www.letta.com/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Zep & Graphiti,Dedicated memory layers,3,https://github.com/getzep/graphiti (analysis-4-network.md: AutoGen/FalkorDB/Graphiti MCP wrapper),both,https://help.getzep.com/graphiti/quickstart,full CRUD + SDK (Python/TS REST),https://help.getzep.com/sdk-reference,"LMES ~94.8% (vendor blog); disputed Mem0 LoCoMo via published counter-analysis",https://blog.getzep.com/state-of-the-art-agent-memory/,"tier flat-rate: Free; Standard $15/mo + $50 facts overage; Enterprise custom; Graphiti OSS free",https://www.getzep.com/pricing/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Cognee,Dedicated memory layers,1,https://github.com/topoteretes/cognee (network analysis: Strands/Mem0 reverse partnership noted; 1 catalog inbound from Cognee MCP),both,https://docs.cognee.ai/quickstart,full CRUD + SDK (Python),https://docs.cognee.ai/api-reference,"vendor publishes pipeline-quality metrics; no LMES/LoCoMo/ConvoMem score on standard leaderboards — searched not found",https://www.cognee.ai/pricing,"per-API-call + tier flat-rate: Free; Pro €40/mo; Enterprise custom",https://www.cognee.ai/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Hindsight (Vectorize),Dedicated memory layers,2,https://hindsight.vectorize.io/ (Pydantic-AI integration; Hindsight MCP),both,https://hindsight.vectorize.io/blog/2026/03/09/pydantic-ai-persistent-memory,full CRUD + SDK + MCP server,https://hindsight.vectorize.io/docs,"LMES 91% (vendor; highest among standalone memory services per VentureBeat post)",https://venturebeat.com/ai/vectorize-hindsight-memory/,"tier flat-rate inside Vectorize platform pricing; Hindsight standalone — no data — searched not found",https://vectorize.io/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Supermemory,Dedicated memory layers,1,https://github.com/supermemoryai/supermemory (claude-supermemory plugin; 1 inbound),both,https://supermemory.ai/docs,full CRUD + SDK + MCP server,https://supermemory.ai/docs/api,"LMES self-reported #1 (Multi-Session 71.43% / Temporal 76.69%); LoCoMo #1 self-reported; ConvoMem #1 self-reported (late 2025) ⚠ self-reported",https://supermemory.ai/research/,"per-memory + tier flat-rate: Free 100 memories; Pro $15/mo; Enterprise custom",https://supermemory.ai/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memvid,Dedicated memory layers,1,https://github.com/memvid/memvid (Memvid MCP plugin in Claude Code mechanisms section),agnostic,https://github.com/memvid/memvid#readme,full CRUD via Rust/Python lib (no remote API),https://github.com/memvid/memvid/blob/main/docs/api.md,"LoCoMo +35% (vendor); sub-millisecond ops 0.025ms P50",https://github.com/memvid/memvid,"OSS only (Apache-2.0); no commercial pricing",https://github.com/memvid/memvid,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
Memobase,Dedicated memory layers,1,https://github.com/memodb-io/memobase (Memobase MCP),both,https://docs.memobase.io/quickstart,full CRUD + SDK (Python/Node/Go) + MCP,https://docs.memobase.io/api-reference,"vendor reports sub-100ms retrieval; no LMES/LoCoMo public score — searched not found",https://www.memobase.io/,"tier flat-rate + pay-as-you-go: Free for testing; production paid (price not detailed)",https://www.memobase.io/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
OMEGA,Dedicated memory layers,0,https://omegamax.co/ (no inbound catalog edges),both,https://omegamax.co/docs,full CRUD + SDK,https://omegamax.co/docs,"LMES 95.4% (466/500) at 50ms (vendor) — claimed highest published",https://omegamax.co/,"open-core: Core free (Apache-2.0); Graph $249/mo; Pro multi-agent additional",https://omegamax.co/,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
ByteRover,Dedicated memory layers,0,https://www.byterover.dev/ (no inbound catalog edges),single-agent,https://www.byterover.dev/docs,full CRUD via API,https://www.byterover.dev/docs,"LoCoMo 92.2% (vendor; ByteRover 2.0)",https://www.byterover.dev/,"tier flat-rate: Free; Team $149/mo; Enterprise",https://www.byterover.dev/pricing,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A,N/A — wrong section,N/A
