system_name,compliance,data_handling,pricing,deployment,hq,source_url_compliance,source_url_data_handling,source_url_pricing,source_url_deployment,source_url_hq
Cognee,no data,no data,Free + paid,Both,DE,https://www.cognee.ai/security,https://www.cognee.ai/privacy-policy,https://www.cognee.ai/pricing,https://www.cognee.ai/pricing,https://www.cognee.ai/
Supermemory,no data,no data,OSS,Both,US,https://supermemory.ai/,https://supermemory.ai/,https://supermemory.ai/,https://github.com/supermemoryai/supermemory,https://github.com/supermemoryai
Hindsight (Vectorize),SOC 2 Type II,no data,Free + paid,Both,US,https://vectorize.io/security,https://vectorize.io/privacy,https://vectorize.io/articles/mem0-alternatives,https://hindsight.vectorize.io/developer/mcp-server,https://www.crunchbase.com/organization/vectorize-io
Pinecone,SOC 2 Type II; HIPAA (BAA available); ISO 27001; GDPR-compliant,Never trains on customer data (data used only for API call servicing); BYOK supported (CMEK),Free + paid,Hybrid,US,https://www.pinecone.io/security/,https://www.pinecone.io/security/,https://www.pinecone.io/pricing/,https://www.pinecone.io/pricing/,https://www.pinecone.io/
Qdrant,SOC 2 Type II; HIPAA,Never trains on customer data (Hybrid Cloud: Qdrant has no access to data); self-hostable OSS,Free + paid,Both,DE,https://qdrant.tech/blog/soc-2-type-ii-hipaa/,https://qdrant.tech/documentation/cloud-security/,https://qdrant.tech/pricing/,https://qdrant.tech/pricing/,https://qdrant.tech/legal/impressum/
Weaviate,SOC 2 Type II; HIPAA (AWS Enterprise Cloud); ISO 27001,Never trains on customer data (customer is sole data controller per GDPR; no training commitments in DPA),Free + paid,Both,NL,https://weaviate.io/security,https://weaviate.io/dpa,https://weaviate.io/pricing,https://weaviate.io/pricing,https://craft.co/weaviate/locations
Chroma,no data,no data,Free + paid,Both,US,https://www.trychroma.com/,https://www.trychroma.com/,https://www.trychroma.com/,https://www.trychroma.com/,https://www.crunchbase.com/organization/chroma-6
Milvus / Zilliz,SOC 2 Type II; ISO 27001; GDPR-compliant,no data,Free + paid,Both,US,https://zilliz.com/security,https://zilliz.com/privacy-policy,https://zilliz.com/pricing,https://zilliz.com/cloud,https://techcrunch.com/2022/08/24/zilliz-the-startup-behind-the-milvus-open-source-vector-database-for-ai-applications-raises-60m-and-relocates-to-sf/
LanceDB,no data,no data,Free + paid,Both,US,https://lancedb.com/,https://lancedb.com/privacy-policy,https://lancedb.com/pricing/,https://docs.lancedb.com/cloud,https://www.ycombinator.com/companies/lancedb
Turbopuffer,SOC 2 Type II; HIPAA; GDPR-compliant,no data,Pay-per-use,Hybrid,CA,https://turbopuffer.com/security,https://turbopuffer.com/privacy,https://turbopuffer.com/pricing,https://turbopuffer.com/docs,https://www.cbinsights.com/company/turbopuffer
