# Round 9 — Path B5 PKM/voice/claude-code/files deep-fill
# generated_by: scripts/path_b_bucket_5.py
# source: web/landscape.json, extraction/data-gaps.csv
# sections: "Personal AI / PKM / lifelogging memory", "Voice-first / wearable AI memory",
#           "Claude Code memory mechanisms", "File-backed / editor paradigms"
# total_gap_rows: 1281
# matched_cells (rows emitted): 1281
# skipped: 0 (shallow-prose: 0, no-url: 0, other: 0)
# stats:
#   fillable-depth-floor/p10: 59
#   fillable-depth-floor/p5: 188
#   fillable-no-data-promoted/p10: 1
#   fillable-real-data/p10: 1
#   fillable-real-data/p5: 7
#   real-data-no-citation/p1: 950
#   real-data-no-citation/p3: 63
#   shallow-prose/p1: 12
# fallback_chain: DOC_OVERRIDE -> record.url -> skip
# columns: record_id,record_name,column,new_value,citation_url,status,gap_class,priority
record_id,record_name,column,new_value,citation_url,status,gap_class,priority
claude-brain--gh-memvid-claude-brain,claude-brain,perf,no public benchmark scores found,https://github.com/memvid/claude-brain,depth-floor-reached,fillable-and-missing,10
claude-code-auto-memory--docs-claude-com,Claude Code auto-memory,perf,no public benchmark scores found,https://docs.claude.com/en/docs/claude-code/memory,depth-floor-reached,fillable-and-missing,10
claude-cursormemorymcp--gh-angleito-claude-cursormemorymcp,Claude-CursorMemoryMCP,perf,no public benchmark scores found,https://github.com/Angleito/Claude-CursorMemoryMCP,depth-floor-reached,fillable-and-missing,10
claude-mem--gh-thedotmack-claude-mem,claude-mem,perf,no public benchmark scores found,https://github.com/thedotmack/claude-mem,depth-floor-reached,fillable-and-missing,10
claude-supermemory--gh-supermemoryai-claude-supermemory,claude-supermemory,perf,no public benchmark scores found,https://github.com/supermemoryai/claude-supermemory,depth-floor-reached,fillable-and-missing,10
cognee-mcp--gh-topoteretes-cognee,Cognee MCP,perf,no public benchmark scores found,https://github.com/topoteretes/cognee,depth-floor-reached,fillable-and-missing,10
engram--gh-gentleman-programming-engram,engram,perf,no public benchmark scores found,https://github.com/Gentleman-Programming/engram,depth-floor-reached,fillable-and-missing,10
graphiti-mcp-server-zep--getzep-com,Graphiti MCP Server (Zep),perf,no public benchmark scores found,https://www.getzep.com/product/knowledge-graph-mcp,depth-floor-reached,fillable-and-missing,10
hindsight-mcp--hindsight-vectorize-io,Hindsight MCP,perf,no public benchmark scores found,https://hindsight.vectorize.io/developer/mcp-server,depth-floor-reached,fillable-and-missing,10
local-memory-mcp--gh-studiomeyer-io-local-memory-mcp,local-memory-mcp,perf,no public benchmark scores found,https://github.com/studiomeyer-io/local-memory-mcp,depth-floor-reached,fillable-and-missing,10
mcp-knowledge-graph--gh-shaneholloman-mcp-knowledge-graph,mcp-knowledge-graph,perf,no public benchmark scores found,https://github.com/shaneholloman/mcp-knowledge-graph,depth-floor-reached,fillable-and-missing,10
mcp-memory-puliczek--gh-puliczek-mcp-memory,mcp-memory (Puliczek),perf,no public benchmark scores found,https://github.com/Puliczek/mcp-memory,depth-floor-reached,fillable-and-missing,10
