row_name,column_class,new_value,citation_url,status
AgentEvolver,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract reports ""more efficient exploration, better sample utilization, faster adaptation"" without specific headline numbers; preliminary experiments)</span>",https://arxiv.org/abs/2511.10395,not-applicable
AiT (Associative Transformer),perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""outperforms Coordination on Sort-of-CLEVR with significantly fewer parameters""; no headline metric given)</span>",https://arxiv.org/abs/2309.12862,not-applicable
AriGraph,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""markedly outperforms established memory methods and strong RL baselines""; no headline metric)</span>",https://arxiv.org/abs/2407.04363,not-applicable
Arigraph,perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""markedly outperforms established memory methods and strong RL baselines""; no headline metric)</span>",https://arxiv.org/abs/2407.04363,not-applicable
Differentiable Search Index (DSI),perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""significantly outperforms strong baselines such as dual encoder models"" and ""outperforms BM25 in zero-shot""; no headline metric)</span>",https://arxiv.org/abs/2202.06991,not-applicable
Dreamer 4,perf,"<span class=""signal-num"">first agent to obtain Minecraft diamonds</span> from offline data only<br><span class=""sub"">>20K mouse/keyboard actions from raw pixels; outperforms previous world models ""by a large margin""</span>",https://arxiv.org/abs/2509.24527,deepened
DreamerV3,perf,"<span class=""signal-num"">>150 tasks</span> with single configuration<br><span class=""sub"">first algorithm to collect Minecraft diamonds from scratch without human data or curricula</span>",https://arxiv.org/abs/2301.04104,deepened
EMU (Efficient Episodic Memory Utilization),perf,"<span class=""no-data"" style=""font-style:italic;color:#555;"">not applicable — qualitative-only paper (abstract: ""further performance improvement over state-of-the-art methods"" on SMAC and Google Research Football; no headline metric)</span>",https://arxiv.org/abs/2403.01112,not-applicable
EWC (Elastic Weight Consolidation),perf,"<span class=""signal-num"">single network</span> learns many tasks sequentially<br><span class=""sub"">permuted-MNIST + several Atari 2600 games sequentially without forgetting</span>",https://arxiv.org/abs/1612.00796,deepened
Generative Agents,perf,"<span class=""signal-num"">25</span> agents in Smallville sandbox<br><span class=""sub"">emergent social dynamics (Valentine's Day party self-organization); ablations show observation/planning/reflection each contribute</span>",https://arxiv.org/abs/2304.03442,deepened
