row_name,field,value,source_url
O-Mem,citations,"Too recent — 4 cites (4/yr est); paper submitted Nov 17 2025; not widely cited yet","https://arxiv.org/abs/2511.13593"
O-Mem,repro,"Too recent","https://arxiv.org/abs/2511.13593"
O-Mem,code-release,"Paper only — no public code repo found","https://arxiv.org/abs/2511.13593"
Aleph Alpha PhariaAI / PhariaCatch,tax-conflict,"LLM-arbitrate (PhariaCatch structures and consolidates expert knowledge via LLM-guided extraction workflows)","https://docs.aleph-alpha.com/products/pharia-ai/pharia-catch/"
Aleph Alpha PhariaAI / PhariaCatch,modalities,"text","https://aleph-alpha.com/phariaai/"
Aleph Alpha PhariaAI / PhariaCatch,customers,"no data — searched not found","https://aleph-alpha.com/about-us/"
Aleph Alpha PhariaAI / PhariaCatch,pricing,"Enterprise only (PhariaAI is an enterprise stack; no public pricing)","https://aleph-alpha.com/phariaai/"
Aleph Alpha PhariaAI / PhariaCatch,compliance,"GDPR-compliant; EU AI Act compliant; runs on STACKIT (Schwarz Group cloud) within EU jurisdiction; data sovereignty guaranteed","https://aleph-alpha.com/introducing-pharia-1-llm-transparent-and-compliant/"
Aleph Alpha PhariaAI / PhariaCatch,data-handling,"Data processed within EU only (STACKIT EU cloud); no external data transfer; sovereign AI stack","https://aleph-alpha.com/phariaai/"
Aleph Alpha PhariaAI / PhariaCatch,deployment,"Managed cloud (STACKIT EU) or on-prem enterprise deployment","https://aleph-alpha.com/phariaai/"
Aleph Alpha PhariaAI / PhariaCatch,hq,"Germany (Heidelberg)","https://en.wikipedia.org/wiki/Aleph_Alpha"
Aleph Alpha PhariaAI / PhariaCatch,volume,"no scale claim","https://aleph-alpha.com/phariaai/"
M3-Agent (ByteDance),citations,"Too recent — paper submitted Aug 2025; ~5 cites est","https://arxiv.org/abs/2508.09736"
M3-Agent (ByteDance),repro,"Too recent","https://arxiv.org/abs/2508.09736"
M3-Agent (ByteDance),code-release,"Code public + weights closed (ByteDance-Seed/m3-agent GitHub)","https://github.com/ByteDance-Seed/m3-agent"
n8n AI Agent Memory,deployment,"Self-hosted (Docker / npm); cloud via n8n.cloud SaaS","https://docs.n8n.io/advanced-ai/examples/understand-memory/"
n8n AI Agent Memory,volume,"no scale claim (n8n platform: 100k+ self-hosted installs; memory sub-feature share not tracked)","https://n8n.io/ai-agents/"
Flowise Memory,volume,"no scale claim (Flowise: 38k+ GitHub stars; memory node installs not tracked separately)","https://github.com/FlowiseAI/Flowise"
Langflow Memory,volume,"no data — searched not found; Langflow ~1.2M PyPI downloads/month but memory sub-feature share not tracked","https://wifitalents.com/langflow-statistics/"
Stack AI,created,"2022 (founded 2022 by Bernard Aceituno and Toni Rosinol; YC S23)","https://www.ycombinator.com/companies/stackai"
Mistral Agents API,created,"2023 (Mistral AI founded April 2023; Agents API launched May 27 2025)","https://en.wikipedia.org/wiki/Mistral_AI"
