section,row_name,field,value,source_url,notes
file-backed,CLAUDE.md,created,2024-10 (first appeared in Claude Code public release; Claude Code beta May 2024; GA Oct 2024),https://support.claude.com/en/articles/12138966-release-notes,Claude Code beta launched May 2024; CLAUDE.md pattern emerged with it
file-backed,CLAUDE.md,mindshare,no data — searched not found; not indexed as a standalone product,https://docs.claude.com/en/docs/claude-code/memory,File pattern — no GitHub repo or npm package to track
file-backed,Cursor Rules,created,2023-03 (Cursor launched March 2023; .cursorrules file supported from initial release),https://word-spinner.com/blog/when-did-cursor-ai-come-out/,".cursorrules introduced at Cursor's March 2023 launch; multi-file .cursor/rules/ added 2024"
file-backed,Cursor Rules,mindshare,no data — searched not found; Cursor IDE has ~35M+ developers but .cursorrules file itself has no standalone tracker,https://docs.cursor.com/context/rules,Anysphere raised $900M at $9B valuation (2025)
file-backed,Windsurf Rules & Memories,created,2024-11 (Windsurf Editor launched November 2024; Cascade Memories feature included at launch),https://windsurf.com/changelog,Codeium rebranded to Windsurf in April 2025
file-backed,Windsurf Rules & Memories,mindshare,no data — searched not found,https://docs.windsurf.com/windsurf/cascade/memories,Codeium/Windsurf has ~800k users as of 2024
file-backed,AGENTS.md,created,2025-05 (introduced with OpenAI Codex CLI research preview May 16 2025; donated to Linux Foundation AAIF Dec 2025),https://openai.com/index/introducing-codex/,Codex CLI research preview shipped May 16 2025 with AGENTS.md support
file-backed,AGENTS.md,mindshare,no data — searched not found; 20000+ repos claim is self-reported,https://agents.md/,"No independent tracker; 20k repos cited by agents.md site, unverified"
file-backed,GitHub Copilot custom instructions,created,2024 (repository custom instructions GA in 2024; path-scoped .instructions.md added July 2025),https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot,Feature became fully practical in 2024; no exact month found
file-backed,GitHub Copilot custom instructions,pricing,not applicable — file pattern included in GitHub Copilot subscription ($10/mo individual; $19/mo business; $39/mo enterprise),https://github.com/features/copilot,Instructions file itself is free feature of Copilot subscription
file-backed,GitHub Copilot custom instructions,deployment,not applicable — GitHub-hosted; no separate deployment,https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot,Built into GitHub Copilot SaaS
file-backed,GitHub Copilot custom instructions,mindshare,no data — searched not found; GitHub Copilot has 1.8M+ paid users but custom instructions feature share not tracked,https://docs.github.com/copilot/customizing-copilot/adding-custom-instructions-for-github-copilot,No specific mindshare signal for this sub-feature
file-backed,Aider CONVENTIONS.md,created,2023-06 (Aider launched June 2023 by Paul Gauthier; CONVENTIONS.md pattern included from early versions),https://aider.chat/docs/usage/conventions.html,Aider first committed June 2023; conventions file is a core pattern
file-backed,Aider CONVENTIONS.md,mindshare,44.4k GitHub stars (aider.chat/aider repo); +1.7k/mo growth; 2nd most-starred terminal coding agent,https://github.com/Aider-AI/aider,Strong mindshare among terminal-based coding workflows
file-backed,Cline .clinerules,created,2024-07 (Cline launched as Claude Dev July 2024; rebranded Cline Oct 2024; .clinerules added post-launch),https://marketplace.visualstudio.com/items?itemName=saoudrizwan.claude-dev,"Claude Dev launched July 2024; .clinerules feature added in subsequent months, ~late 2024"
file-backed,Cline Memory Bank,created,2024-11 (community pattern formalized after Cline's October 2024 rebrand; adopted ~Nov-Dec 2024),https://docs.cline.bot/features/memory-bank,Community convention emerging alongside .clinerules development
file-backed,Cline Memory Bank,mindshare,no data — searched not found; Cline has 1.8M VS Code installs but Memory Bank sub-feature not separately tracked,https://docs.cline.bot/features/memory-bank,1.8M installs for Cline overall (TechCrunch)
file-backed,Roo Code .roorules,created,2024-12 (Roo Code forked from Cline in late 2024; .roorules added as distinct pattern post-fork),https://marketplace.visualstudio.com/items?itemName=RooVeterinaryInc.roo-cline,Roo Code emerged late 2024 as Cline fork; note: Roo Code shutting down May 15 2026
file-backed,Roo Code .roorules,mindshare,no data — searched not found; note Roo Code is shutting down May 15 2026 and pivoting to Roomote cloud agent,https://www.roocode.com/,Roo Code announced shutdown of VS Code extension May 2026
file-backed,Continue.dev .continue/rules,created,2023-07 (Continue.dev YC S23 launched July 2023; rules feature added in later iterations),https://news.ycombinator.com/item?id=43494427,Continue launched July 2023 (HN Launch post); .continue/rules pattern added in 2024
file-backed,Continue.dev .continue/rules,mindshare,no data — searched not found,https://docs.continue.dev/customize/deep-dives/rules,Continue.dev: open-source; ~8k GitHub stars as of 2025
file-backed,Zed .rules,created,2024-08 (Zed AI launched August 22 2024 with Anthropic collaboration; .rules pattern came with or shortly after),https://zed.dev/blog/zed-ai,"Zed AI (and .rules) launched Aug 2024; Zed v1.0 released April 30 2026"
file-backed,Zed .rules,mindshare,no data — searched not found; Zed is a Rust-built editor with growing but niche user base,https://zed.dev/,Founded Nathan Sobo & Antonio Scandurra; a16z-backed; smaller install base than Cursor/VSCode
file-backed,Replit replit.md,created,2024-09 (Replit Agent launched September 2024; replit.md memory file part of Agent feature),https://blog.replit.com/agent-v2,Replit Agent launched Sep 2024 after ~15 months dev; replit.md part of Agent context
file-backed,Replit replit.md,mindshare,no data — searched not found; Replit overall has 30M+ users but replit.md sub-feature not tracked,https://replit.com/products/agent,Replit platform: Coinbase/Zillow/Mercedes-Benz among customers
file-backed,Sourcegraph Cody — cody.json,created,2023-09 (Cody custom commands experimental in VS Code v0.10 Sep 3 2023; GA Dec 2023),https://sourcegraph.com/blog/cody-vscode-0-10-release,Cody v0.10 shipped Sep 3 2023 with custom commands; GA Dec 2023
file-backed,Sourcegraph Cody — cody.json,mindshare,no data — searched not found,https://docs.sourcegraph.com/cody/custom-commands,Sourcegraph is a16z-backed enterprise code search company
claude-code-mechanisms,Claude Code auto-memory,created,2025-03 (Claude Code v1.0 launched Feb/Mar 2025; auto-memory feature in subsequent releases; v2.1.59+ required),https://docs.claude.com/en/docs/claude-code/memory,Auto-memory requires Claude Code v2.1.59+; exact launch date of feature not published
claude-code-mechanisms,Claude Code auto-memory,mindshare,no data — searched not found; Claude Code is Anthropic-owned so no GitHub stars; widely discussed in developer community,https://docs.claude.com/en/docs/claude-code/memory,No independent metric; Anthropic does not publish Claude Code install numbers
claude-code-mechanisms,Superpowers episodic-memory plugin,mindshare,372 GitHub stars; niche community signal,https://github.com/obra/episodic-memory,Small but notable for Claude Code plugin ecosystem
claude-code-mechanisms,Superpowers episodic-memory plugin,pricing,free / open source (MIT); no paid tier,https://github.com/obra/episodic-memory,OSS plugin; no monetization
claude-code-mechanisms,Superpowers episodic-memory plugin,deployment,local — runs as Claude Code plugin via superpowers marketplace; no cloud component,https://github.com/obra/episodic-memory,SQLite per-project; all local
claude-code-mechanisms,claude-mem,mindshare,72.7k GitHub stars (+9.1k/mo); highest-starred Claude Code memory plugin,https://github.com/thedotmack/claude-mem,Top-of-ecosystem by GitHub signal
claude-code-mechanisms,claude-mem,pricing,free / open source (AGPL-3.0); no paid tier,https://github.com/thedotmack/claude-mem,OSS plugin; no monetization
claude-code-mechanisms,claude-mem,deployment,local — SQLite + FTS5 per project; optional Chroma vector; no cloud,https://github.com/thedotmack/claude-mem,All data stays on machine
claude-code-mechanisms,Mem0 MCP (official),mindshare,650 GitHub stars (mem0-mcp repo); mem0 main repo 21.8k stars,https://github.com/mem0ai/mem0-mcp,MCP wrapper around Mem0 cloud API
claude-code-mechanisms,Mem0 MCP (official),pricing,free tier (Hobby: 10K memories 1K retrieval/mo); Starter $19/mo; Pro $249/mo (graph memory included); Enterprise custom,https://mem0.ai/pricing,Graph memory requires Pro ($249/mo); confirmed May 2026
claude-code-mechanisms,Mem0 MCP (official),deployment,cloud API (managed by Mem0); MCP local install pointing to Mem0 cloud,https://docs.mem0.ai/platform/mem0-mcp,Cloud-only memory; MCP is local wrapper
claude-code-mechanisms,Graphiti MCP Server (Zep),mindshare,25.7k GitHub stars (graphiti repo); strong adoption signal,https://github.com/getzep/graphiti,Graphiti OSS with managed Zep cloud option
claude-code-mechanisms,Graphiti MCP Server (Zep),pricing,free tier: 2500 messages/mo + 2.5MB graph data; paid: $1.25/1000 messages + $2.50/MB extra; Enterprise custom,https://www.getzep.com/pricing/,Confirmed May 2026 from Zep pricing page
claude-code-mechanisms,Graphiti MCP Server (Zep),deployment,cloud (Zep managed) or self-hosted via Graphiti OSS + Neo4j/local graph DB,https://www.getzep.com/pricing/,Enterprise: BYOK BYOM BYOC VPC isolation
claude-code-mechanisms,mcp-memory-service (doobidoo),mindshare,1.8k GitHub stars; niche developer tooling,https://github.com/doobidoo/mcp-memory-service,No commercial presence
claude-code-mechanisms,mcp-memory-service (doobidoo),pricing,free / open source (Apache-2.0); no paid tier,https://github.com/doobidoo/mcp-memory-service,OSS; no monetization
claude-code-mechanisms,mcp-memory-service (doobidoo),deployment,local — SQLite-Vec default; Cloudflare hybrid for production; no managed cloud,https://github.com/doobidoo/mcp-memory-service,Author-maintained OSS
claude-code-mechanisms,OpenMemory MCP,created,2025-03 (Mem0 launched OpenMemory in early 2025; Docker Compose self-host),https://mem0.ai/openmemory,Mem0 launched OpenMemory as local-first self-hosted variant 2025
claude-code-mechanisms,OpenMemory MCP,mindshare,no data — searched not found; part of Mem0 ecosystem which has 21.8k stars overall,https://mem0.ai/openmemory,No separate GitHub repo with independent stars
claude-code-mechanisms,Cognee MCP,mindshare,17.1k GitHub stars (cognee repo); strong signal for OSS KG memory,https://github.com/topoteretes/cognee,One of top-starred KG memory projects
claude-code-mechanisms,Cognee MCP,pricing,free / open source (Apache-2.0) for self-hosted; cloud tier pricing not published,https://github.com/topoteretes/cognee,Cloud tier exists; no public pricing found
claude-code-mechanisms,Cognee MCP,deployment,self-hosted (local vector + graph DB); cloud option exists (topoteretes managed),https://github.com/topoteretes/cognee,EU startup; GDPR-oriented deployment options
claude-code-mechanisms,Hindsight MCP,created,2025-04 (Hindsight by Vectorize; Claude Code hooks referenced in late 2025),https://hindsight.vectorize.io/developer/mcp-server,Vectorize founded ~2024; Hindsight MCP launched mid-2025
claude-code-mechanisms,Hindsight MCP,mindshare,no data — searched not found; newer product with limited public signal,https://hindsight.vectorize.io/developer/mcp-server,True Ventures backed; limited public metrics
claude-code-mechanisms,Memobase MCP,mindshare,2.7k GitHub stars (memobase repo); niche adoption,https://github.com/memodb-io/memobase,No commercial presence
