system_name,github_url,stars,forks,issues_open,last_commit_date,created_date,primary_language,stars_velocity_30d_estimate,license_spdx,latest_release_tag,latest_release_date,notes,source_urls
agiresearch/A-mem,https://github.com/agiresearch/A-mem,997,109,13,2025-12-12,2025-02-25,Python,5,MIT,no-release,no-release,,https://github.com/agiresearch/A-mem
Aider-AI/aider,https://github.com/Aider-AI/aider,44400,4361,1526,2026-04-25,2023-05-09,Python,1670,Apache-2.0,v0.86.0,2025-08-09,,https://github.com/Aider-AI/aider
AIRI-Institute/AriGraph,https://github.com/AIRI-Institute/AriGraph,166,28,1,2024-09-10,2024-07-03,Inform 7,0,MIT,no-release,no-release,primary_language_field shows Inform 7 but repo is Python — GitHub language detection artifact,https://github.com/AIRI-Institute/AriGraph
aiwaves-cn/RecurrentGPT,https://github.com/aiwaves-cn/RecurrentGPT,1002,159,16,2024-05-15,2023-05-22,Python,0,GPL-3.0,no-release,no-release,,https://github.com/aiwaves-cn/RecurrentGPT
AkariAsai/self-rag,https://github.com/AkariAsai/self-rag,2376,223,65,2024-05-25,2023-10-10,Python,0,MIT,no-release,no-release,,https://github.com/AkariAsai/self-rag
Artessay/TC-RAG,https://github.com/Artessay/TC-RAG,73,8,0,2025-02-27,2024-08-14,Python,0,no-license,no-release,no-release,,https://github.com/Artessay/TC-RAG
BytedTsinghua-SIA/MemAgent,https://github.com/BytedTsinghua-SIA/MemAgent,1023,71,17,2025-07-31,2025-06-24,Python,10,Apache-2.0,no-release,no-release,,https://github.com/BytedTsinghua-SIA/MemAgent
camel-ai/oasis,https://github.com/camel-ai/oasis,4503,516,54,2026-05-01,2024-11-13,Python,600,Apache-2.0,v0.2.5,2025-12-04,,https://github.com/camel-ai/oasis
chandar-lab/Recall2Imagine,https://github.com/chandar-lab/Recall2Imagine,81,7,7,2024-06-04,2024-03-25,Python,0,MIT,no-release,no-release,,https://github.com/chandar-lab/Recall2Imagine
copilot/customizing-copilot,https://github.com/copilot/customizing-copilot,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,non-repo URL — GitHub docs page path not a repository,https://github.com/copilot/customizing-copilot
dreasysnail/RetGen,https://github.com/dreasysnail/RetGen,116,18,4,2022-10-04,2021-05-02,Python,0,no-license,no-release,no-release,,https://github.com/dreasysnail/RetGen
eloialonso/diamond,https://github.com/eloialonso/diamond,2031,152,6,2024-12-06,2024-05-19,Python,0,MIT,no-release,no-release,last star page at 2024-11 — stalled,https://github.com/eloialonso/diamond
em-llm/EM-LLM-model,https://github.com/em-llm/EM-LLM-model,272,17,4,2025-03-06,2024-10-11,Python,0,MIT,no-release,no-release,,https://github.com/em-llm/EM-LLM-model
EndingCredits/Neural-Episodic-Control,https://github.com/EndingCredits/Neural-Episodic-Control,59,19,2,2018-05-09,2017-05-26,Python,0,no-license,no-release,no-release,,https://github.com/EndingCredits/Neural-Episodic-Control
facebookresearch/atlas,https://github.com/facebookresearch/atlas,558,73,6,2026-04-08,2022-11-16,Python,0,NOASSERTION,no-release,no-release,NOASSERTION = custom Facebook license file present,https://github.com/facebookresearch/atlas
facebookresearch/vjepa2,https://github.com/facebookresearch/vjepa2,3824,461,71,2026-03-23,2025-04-25,Python,10,MIT,no-release,no-release,last star page at 2026-03-21 — new repo still receiving attention,https://github.com/facebookresearch/vjepa2
FlagOpen/FlagEmbedding,https://github.com/FlagOpen/FlagEmbedding,11642,870,901,2026-04-22,2023-08-02,Python,142,MIT,v1.4.0,2026-04-22,,https://github.com/FlagOpen/FlagEmbedding
Gentleman-Programming/engram,https://github.com/Gentleman-Programming/engram,3248,371,108,2026-05-05,2026-02-16,Go,1096,MIT,v1.15.8,2026-05-05,high recent velocity — very new repo Feb 2026,https://github.com/Gentleman-Programming/engram
getzep/zep-papers,https://github.com/getzep/zep-papers,39,4,2,2025-07-11,2025-01-11,Jupyter Notebook,0,NOASSERTION,no-release,no-release,papers repo not main code; NOASSERTION = custom license,https://github.com/getzep/zep-papers
hhhuang/CAG,https://github.com/hhhuang/CAG,1485,220,8,2025-05-26,2024-12-11,Python,5,MIT,no-release,no-release,,https://github.com/hhhuang/CAG
HuskyInSalt/CRAG,https://github.com/HuskyInSalt/CRAG,455,50,29,2024-10-08,2024-01-29,Python,0,no-license,no-release,no-release,,https://github.com/HuskyInSalt/CRAG
HyunghoNa/EMU,https://github.com/HyunghoNa/EMU,56,9,1,2024-05-23,2024-03-05,Python,0,Apache-2.0,no-release,no-release,,https://github.com/HyunghoNa/EMU
IBM/larimar,https://github.com/IBM/larimar,36,1,6,2025-09-18,2024-06-03,Python,0,Apache-2.0,no-release,no-release,,https://github.com/IBM/larimar
jennyzzt/dgm,https://github.com/jennyzzt/dgm,2014,409,21,2025-08-13,2025-05-23,Python,20,Apache-2.0,no-release,no-release,,https://github.com/jennyzzt/dgm
jianghoucheng/alphaedit,https://github.com/jianghoucheng/alphaedit,439,46,14,2025-10-15,2024-10-01,Python,0,MIT,no-release,no-release,API returned full_name as jianghoucheng/AlphaEdit (case mismatch),https://github.com/jianghoucheng/alphaedit
jzbjyb/FLARE,https://github.com/jzbjyb/FLARE,668,61,17,2023-11-20,2023-05-10,Python,0,MIT,no-release,no-release,,https://github.com/jzbjyb/FLARE
karpathy/442a6bf555914893e9891c11519de94f,https://github.com/karpathy/442a6bf555914893e9891c11519de94f,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,no data — repo unreachable,URL appears to be a gist hash path — not a valid repo slug; 404 from API,https://github.com/karpathy/442a6bf555914893e9891c11519de94f
kimiyoung/transformer-xl,https://github.com/kimiyoung/transformer-xl,3701,767,97,2022-09-21,2019-01-08,Python,60,Apache-2.0,no-release,no-release,classic transformer paper repo still receiving organic stars,https://github.com/kimiyoung/transformer-xl
LeeSureman/MoT,https://github.com/LeeSureman/MoT,24,3,2,2023-11-29,2023-06-11,Python,0,no-license,no-release,no-release,,https://github.com/LeeSureman/MoT
Li-Z-Q/StructRAG,https://github.com/Li-Z-Q/StructRAG,163,14,4,2025-12-18,2024-10-25,Python,0,no-license,no-release,no-release,API redirected to icip-cas/StructRAG — repo was transferred,https://github.com/Li-Z-Q/StructRAG
lucidrains/compressive-transformer-pytorch,https://github.com/lucidrains/compressive-transformer-pytorch,165,22,3,2021-10-04,2020-06-24,Python,0,MIT,0.4.0,2021-10-04,,https://github.com/lucidrains/compressive-transformer-pytorch
lucidrains/toolformer-pytorch,https://github.com/lucidrains/toolformer-pytorch,2056,129,11,2024-07-22,2023-02-10,Python,0,MIT,0.0.30,2023-12-21,last star page at 2023-07 — stalled,https://github.com/lucidrains/toolformer-pytorch
LuJunru/MemoChat,https://github.com/LuJunru/MemoChat,28,2,0,2024-04-18,2023-08-23,Python,0,MIT,no-release,no-release,,https://github.com/LuJunru/MemoChat
Marker-Inc-Korea/AutoRAG,https://github.com/Marker-Inc-Korea/AutoRAG,4748,397,149,2026-04-26,2024-01-10,Python,200,Apache-2.0,v0.3.22,2026-04-03,,https://github.com/Marker-Inc-Korea/AutoRAG
MIT-MI/MEM1,https://github.com/MIT-MI/MEM1,310,20,8,2026-01-03,2025-07-14,Python,2,MIT,no-release,no-release,,https://github.com/MIT-MI/MEM1
moskomule/ewc.pytorch,https://github.com/moskomule/ewc.pytorch,260,46,1,2019-03-27,2018-01-03,Jupyter Notebook,0,no-license,no-release,no-release,,https://github.com/moskomule/ewc.pytorch
MXGao-A/FAgent,https://github.com/MXGao-A/FAgent,29,7,6,2025-05-17,2025-05-17,Python,0,MIT,no-release,no-release,,https://github.com/MXGao-A/FAgent
myscience/open-genie,https://github.com/myscience/open-genie,273,37,6,2024-08-21,2024-05-21,Python,0,MIT,no-release,no-release,,https://github.com/myscience/open-genie
OpenBMB/ToolBench,https://github.com/OpenBMB/ToolBench,5628,484,161,2025-05-21,2023-05-28,Python,49,Apache-2.0,no-release,no-release,,https://github.com/OpenBMB/ToolBench
OpenSPG/KAG,https://github.com/OpenSPG/KAG,8716,675,170,2026-01-28,2024-09-21,Python,122,Apache-2.0,v0.8.0,2025-06-28,,https://github.com/OpenSPG/KAG
OSU-NLP-Group/SkillWeaver,https://github.com/OSU-NLP-Group/SkillWeaver,121,14,1,2025-04-14,2025-04-10,Python,2,MIT,no-release,no-release,,https://github.com/OSU-NLP-Group/SkillWeaver
princeton-nlp/HELMET,https://github.com/princeton-nlp/HELMET,214,42,6,2026-04-17,2024-10-03,Jupyter Notebook,2,MIT,no-release,no-release,,https://github.com/princeton-nlp/HELMET
pydantic/pydantic-ai,https://github.com/pydantic/pydantic-ai,16868,2027,516,2026-05-06,2024-06-21,Python,714,MIT,v1.90.0,2026-05-05,,https://github.com/pydantic/pydantic-ai
qywu/memformers,https://github.com/qywu/memformers,9,2,0,2023-06-09,2022-12-13,Python,0,MIT,no-release,no-release,,https://github.com/qywu/memformers
RodkinIvan/associative-recurrent-memory-transformer,https://github.com/RodkinIvan/associative-recurrent-memory-transformer,64,12,1,2026-03-12,2023-08-20,Jupyter Notebook,0,Apache-2.0,no-release,no-release,,https://github.com/RodkinIvan/associative-recurrent-memory-transformer
SakanaAI/self-adaptive-llms,https://github.com/SakanaAI/self-adaptive-llms,1213,141,9,2025-01-30,2024-12-02,Python,0,Apache-2.0,no-release,no-release,,https://github.com/SakanaAI/self-adaptive-llms
ShishirPatil/gorilla,https://github.com/ShishirPatil/gorilla,12858,1359,258,2026-04-13,2023-05-19,Python,100,Apache-2.0,v1.3,2025-07-17,last star page at 2026-04-11 — still active but slowing,https://github.com/ShishirPatil/gorilla
simular-ai/agent-s,https://github.com/simular-ai/agent-s,11123,1300,30,2026-02-21,2024-10-09,Python,545,Apache-2.0,v0.3.2,2025-12-16,API returned simular-ai/Agent-S (capitalized),https://github.com/simular-ai/agent-s
SiyuWu528/LLM-ACTR,https://github.com/SiyuWu528/LLM-ACTR,5,0,0,2025-10-16,2024-11-21,Jupyter Notebook,0,no-license,no-release,no-release,redirects to SiyuWu528/llm-actr (lowercase variant in landscape); same repo,https://github.com/SiyuWu528/LLM-ACTR
snap-research/locomo,https://github.com/snap-research/locomo,829,82,33,2024-08-13,2024-02-23,Python,0,NOASSERTION,no-release,no-release,NOASSERTION = custom Snap Research license,https://github.com/snap-research/locomo
sola-st/RepairAgent,https://github.com/sola-st/RepairAgent,92,27,1,2026-04-09,2024-05-11,Python,0,NOASSERTION,no-release,no-release,,https://github.com/sola-st/RepairAgent
spcl/MRAG,https://github.com/spcl/MRAG,242,27,3,2026-02-26,2024-05-16,Python,0,NOASSERTION,no-release,no-release,,https://github.com/spcl/MRAG
TIGER-AI-Lab/LongRAG,https://github.com/TIGER-AI-Lab/LongRAG,248,19,4,2024-08-25,2024-06-18,Python,0,MIT,no-release,no-release,,https://github.com/TIGER-AI-Lab/LongRAG
Victorwz/LongMem,https://github.com/Victorwz/LongMem,826,74,12,2024-03-30,2023-06-12,Python,0,Apache-2.0,no-release,no-release,,https://github.com/Victorwz/LongMem
wbbeyourself/SCM4LLMs,https://github.com/wbbeyourself/SCM4LLMs,50,12,3,2024-04-26,2023-06-23,Jupyter Notebook,0,MIT,no-release,no-release,,https://github.com/wbbeyourself/SCM4LLMs
weirayao/Retroformer,https://github.com/weirayao/Retroformer,39,2,1,2024-05-02,2024-05-02,Python,0,Apache-2.0,no-release,no-release,,https://github.com/weirayao/Retroformer
zhongwanjun/MemoryBank-SiliconFriend,https://github.com/zhongwanjun/MemoryBank-SiliconFriend,427,62,15,2023-05-24,2023-05-17,Python,0,MIT,LoRA_checkpoint,2023-05-21,latest_release_tag is a checkpoint artifact not a semver release,https://github.com/zhongwanjun/MemoryBank-SiliconFriend
