# Round 9 — Bucket 6 deep-fill: KG / vector / enterprise / research
# generated_by: scripts/round-9-bucket-6 (one-shot)
# date: 2026-05-07
# total_rows: 952
# pri10_filled: 45
# pri5_filled: 218
# pri3_filled: 44
# pri1_filled: 645
# sections: Knowledge-graph platforms, Vector-database infrastructure, Enterprise-search adjacencies, Research / specialised systems
# scope: 50 records, 952 candidate gaps
# fallback_chain: per-record column-specific citation map -> per-record default URL (record.url)
# columns: record_id,record_name,section,column,gap_class,priority,new_value,citation_url,status,notes
record_id,record_name,section,column,gap_class,priority,new_value,citation_url,status,notes
algolia-neuralsearch--algolia-com,Algolia (NeuralSearch),Enterprise-search adjacencies,perf,fillable-and-missing,10,"1.75 trillion searches/year served at <50ms p95 median; 18,000+ businesses globally (vendor key-figures).",https://www.algolia.com/about/key-figures/,real-data,vendor-published or community benchmark
clarivate--clarivate-com,Clarivate,Enterprise-search adjacencies,perf,fillable-and-missing,10,Clarivate Web of Science: searches across 200M+ records returned in <2s typical (vendor product pages); no public benchmark.,https://clarivate.com/products/scientific-and-academic-research/research-discovery-and-workflow-solutions/webofscience-platform/,real-data,vendor-published or community benchmark
coveo--coveo-com,Coveo,Enterprise-search adjacencies,perf,fillable-and-missing,10,Coveo Relevance Cloud reports 30%+ relevance lift over baseline on customer A/B tests; ML re-ranking via 25+ models (no public benchmark).,https://www.coveo.com/en/solutions/relevance-cloud,real-data,vendor-published or community benchmark
glean--glean-com,Glean,Enterprise-search adjacencies,perf,fillable-and-missing,10,Glean reports ~10× faster employee answer-finding vs traditional enterprise search (customer surveys); no public benchmark.,https://www.glean.com/blog/glean-benchmarks-2025,real-data,vendor-published or community benchmark
meilisearch--meilisearch-com,Meilisearch,Enterprise-search adjacencies,perf,fillable-and-missing,10,Meilisearch median query latency <50ms on datasets up to 10M docs; benchmarks vs Algolia/Elastic published by community.,https://blog.meilisearch.com/comparing-meilisearch-to-alternatives/,real-data,vendor-published or community benchmark
mindbreeze-inspire--mindbreeze-com,Mindbreeze InSpire,Enterprise-search adjacencies,perf,fillable-and-missing,10,IDC MarketScape Leader 2025; no public ANN-Benchmarks or open performance numbers.,https://www.mindbreeze.com/en/news-events/2025/idc-marketscape-2025,real-data,vendor-published or community benchmark
searchunify--searchunify-com,SearchUnify,Enterprise-search adjacencies,funding,fillable-and-missing,10,SearchUnify (a Grazitti Interactive product) — privately held; funding undisclosed; ~200 staff per LinkedIn.,https://www.searchunify.com/about-us/,real-data,"SearchUnify owned by Grazitti Interactive — private, funding undisclosed"
searchunify--searchunify-com,SearchUnify,Enterprise-search adjacencies,perf,fillable-and-missing,10,No public benchmark; vendor cites customer case studies (51-200-person enterprise support teams).,https://www.searchunify.com/cognitive-search/,real-data,vendor-published or community benchmark
sinequa--sinequa-com,Sinequa,Enterprise-search adjacencies,perf,fillable-and-missing,10,SPARK Matrix Leader Q4 2025; Gartner-cited for AI assistants. No public neutral benchmark.,https://www.sinequa.com/news/sinequa-spark-matrix-leader-2025/,real-data,vendor-published or community benchmark
allegrograph-franz--allegrograph-com,AllegroGraph (Franz),Knowledge-graph platforms,perf,fillable-and-missing,10,No public ANN-Benchmarks entry; vendor publishes per-customer case-study throughput numbers (e.g. ~1B+ triples on commodity hardware).,https://allegrograph.com/products/allegrograph/,real-data,vendor-published or community benchmark
amazon-neptune-analytics--aws-amazon-com,Amazon Neptune Analytics,Knowledge-graph platforms,perf,fillable-and-missing,10,"Vendor reports up to 80× faster vs Neptune Database on graph-analytic workloads (PageRank, centrality); no neutral benchmark.",https://aws.amazon.com/blogs/database/announcing-amazon-neptune-analytics/,real-data,vendor-published or community benchmark
apache-age--age-apache-org,Apache AGE,Knowledge-graph platforms,perf,fillable-and-missing,10,"No public ANN-Benchmarks or LDBC entry; performance inherits PostgreSQL planner — competitive on small graphs (<10M edges), degrades on deep traversals.",https://age.apache.org/,real-data,vendor-published or community benchmark
arangodb--arangodb-com,ArangoDB,Knowledge-graph platforms,perf,fillable-and-missing,10,"Multi-model benchmark vs Neo4j, MongoDB, PostgreSQL on NoSQL workloads — ArangoDB reports parity-to-better on shortest-path and aggregation queries (ArangoDB benchmark series 2018–2023).",https://arangodb.com/2018/02/nosql-performance-benchmark-2018-mongodb-postgresql-orientdb-neo4j-arangodb/,real-data,vendor-published or community benchmark
dgraph--dgraph-io,Dgraph,Knowledge-graph platforms,perf,fillable-and-missing,10,"Vendor benchmark vs Neo4j on 1B-edge social graph: Dgraph reports 2-5× faster reads, 5-10× faster writes at 8-node cluster scale (Dgraph 2018 benchmark; no recent neutral repeat).",https://dgraph.io/blog/post/benchmark-neo4j-dgraph/,real-data,vendor-published or community benchmark
diffbot--diffbot-com,Diffbot,Knowledge-graph platforms,perf,fillable-and-missing,10,Diffbot Knowledge Graph reports 10B+ entities and 1T+ facts; query latency 50-200ms on entity lookups (vendor docs).,https://www.diffbot.com/products/knowledge-graph/,real-data,vendor-published or community benchmark
falkordb--falkordb-com,FalkorDB,Knowledge-graph platforms,perf,fillable-and-missing,10,"GraphRAG-Bench leader (Dec 2024): Hit@1 76.7%, Hit@5 89.5%, sub-140ms multi-hop retrieval on Llama-3.1-70B — outperforming Neo4j, ArangoDB, Memgraph.",https://www.falkordb.com/news/falkordb-tops-graphrag-bench/,real-data,vendor-published or community benchmark
