# Round 9 — Path A quintet citation backfill
# generated_by: scripts/path_a_quintet.py
# source: web/landscape.json
# total_rows: 2575
# matched_cells (status=real-data, citation=null): 2575
# resolved: 2570
# unresolvable: 5
# per_column_resolved:
#   desc: 514
#   type: 514
#   pros: 514
#   cons: 514
#   links: 514
# per_source_resolved:
#   record.url: 2510
#   cells.gh.citation: 5
#   cells.created.citation: 55
# fallback_chain: record.url -> cells.gh.citation -> cells.created.citation -> unresolvable
# columns: record_id,record_name,column,new_value,citation_url,status
record_id,record_name,column,new_value,citation_url,status
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),desc,"Extends π0 with MEM layer giving the policy short-term (within-task) + long-term (cross-task, >10-min horizon) memory. Co-trained on robot teleoperation + human video + text. Hierarchical inference: VLA predicts subtasks as text tokens, then executes as action chunks.",https://www.pi.website/blog/pi05,real-data
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),type,Multi-Scale Embodied Memory (short + long episodic),https://www.pi.website/blog/pi05,real-data
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),pros,Generalist robot policy with strong simulation-to-real transfer; memory is implicit in the policy network rather than explicit external store.,https://www.pi.website/blog/pi05,real-data
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),cons,Implicit memory is harder to inspect or edit; embodied agent only — not generalizable to LLM agents.,https://www.pi.website/blog/pi05,real-data
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),links,π0.5 blog paper,https://www.pi.website/blog/pi05,real-data
a-mem--gh-wujiangxu-a-mem,A-MEM,desc,Treats memories as atomic linkable notes — explicit nod to Zettelkasten knowledge management. Dynamic linking; retroactive memory revision.,https://github.com/WujiangXu/A-mem,real-data
a-mem--gh-wujiangxu-a-mem,A-MEM,type,Atomic-note / Zettelkasten-style,https://github.com/WujiangXu/A-mem,real-data
a-mem--gh-wujiangxu-a-mem,A-MEM,pros,Adaptive memory with explicit policy for what to remember vs forget.,https://github.com/WujiangXu/A-mem,real-data
a-mem--gh-wujiangxu-a-mem,A-MEM,cons,Research-only; no production deployment.,https://github.com/WujiangXu/A-mem,real-data
a-mem--gh-wujiangxu-a-mem,A-MEM,links,GitHub WujiangXu/A-mem arxiv 2502.12110 NeurIPS 2025 poster,https://github.com/WujiangXu/A-mem,real-data
