system_name,has_funding,latest_round_type,latest_round_date,latest_amount,latest_valuation,named_customers,arr_usd,employee_range,hq,source_url
Mastra,yes,Series A,2026-04-01,22000000,,Replit; Vercel (angel investors); 150k weekly downloads,,11-50,US (San Francisco),https://mastra.ai/blog/series-a
Agno (Phidata),yes,Seed,2024-01-01,5400000,,No named customers disclosed,,1-10,US (New York),https://www.crunchbase.com/organization/phidata
Strands Agents (AWS),parent-public,open-source/AWS,,,,14M+ downloads; Accenture PwC Meta Anthropic contributors,,parent (AWS/Amazon),US (Seattle),https://aws.amazon.com/blogs/opensource/introducing-strands-agents-an-open-source-ai-agents-sdk/
Semantic Kernel (Microsoft),parent-public,open-source/Microsoft,,,,27k+ GitHub stars; enterprise via Azure,,parent (Microsoft),US (Redmond),https://github.com/microsoft/semantic-kernel
AGiXT,no,open-source/community,,,,No disclosed customers; self-hosted,,1-10,US,https://github.com/Josh-XT/AGiXT
Inngest,yes,Series B,2025-05-30,34000000 (total),,SoundCloud; unnamed enterprise,,11-50,US (San Francisco),https://techcrunch.com/2024/01/30/inngest-raises-6-1m-as-it-expands-its-workflow-engine/
Rivet (Ironclad),parent-private,open-source,,,,Enterprise; Ironclad customers,,parent (Ironclad),US,https://github.com/Ironclad/rivet
AWS Bedrock AgentCore,parent-public,product division,,,,AWS enterprise customers,,parent (Amazon/AWS),US (Seattle),https://aws.amazon.com/blogs/aws/introducing-amazon-bedrock-agentcore-securely-deploy-and-operate-ai-agents-at-any-scale/
Vertex AI Memory Bank (Google),parent-public,product division,,,,Google Cloud enterprise customers,,parent (Google/Alphabet),US (Mountain View),https://cloud.google.com/blog/products/ai-machine-learning/vertex-ai-memory-bank-in-public-preview
Cloudflare Agent Memory,parent-public,product division,,,,Cloudflare enterprise customers,,parent (Cloudflare NET),US (San Francisco),https://blog.cloudflare.com/introducing-agent-memory/
LinkedIn Cognitive Memory Agent,parent-public,product division,,,,LinkedIn enterprise and B2B users,,parent (Microsoft/LinkedIn),US (Sunnyvale),https://www.linkedin.com/blog/engineering/ai/the-linkedin-generative-ai-application-tech-stack-personalization-with-cognitive-memory-agent
Mistral Le Chat,yes,Series C,2025-09-09,2000000000,13800000000,Enterprise customers in EU and US; Pro subscribers,,201-500,France (Paris),https://techcrunch.com/2025/09/09/what-is-mistral-ai-everything-to-know-about-the-openai-competitor/
Grok (xAI),yes,Series F (approx),2025-07-01,10000000000,200000000000,X/Twitter users; enterprise API customers,,201-500,US (San Francisco),https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/
Meta AI Memory,parent-public,product division,,,,3B+ MAU Meta platform; US+Canada memory rollout,,parent (Meta Platforms NASDAQ:META),US (Menlo Park),https://about.fb.com/news/2025/01/building-toward-a-smarter-more-personalized-assistant/
Brave (AI Leo),yes,Private (no recent round),,252000000,,101M MAU; 42M DAU; privacy-focused users,52000000,201-500,US (San Francisco),https://sacra.com/c/brave/
Opera (Aria/Neon),parent-public,public company (OPRA),,,,360M+ users; Aria in Opera Mini,,parent (Opera NASDAQ:OPRA),Norway (Oslo),https://investor.opera.com/news-releases/news-release-details/operas-new-ai-browser-soon-get-even-more-features-through-new-ai/
Microsoft Edge Copilot,parent-public,product division,,,,Hundreds of millions of Edge users,,parent (Microsoft NASDAQ:MSFT),US (Redmond),https://www.microsoft.com/en-us/edge
SigmaOS (Sigma Browser),yes,Seed,2022-01-01,4100000,,No named customers disclosed,,1-10,UK (London),https://techcrunch.com/2024/03/26/yc-backed-sigmaos-browser-turns-to-ai-powered-features-for-monetization/
OpenAI Codex (parent OpenAI),parent-private,Series D+,2025-10-01,,157000000000,Millions of developers via API and ChatGPT,,1001-5000,US (San Francisco),https://techcrunch.com/2026/01/19/here-are-the-49-us-ai-startups-that-have-raised-100m-or-more-in-2025/
Aider,no,open-source/community,,,,Developers globally; 100% free and open-source,,1-10,US,https://github.com/Aider-AI/aider
Continue.dev,yes,Seed,2025-02-01,5100000,,23k GitHub stars; developer community,,1-10,US,https://techcrunch.com/2025/02/26/continue-wants-to-help-developers-create-and-share-custom-ai-coding-assistants/
Sweep AI,yes,Seed,2023-01-01,500000,,JetBrains IDE users,,1-10,US (San Francisco),https://www.crunchbase.com/organization/sweep-6ba5
Tana,yes,Series A,2025-02-03,25000000,,160k+ waitlist; enterprise-heavy; Notion-competitor use case,,51-200,Norway (Oslo),https://techcrunch.com/2025/02/03/tana-snaps-up-25m-with-its-ai-powered-knowledge-graph-for-work-racking-up-a-160k-waitlist/
Reflect (notes),yes,Seed/crowdfunding,2023-01-01,1000000,,"2500+ paying customers; $21.5K MRR (2023); bootstrapped philosophy",326400,1-10,US,https://reflect.app/blog/reflect-is-profitable
