system_name,modalities,volume_claim,conflict_resolution,source_url_modalities,source_url_volume,source_url_conflict
Mem0,text,1B+ memories (vendor blog claims; 80k+ dev signups),LLM-arbitrate,https://docs.mem0.ai/open-source/features/graph-memory,https://mem0.ai/research,https://docs.mem0.ai/open-source/features/graph-memory
Letta / MemGPT,text,no scale claim,LLM-arbitrate,https://docs.letta.com/concepts/memgpt/,https://www.letta.com/blog/benchmarking-ai-agent-memory,https://docs.letta.com/concepts/memgpt/
Zep & Graphiti,text,no scale claim,bi-temporal versioning,https://github.com/getzep/graphiti,https://blog.getzep.com/graphiti-hits-20k-stars-mcp-server-1-0/,https://arxiv.org/abs/2501.13956
Cognee,text,no scale claim,LLM-arbitrate,https://www.cognee.ai/blog/fundamentals/how-cognee-builds-ai-memory,https://www.cognee.ai/blog/integrations/claude-agent-sdk-persistent-memory-with-cognee-integration,https://www.cognee.ai/blog/fundamentals/how-cognee-builds-ai-memory
Hindsight (Vectorize),text,no scale claim,none specified,https://vectorize.io/blog/introducing-hindsight-agent-memory-that-works-like-human-memory,https://vectorize.io/blog/introducing-hindsight-agent-memory-that-works-like-human-memory,https://arxiv.org/abs/2512.12818
Supermemory,text,no scale claim,LLM-arbitrate,https://supermemory.ai/research/,https://supermemory.ai/research/,https://github.com/supermemoryai/supermemory
Memvid,text,fits in single .mv2 file (no upper bound claimed),append (no resolution),https://docs.memvid.com/,https://docs.memvid.com/,https://github.com/memvid/memvid
Memobase,text,no scale claim,none specified,https://github.com/memodb-io/memobase,https://github.com/memodb-io/memobase,https://github.com/memodb-io/memobase
OMEGA,text,no scale claim,none specified,https://omegamax.co/,https://omegamax.co/benchmarks,https://omegamax.co/
ByteRover,text,no scale claim,none specified,https://www.byterover.dev/,https://www.byterover.dev/blog/benchmark-ai-agent-memory,https://www.byterover.dev/
Backboard,text,no scale claim,none specified,https://github.com/Backboard-io,https://github.com/Backboard-io/Backboard-Locomo-Benchmark,https://github.com/Backboard-io
Hyperspell,text,no scale claim,none specified,https://www.ycombinator.com/companies/hyperspell,https://www.ycombinator.com/companies/hyperspell,https://www.ycombinator.com/companies/hyperspell
Memoria (MatrixOrigin),text,no scale claim,none specified,https://medium.com/@matrixorigin-database/benchmarking-memoria-on-longmemeval-strong-memory-retrieval-clear-reader-separation-ee6c89c75d76,https://medium.com/@matrixorigin-database/benchmarking-memoria-on-longmemeval-strong-memory-retrieval-clear-reader-separation-ee6c89c75d76,https://medium.com/@matrixorigin-database/benchmarking-memoria-on-longmemeval-strong-memory-retrieval-clear-reader-separation-ee6c89c75d76
OpenMemory,text,no scale claim,none specified,https://github.com/CaviraOSS/OpenMemory,https://github.com/CaviraOSS/OpenMemory,https://github.com/CaviraOSS/OpenMemory
Memori,text,no scale claim,none specified,https://github.com/MemoriLabs/Memori,https://github.com/MemoriLabs/Memori,https://github.com/MemoriLabs/Memori
MemMachine,text,no scale claim,none specified,https://github.com/MemMachine/MemMachine,https://github.com/MemMachine/MemMachine,https://github.com/MemMachine/MemMachine
Memary,text,no scale claim,none specified,https://github.com/kingjulio8238/Memary,https://github.com/kingjulio8238/Memary,https://github.com/kingjulio8238/Memary
Anda Hippocampus,text,no scale claim,none specified,https://github.com/ldclabs/anda-hippocampus,https://github.com/ldclabs/anda-hippocampus,https://github.com/ldclabs/anda-hippocampus
O-Mem,text,no scale claim,LLM-arbitrate,https://github.com/OPPO-PersonalAI/O-Mem,https://arxiv.org/abs/2511.13593,https://arxiv.org/abs/2511.13593
SuperLocalMemory,text,no scale claim,none specified,https://www.superlocalmemory.com/,https://www.superlocalmemory.com/,https://www.superlocalmemory.com/
