company,section,pricing,deployment,hq,compliance,data_handling,funding,customers,mindshare,founders,modalities,volume_claim,conflict_resolution
FutureHouse,Scientific/research,Enterprise only [https://www.futurehouse.org/],Managed-only [https://www.futurehouse.org/],US [https://www.crunchbase.com/organization/futurehouse],no data — searched not found [https://www.futurehouse.org/about],no data — searched not found [https://www.futurehouse.org/about],Philanthropically funded (Eric Schmidt) + Edison spinout raised $70M seed at $250M valuation (Spark Capital / Triatomic Capital co-lead Nov 2025) [https://techfundingnews.com/edison-raises-70m-ai-scientist-platform/],no data — searched not found,below detection threshold [https://www.futurehouse.org/],Eric Schmidt-backed; founder Sam Rodriques (MIT Physics PhD; ex-Francis Crick Institute) [https://www.futurehouse.org/team/sam-rodriques],text [https://www.futurehouse.org/],no scale claim (philanthropically funded research) [https://www.futurehouse.org/],LLM-arbitrate [https://www.futurehouse.org/]
Causaly,Scientific/research,Enterprise only [https://www.causaly.com/],Managed-only [https://www.causaly.com/],UK [https://www.crunchbase.com/organization/causaly-inc],SOC 2 Type II; GDPR-compliant [https://www.causaly.com/security],no data — searched not found [https://www.causaly.com/],Series B $60M (ICONIQ Growth) Jul 2023; total $93M [https://techcrunch.com/2023/07/13/causaly-an-ai-platform-for-drug-discovery-and-biomedical-research-raises-60m/],Major pharma partners (not publicly named) [https://www.causaly.com/],below detection threshold [https://www.causaly.com/],Artur Saudabayev (CTO) and Yiannis Kiachopoulos (CEO); met at Singularity University [https://sifted.eu/articles/causaly-raises-60mn-series-b-news],text [https://www.causaly.com/],500M facts / 70M directional relationships (vendor claim) [https://www.causaly.com/],overwrite [https://www.causaly.com/]
BenevolentAI,Scientific/research,Enterprise only [https://www.benevolent.com/],Managed-only [https://www.benevolent.com/],UK [https://www.crunchbase.com/organization/benevolent-ai],no data — searched not found [https://www.benevolent.com/],no data — searched not found [https://www.benevolent.com/],$550M total raised; acquired by Osaka Holdings Mar 2025 [https://www.prnewswire.com/news-releases/benevolentai-raises-115-million-to-extend-its-leading-global-position-in-the-field-of-ai-enabled-drug-development-680180573.html],"AstraZeneca, Merck KGaA, Eli Lilly partners [https://www.benevolent.com/]",below detection threshold [https://www.benevolent.com/],Founded 2013 by Kenneth Mulvany; co-founders Michael Brennan / Ivan Griffin / Brent Gutekunst [https://craft.co/benevolentai],text [https://www.benevolent.com/],petabyte-scale from 85+ data sources (vendor claim) [https://www.benevolent.com/],overwrite [https://www.benevolent.com/]
LabGenius,Scientific/research,Enterprise only [https://www.labgenius.app/],Managed-only [https://www.labgenius.app/],UK [https://www.crunchbase.com/organization/labgenius],no data — searched not found [https://tech.eu/2024/05/22/labgenius-secures-ps35m-series-b-funding-for-therapeutic-antibody-discovery/],no data — searched not found [https://tech.eu/2024/05/22/labgenius-secures-ps35m-series-b-funding-for-therapeutic-antibody-discovery/],Series B £35M led by M Ventures / Octopus Ventures / LG Corp May 2024 [https://tech.eu/2024/05/22/labgenius-secures-ps35m-series-b-funding-for-therapeutic-antibody-discovery/],no data — searched not found [https://www.labgenius.app/],below detection threshold [https://www.labgenius.app/],James Field (founder/CEO; ex-UCL synthetic biology; London-based) [https://www.labgenius.app/],text + sensor [https://www.labgenius.app/],internal — undisclosed (continuous experiment loop data) [https://www.labgenius.app/],not applicable (Design-Build-Test-Learn closed loop) [https://www.labgenius.app/]
Elicit,Scientific/research,"Free / Plus $12/user/month / Pro $49/user/month / Team $79/user/month [https://elicit.com/pricing]","Managed-only; enterprise single-tenancy available [https://elicit.com/pricing]",US [https://www.crunchbase.com/organization/elicit-52a6],SOC 2 Type II [https://elicit.com/blog/series-a/],no data — searched not found [https://elicit.com/],"Series A $22M (Spark Capital / Footwork) Feb 2025; total $31M [https://elicit.com/blog/series-a/]","400k+ researchers monthly [https://elicit.com/blog/series-a/]",below detection threshold [https://elicit.com/],Andreas Stuhlmuller (co-founder) [https://www.crunchbase.com/organization/elicit-52a6],text [https://elicit.com/],35M+ publications indexed (vendor claim) [https://elicit.com/],append (no resolution) [https://elicit.com/]
Scite.ai,Scientific/research,"Free / Basic $7.99/mo / Premium $19.99/mo / Premium+ $59.99/mo / Enterprise custom [https://scite.ai/pricing]","Managed-only; acquired by Research Solutions Dec 2023 [https://www.crunchbase.com/organization/scite]",US (Brooklyn) [https://www.crunchbase.com/organization/scite],no data — searched not found [https://scite.ai/],"Indexes via publisher agreements; no external training on user data [https://scite.ai/]","$1.93M raised; acquired by Research Solutions Dec 2023 [https://www.crunchbase.com/organization/scite]","2M users; 30+ publisher partners [https://www.crunchbase.com/organization/scite]",below detection threshold [https://scite.ai/],Josh Nicholson (CEO/founder 2018) [https://www.crunchbase.com/organization/scite],text [https://scite.ai/],1.6B+ citation snippets indexed [https://scite.ai/],append (no resolution) [https://scite.ai/]
Iris.ai,Scientific/research,no data — searched not found [https://iris.ai/],Managed-only [https://iris.ai/],Norway (Oslo) [https://climateinsider.com/2024/05/29/oslo-based-iris-ai-secures-e7-64m-funding-for-research-processing/],no data — searched not found [https://iris.ai/],no data — searched not found [https://iris.ai/],"Series A $8.3M (Silverline Capital) May 2024; total $21.6M [https://climateinsider.com/2024/05/29/oslo-based-iris-ai-secures-e7-64m-funding-for-research-processing/]",no data — searched not found [https://iris.ai/],below detection threshold [https://iris.ai/],Anita Schjøll Abildgaard (CEO / co-founder) [https://www.crunchbase.com/organization/iris-ai],text [https://iris.ai/],no scale claim [https://iris.ai/],append (no resolution) [https://iris.ai/]
ResearchRabbit,Scientific/research,"Free (RR+ premium tier with country-parity pricing) [https://www.researchrabbit.ai/pricing]","Managed-only; acquired by Litmaps May 2025 [https://www.crunchbase.com/organization/research-rabbit]",US (Seattle) [https://www.researchrabbit.ai/about-us],no data — searched not found [https://www.researchrabbit.ai/],no data — searched not found [https://www.researchrabbit.ai/],TA Ventures investor; acquired by Litmaps May 2025 [https://www.crunchbase.com/organization/research-rabbit],no data — searched not found [https://www.researchrabbit.ai/],below detection threshold [https://www.researchrabbit.ai/],no data — searched not found [https://www.researchrabbit.ai/],text [https://www.researchrabbit.ai/],no scale claim [https://www.researchrabbit.ai/],append (no resolution) [https://www.researchrabbit.ai/]
Hippocratic AI Polaris,Healthcare,Enterprise only [https://hippocraticai.com/polaris-3/],Managed-only [https://hippocraticai.com/polaris-3/],US [https://www.crunchbase.com/organization/hippocratic-ai],"SOC 2 Type II, HITRUST e1, HIPAA [https://www.businesswire.com/news/home/20250829140180/en/Hippocratic-AI-Achieves-SOC-for-Service-Organizations-Report]",Never trains on customer data (BAA governs all PHI; de-identified data only for model improvement per HIPAA standards) [https://hippocraticai.com/organizational-goal/compliance/],"$320M total, $3.5B val, Series C 2025-11 [https://techcrunch.com/2025/01/09/hippocratic-ai-raises-141m-for-creating-patient-facing-ai-agents/]","Cleveland Clinic, Northwestern Medicine, Ochsner Health, Moffitt Cancer Center, University Hospitals [https://hippocraticai.com/hippocratic-ai-announces-series-c-funding-126-million/]","2 HN · 2 press [https://techcrunch.com/2025/01/09/hippocratic-ai-raises-141m-for-creating-patient-facing-ai-agents/]",Stanford / Johns Hopkins / Google advisors; founder Munjal Shah (UCSD CS BS; Stanford CS MS) [https://hippocraticai.com/team/],voice + text [https://hippocraticai.com/polaris-3/],internal — undisclosed (HIPAA-governed) [https://hippocraticai.com/polaris-3/],append (no resolution) [https://hippocraticai.com/personalized-interactions/]
K Health,Healthcare,no data — searched not found [https://khealth.com/],no data — searched not found [https://khealth.com/],US (New York) [https://medcitynews.com/2024/07/primary-care-funding-round-ai/],no data — searched not found [https://khealth.com/],no data — searched not found [https://khealth.com/],"$50M, $900M val, Series F (approx) 2024-07 [https://medcitynews.com/2024/07/primary-care-funding-round-ai/]","Hospital systems, health systems, consumer telehealth [https://medcitynews.com/2024/07/primary-care-funding-round-ai/]",no data — searched not found [https://khealth.com/],no data — searched not found [https://khealth.com/],text [https://khealth.com/],internal — undisclosed (proprietary EMR dataset) [https://khealth.com/],none specified [https://khealth.com/]
