row_name,column_class,value,citation_url,status
ACON,tax-governance,inspectable,https://arxiv.org/abs/2510.00615,real-data
ACON,claims,Reduces memory usage by 26-54% (peak tokens) while preserving task performance; preserves >95% of accuracy when distilled into smaller compressors; enhances smaller LMs as long-horizon agents with up to 46% performance improvement.,https://arxiv.org/abs/2510.00615,real-data
ACON,mindshare,27 citations (Semantic Scholar),https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.00615,real-data
Agent KB,tax-governance,inspectable,https://arxiv.org/abs/2507.06229,real-data
Agent KB,claims,Universal cross-framework agent knowledge base; smolagents up to 18.7pp gain at pass@3 (55.2%->73.9%); disagreement gate ensures retrieved knowledge enhances reasoning.,https://arxiv.org/abs/2507.06229,real-data
Agent KB,mindshare,43 citations (Semantic Scholar),https://api.semanticscholar.org/graph/v1/paper/arXiv:2507.06229,real-data
Agent S,tax-governance,inspectable,https://arxiv.org/html/2410.08164v1,real-data
Agent S,claims,Open agentic framework that uses computers like a human; experience-augmented hierarchical planning + Agent-Computer Interface (ACI); 83.6% relative improvement on OSWorld benchmarks.,https://arxiv.org/abs/2410.08164,real-data
Agent S,mindshare,147 citations (Semantic Scholar),https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.08164,real-data
Agent Workflow Memory,tax-governance,inspectable,https://arxiv.org/abs/2409.07429,real-data
Agent Workflow Memory,claims,Induces commonly reused workflows from past experiences; flexibly applies to offline (training) and online (test-time) scenarios; substantial gains on web navigation benchmarks.,https://arxiv.org/abs/2409.07429,real-data
Agent Workflow Memory,mindshare,133 citations (Semantic Scholar),https://api.semanticscholar.org/graph/v1/paper/arXiv:2409.07429,real-data
AgentEvolver,tax-governance,inspectable,https://arxiv.org/html/2511.10395v1,real-data
AgentEvolver,claims,"Self-evolving agent system: self-questioning for task generation, self-navigating for exploration via experience reuse, self-attributing for sample efficiency.",https://arxiv.org/abs/2511.10395,real-data
AgentEvolver,mindshare,30 citations (Semantic Scholar),https://api.semanticscholar.org/graph/v1/paper/arXiv:2511.10395,real-data
AgentFold,tax-governance,inspectable,https://arxiv.org/abs/2510.24699,real-data
AgentFold,claims,Proactive context management via folding inspired by retrospective consolidation; multi-scale folding from granular condensation to deep consolidation; superior performance without continual pretraining.,https://arxiv.org/abs/2510.24699,real-data
AgentFold,mindshare,31 citations (Semantic Scholar),https://api.semanticscholar.org/graph/v1/paper/arXiv:2510.24699,real-data
Agentic Memory,tax-governance,agent-controlled,https://arxiv.org/abs/2601.01885,real-data
Agentic Memory,claims,Agent-controlled memory operations as tool-based actions for long/short-term memory; trained via three-stage progressive RL with step-wise GRPO for sparse rewards.,https://arxiv.org/abs/2601.01885,real-data
Agentic Memory,mindshare,15 citations (Semantic Scholar),https://api.semanticscholar.org/graph/v1/paper/arXiv:2601.01885,real-data
