section,subgroup,tier,row_name,unresearched_columns
Enterprise-search adjacencies,,row-t1,Lucidworks Conversational Q&A AI Agent,orchestration|validated-verticals|time-to-running|anti-fit|optimised-for|adjacent-infrastructure|pros|cons|links
"Memory governance, privacy & safety",,row-t1,HiddenLayer AISec Platform 2.0,tax-storage|tax-retrieval|tax-persistence|tax-unit
Enterprise-search adjacencies,,row-t1,Clarivate,claims|mindshare
Knowledge-graph platforms,,row-t1,TopQuadrant (TopBraid EDG),claims|mindshare
Knowledge-graph platforms,,row-t1,Ontotext GraphDB / Graphwise,claims|mindshare
Knowledge-graph platforms,,row-t1,PoolParty (now Graphwise),claims|mindshare
Knowledge-graph platforms,,row-t1,Palantir Ontology,claims|mindshare
Knowledge-graph platforms,,row-t1,Diffbot,claims|mindshare
"Memory governance, privacy & safety",,row-t1,Lakera Guard / Lakera Red,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t2,Microsoft Agent Governance Toolkit,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t1,Enkrypt AI,tax-storage|tax-unit
"Memory governance, privacy & safety",,row-t1,Acuvity (now Proofpoint),tax-storage|tax-unit
Vector-database infrastructure,,row-t1,Elasticsearch / OpenSearch,claims|mindshare
Enterprise-search adjacencies,,row-t1,Glean,claims
Enterprise-search adjacencies,,row-t1,SearchUnify,claims
File-backed / editor paradigms,,row-t1,CLAUDE.md,claims
File-backed / editor paradigms,,row-t1,Cursor Rules,claims
File-backed / editor paradigms,,row-t1,Windsurf Rules & Memories,claims
Framework-embedded memory,,row-t2,LangMem (LangChain),claims
Framework-embedded memory,,row-t2,CrewAI Memory,claims
Framework-embedded memory,,row-t2,LlamaIndex Memory,claims
Framework-embedded memory,,row-t2,AutoGen Memory,claims
Framework-embedded memory,,row-t2,Semantic Kernel Memory,claims
Framework-embedded memory,,row-t2,Pydantic-AI + Hindsight,claims
Framework-embedded memory,,row-t2,LangGraph Persistence,claims
Framework-embedded memory,,row-t2,smolagents Memory,claims
Framework-embedded memory,,row-t2,Agno (Phidata) Memory,claims
Framework-embedded memory,,row-t2,Strands Agents Memory (AWS),claims
Framework-embedded memory,,row-t2,OpenAI Agents SDK Memory,claims
Framework-embedded memory,,row-t2,Google ADK Memory,claims
Framework-embedded memory,,row-t3,Haystack Memory (deepset),mindshare
Knowledge-graph platforms,,row-t1,Stardog,claims
Knowledge-graph platforms,,row-t1,Neo4j,claims
Knowledge-graph platforms,,row-t1,TigerGraph,claims
Knowledge-graph platforms,,row-t1,AllegroGraph (Franz),claims
Personal AI / PKM / lifelogging memory,,row-t1,Notion AI,claims
Personal AI / PKM / lifelogging memory,,row-t2,Obsidian Smart Connections,claims
Personal AI / PKM / lifelogging memory,,row-t2,Tana,claims
Personal AI / PKM / lifelogging memory,,row-t2,Logseq,claims
Personal AI / PKM / lifelogging memory,,row-t2,Heyday,claims
Personal AI / PKM / lifelogging memory,,row-t2,Mem.ai,claims
Personal AI / PKM / lifelogging memory,,row-t2,Reflect,claims
Personal AI / PKM / lifelogging memory,,row-t1,Microsoft Recall,claims
Personal AI / PKM / lifelogging memory,,row-t2,Personal.ai,claims
Vector-database infrastructure,,row-t1,Pinecone,claims
Vector-database infrastructure,,row-t1,Weaviate,claims
Vector-database infrastructure,,row-t1,Qdrant,claims
Vector-database infrastructure,,row-t1,Chroma,claims
Vector-database infrastructure,,row-t1,Milvus,claims
Vector-database infrastructure,,row-t1,LanceDB,claims
Vector-database infrastructure,,row-t1,Turbopuffer,claims
