paper_name,arxiv_id,reproducibility,code_weights_release,source_url_repro,source_url_code
EWC (Elastic Weight Consolidation),1612.00796,Independently reproduced,Code public + weights public,https://rylanschaeffer.github.io/content/research/elastic_weight_consolidation/main.html,https://github.com/moskomule/ewc.pytorch
Transformer-XL,1901.02860,Independently reproduced,Code public + weights public,https://aclanthology.org/P19-1285/,https://github.com/kimiyoung/transformer-xl
Generative Agents,2304.03442,Independently reproduced,Code public + weights closed,https://medium.com/@kourosh.sharifi/the-rise-of-generative-agents-in-interactive-simulations-cc5eded2736d,https://github.com/joonspk-research/generative_agents
Toolformer,2302.04761,Independently reproduced,Code public + weights public,https://openreview.net/forum?id=Yacmpz84TH,https://github.com/lucidrains/toolformer-pytorch
Reflexion,2303.11366,Independently reproduced,Code public + weights closed,https://openreview.net/forum?id=vAElhFcKW6,https://github.com/noahshinn/reflexion
REALM,2002.08909,Independently reproduced,Code public + weights public,https://research.google/blog/realm-integrating-retrieval-into-language-representation-models/,https://github.com/google-research/language/blob/master/language/realm/README.md
Self-RAG,2310.11511,Independently reproduced,Code public + weights public,https://openreview.net/forum?id=hSyW5go0v8,https://github.com/AkariAsai/self-rag
RETRO,2112.04426,Original team only,Paper only,https://deepmind.google/blog/improving-language-models-by-retrieving-from-trillions-of-tokens/,https://github.com/lucidrains/RETRO-pytorch
ToolLLM,2307.16789,Independently reproduced,Code public + weights public,https://openreview.net/forum?id=dHng2O0Jjr,https://github.com/OpenBMB/ToolBench
BGE-M3,2402.03216,Independently reproduced,Code public + weights public,https://huggingface.co/BAAI/bge-m3,https://github.com/FlagOpen/FlagEmbedding
LongBench,2308.14508,Independently reproduced,Code public + weights closed,https://aclanthology.org/2024.acl-long.307/,https://github.com/THUDM/LongBench
Atlas,2208.03299,Independently reproduced,Code public + weights public,https://jmlr.org/papers/volume24/23-0037/23-0037.pdf,https://github.com/facebookresearch/atlas
DreamerV3,2301.04104,Independently reproduced,Code public + weights public,https://vitalab.github.io/article/2023/01/19/DreamerV3.html,https://github.com/danijar/dreamerv3
Compressive Transformer,1911.05507,No reproductions found,Code public + weights closed,https://openreview.net/forum?id=SylKikSYDH,https://github.com/lucidrains/compressive-transformer-pytorch
RULER,2404.06654,Independently reproduced,Code public + weights closed,https://huggingface.co/papers/2404.06654,https://github.com/NVIDIA/RULER
I-JEPA,2301.08243,Independently reproduced,Code public + weights public,https://huggingface.co/docs/transformers/model_doc/ijepa,https://github.com/facebookresearch/ijepa
NVIDIA Isaac GR00T N1.7,2503.14734,Too recent,Code public + weights public,https://research.nvidia.com/publication/2025-03_nvidia-isaac-gr00t-n1-open-foundation-model-humanoid-robots,https://github.com/NVIDIA/Isaac-GR00T
HyDE,2212.10496,Independently reproduced,Code public + weights closed,https://docs.haystack.deepset.ai/docs/hypothetical-document-embeddings-hyde,https://github.com/texttron/hyde
FLARE,2305.06983,Independently reproduced,Code public + weights closed,https://aclanthology.org/2023.emnlp-main.526/,https://github.com/jzbjyb/FLARE
Genie,2402.15391,No reproductions found,Paper only,https://huggingface.co/papers/2402.15391,https://github.com/myscience/open-genie
ITER-RETGEN,2305.15294,No reproductions found,Code public + weights closed,https://aclanthology.org/2023.findings-emnlp.620/,https://github.com/dreasysnail/RetGen
RAPTOR,2401.18059,Independently reproduced,Code public + weights closed,https://openreview.net/forum?id=338ajkPmJg,https://github.com/parthsarthi03/raptor
Adaptive-RAG,2403.14403,Independently reproduced,Code public + weights closed,https://aclanthology.org/2024.naacl-long.389/,https://github.com/starsuzi/Adaptive-RAG
A-MEM,2502.12110,Too recent,Code public + weights closed,https://arxiv.org/abs/2502.12110,https://github.com/agiresearch/A-mem
Differentiable Search Index (DSI),2202.06991,Independently reproduced,Paper only,https://proceedings.neurips.cc/paper_files/paper/2022/hash/7d8a8d0f08289e7af5a81e7b62534f89-Abstract-Conference.html,https://no data - no official Google release found
