paper,subgroup,citations_count,citations_source_url,repro_status,repro_source_url,code_release,code_url,founders_lab,founders_pedigree,modalities,volume_claim,conflict_resolution,mindshare_notes
AlphaEdit,Parametric & latent,191 cites (95/yr),https://www.semanticscholar.org/paper/f212ca51d941ee686341d43eb167fcbd7e78807c,Independently reproduced (ICLR 2025 Outstanding Paper),https://openreview.net/forum?id=HvSytvg3Jh,Code public + weights closed,https://github.com/jianghoucheng/AlphaEdit,"Junfeng Fang, Houcheng Jiang, Kun Wang et al.; ICLR 2025 Outstanding Paper — affiliations include Zhejiang University and collaborators",ICLR 2025 Outstanding Paper,text,no scale claim — research (ICLR 2025),LLM-arbitrate (null-space projection — prevents other-knowledge interference by projecting edits into preserved-knowledge null space),below detection threshold
ELDER,Parametric & latent,no data — searched S2 arxiv 2408.11869,https://arxiv.org/abs/2408.11869,Too recent,https://ojs.aaai.org/index.php/AAAI/article/view/34622,Code public + weights closed,https://github.com/JiaangL/ELDER,"Jiaang Li et al.; University of Science and Technology of China (USTC); AAAI 2025","AAAI 2025; USTC (jali@mail.ustc.edu.cn confirmed); Yongdong Zhang + Zhendong Mao co-authors",text,no scale claim — research (AAAI 2025),LLM-arbitrate (LoRA-mixing via router network),below detection threshold
WISE,Parametric & latent,no data — searched S2 arxiv 2405.14768,https://arxiv.org/abs/2405.14768,Too recent,https://openreview.net/forum?id=VJMYOfJVC2,Code public + weights closed,https://github.com/zjunlp/EasyEdit,"Peng Wang, Zexi Li, Ningyu Zhang, Ziwen Xu, Yunzhi Yao, Yong Jiang, Pengjun Xie, Fei Huang, Huajun Chen; Zhejiang University + Alibaba Group","NeurIPS 2024; Zhejiang University (lead: Ningyu Zhang, Huajun Chen) + Alibaba (Yong Jiang, Pengjun Xie, Fei Huang)",text,no scale claim — research (NeurIPS 2024),LLM-arbitrate (dual parametric memory: main params for pretrained + side memory for edited knowledge),below detection threshold
SDM Activations,Parametric & latent,1 cite (1/yr),https://www.semanticscholar.org/paper/0a9f66db4c03d95c617322a61c353a5719e7372e,Too recent,https://arxiv.org/abs/2509.12760,Paper only,no public code,"no data — searched arxiv.org/abs/2509.12760; author affiliations not confirmed in preview","arxiv preprint 2025-09; author affiliations not recovered",text,no scale claim — research,not applicable (activation-level architectural),below detection threshold
M+ (MemoryLLM),Parametric & latent,26 cites (26/yr),https://www.semanticscholar.org/paper/8a85ef6b1063972f873d99ce19fe31a0c02657bf,Too recent,https://arxiv.org/abs/2502.00592,Paper only,no public code,"no data — searched arxiv.org/abs/2502.00592; UCSD + Amazon affiliations noted in pros field","arxiv 2502.00592; UCSD + Amazon (partial from pros field); author names not confirmed",text,no scale claim — research,not applicable (architectural latent memory pool),below detection threshold
Memory³,Parametric & latent,39 cites (19/yr),https://www.semanticscholar.org/paper/2c4f702a4bbb733e1abfb722c5c74fa15aa85ee5,No reproductions found,https://arxiv.org/abs/2407.01178,Paper only,no public code,"Hongkang Yang, Zehao Lin, Wenjin Wang et al.; Renmin University of China + MemTensor (Shanghai) Technology + Shanghai Jiao Tong University + China Telecom Research Institute","arxiv 2407.01178; Renmin U + MemTensor Shanghai + SJTU + China Telecom",text,no scale claim — research,not applicable (architectural explicit memory — three-tier hierarchy),below detection threshold
MemGen,Parametric & latent,39 cites (39/yr),https://www.semanticscholar.org/paper/50daa134ce31d75c34d6ffd2b93300954b48984d,Too recent,https://arxiv.org/abs/2509.24704,Paper only,no public code,"no data — searched arxiv.org/abs/2509.24704; author affiliations not found in preview","arxiv 2509.24704; lab/institution not recovered",text,no scale claim — research,LLM-arbitrate (generative latent),below detection threshold
MEM1,Parametric & latent,103 cites (103/yr),https://www.semanticscholar.org/paper/6c5f3dd82ee674d929a8eb4b256ca2045e02ae60,Too recent,https://openreview.net/forum?id=XY8AaxDSLb,Code public + weights closed,https://github.com/MIT-MI/MEM1,"NUS Singapore; arxiv 2506.15841","NUS Singapore confirmed in founders field; arxiv 2506.15841",text,no scale claim — research,LLM-arbitrate (synergised memory+reasoning),below detection threshold
RazorAttention,Parametric & latent,no data — searched S2 arxiv 2407.15891 (ICLR 2025),https://openreview.net/forum?id=tkiZQlL04w,Too recent — ICLR 2025,https://openreview.net/forum?id=tkiZQlL04w,Paper only — no official code found,no data,"Hanlin Tang (ByteDance / Alibaba), Yang Lin, Jing Lin, Qingsen Han, Shikuan Hong, Yiwu Yao, Gongyi Wang; primarily ByteDance","ICLR 2025; Hanlin Tang at ByteDance Inc. (2024–2025) then Alibaba (2025–2026); co-authors' institutions not confirmed",text,no scale claim — research (ICLR 2025),not applicable (KV-cache compression; no user write),below detection threshold
SnapKV,Parametric & latent,63 cites (31/yr),https://arxiv.org/abs/2404.14469,Independently reproduced,https://neurips.cc/virtual/2024/poster/93531,Code public + weights closed,https://github.com/FasterDecoding/SnapKV,"Yuhong Li, Yingbing Huang, Bowen Yang, Bharat Venkitesh, Acyr Locatelli, Hanchen Ye, Tianle Cai, Patrick Lewis, Deming Chen; University of Illinois Urbana-Champaign (UIUC)","NeurIPS 2024; UIUC (Deming Chen — Abel Bliss Professor; Yuhong Li PhD 2024 at UIUC under Deming Chen)",text,no scale claim — research (NeurIPS 2024),not applicable (KV-cache pre-selection; no user write),below detection threshold
