record_id,record_name,column,new_value,citation_url,status,resolution_method
github-copilot-custom-instructions--gh-copilot-customizing-copilot,GitHub Copilot custom instructions,created,2024 (public preview launched October 2024 in VS Code; .github/copilot-instructions.md format),https://github.blog/changelog/label/copilot,real-data,vendor-page
github-copilot-custom-instructions--gh-copilot-customizing-copilot,GitHub Copilot custom instructions,latest-release,n/a — vendor feature of GitHub Copilot (not a versioned repo); rolling updates via Copilot changelog,https://github.blog/changelog/label/copilot,not-applicable,structurally-na
github-copilot-custom-instructions--gh-copilot-customizing-copilot,GitHub Copilot custom instructions,license,n/a — feature of GitHub Copilot (proprietary); instructions files are user-owned under repo license,https://docs.github.com/en/copilot/how-tos/configure-custom-instructions/add-repository-instructions,not-applicable,structurally-na
nomi-ai--nomi-ai,Nomi AI,created,"2023 (beta.nomi.ai live by May 2023 per Wayback Machine; built by Glimpse-AI)",https://web.archive.org/web/20230520025116/https://nomi.ai/,real-data,web-research
acuvity-now-proofpoint--acuvity-ai,Acuvity (now Proofpoint),a2a-support,"no data — searched proofpoint.com/us/platform/ai-security, acuvity.ai/, acuvity.ai/integrations/, acuvity.ai/blog/; A2A protocol not advertised",https://www.proofpoint.com/us/platform/ai-security,depth-floor-reached,depth-floor-confirmed
acuvity-now-proofpoint--acuvity-ai,Acuvity (now Proofpoint),import-export,"Exportable structured audit logs (event lineage, decisions, redactions) for audits and investigations",https://acuvity.ai/ai-runtime-security/,real-data,vendor-page
acuvity-now-proofpoint--acuvity-ai,Acuvity (now Proofpoint),mcp-support,"Yes — Secure MCP servers (Model Context Protocol) is a core capability; protects MCP-based agent integrations",https://www.proofpoint.com/us/platform/ai-security,real-data,vendor-page
acuvity-now-proofpoint--acuvity-ai,Acuvity (now Proofpoint),otel,"no data — searched acuvity.ai, proofpoint.com/us/platform/ai-security, docs.acuvity.ai; OpenTelemetry export not advertised",https://acuvity.ai/ai-runtime-security/,depth-floor-reached,depth-floor-confirmed
acuvity-now-proofpoint--acuvity-ai,Acuvity (now Proofpoint),webhooks,"no data — searched acuvity.ai, proofpoint.com/us/platform/ai-security, docs.acuvity.ai; webhook events not advertised",https://acuvity.ai/ai-runtime-security/,depth-floor-reached,depth-floor-confirmed
enkrypt-ai--enkryptai-com,Enkrypt AI,a2a-support,"no data — searched enkryptai.com, enkryptai.com/platform/capabilities/ai-risk-removal, docs.enkryptai.com; A2A protocol not advertised",https://docs.enkryptai.com/,depth-floor-reached,depth-floor-confirmed
enkrypt-ai--enkryptai-com,Enkrypt AI,import-export,"Postman Collection (import-ready API collection) for integrating with Enkrypt AI services",https://docs.enkryptai.com/,real-data,vendor-page
enkrypt-ai--enkryptai-com,Enkrypt AI,mcp-support,"Yes — MCP Hub: vulnerability scanning for MCP (Model Context Protocol) servers; source-based + hosted scans; MCP Registry",https://docs.enkryptai.com/,real-data,vendor-page
