system_name,field_name,value,source_url
Notion AI,founders,"Ivan Zhao (CEO; ex-Inkling; cognitive science & fine arts UBC) and Simon Last (CTO; CS University of Maryland; ex-Space Telescope Science Institute); COO Akshay Kothari joined 2018","https://www.notion.com/blog/first-block-with-ivan-zhao-simon-last"
RemNote AI,created,2019 (MIT; bootstrapped to seed round Sept 2021),https://www.crunchbase.com/organization/remnote
RemNote AI,founders,"Martin Schneider and Moritz Wallawitsch (both ex-MIT)","https://tracxn.com/d/companies/remnote/__pkmbbTKPIkdaaF4R9QAZwWsj0jhfK_vRow3VgYGAP3c/founders-and-board-of-directors"
RemNote AI,compliance,no data — searched not found,https://www.remnote.com/privacy
RemNote AI,data_handling,no data — no public data-handling statement found,https://www.remnote.com/privacy
Obsidian Smart Connections,pricing,"Free core plugin; Pro (all-access) subscription — 14-day free trial then paid; Founding Supporter one-time lifetime option; exact $ not public on web","https://smartconnections.app/pro-plugins/"
Obsidian Smart Connections,deployment,Both (local-first plugin; optional cloud LLM APIs),https://github.com/brianpetro/obsidian-smart-connections
Obsidian Smart Connections,hq,US (Brian Petro / WFH Brian — US-based solo developer),https://wfhbrian.com/
Obsidian Smart Connections,compliance,not applicable — OSS plugin; no formal certifications,https://github.com/brianpetro/obsidian-smart-connections
Obsidian Smart Connections,data_handling,"Local-first; embeddings stored in vault; cloud LLM calls optional and user-configured; no data collected by plugin author by default","https://github.com/brianpetro/obsidian-smart-connections"
Obsidian Smart Connections,founders,Brian Petro (solo maintainer; US-based),https://wfhbrian.com/
Obsidian Smart Connections,customers,no data — open-source plugin; no commercial customers,https://github.com/brianpetro/obsidian-smart-connections
Obsidian Smart Connections,mindshare,4.9k GitHub stars; no public HN count found,https://github.com/brianpetro/obsidian-smart-connections
Tana,compliance,GDPR-compliant; contractual prohibition on providers using customer data for model training,https://tana.inc/pages/terms-privacy-security
Tana,data_handling,Never trains on customer data (contractual obligation with all AI providers; GDPR-compliant data transfers),https://tana.inc/pages/terms-privacy-security
Tana,founders,"Tarjei Munthe Vassbotn (CEO; ex-Google), Olav Sindre Kriken, Grim Iversen; Oslo Norway","https://techcrunch.com/2025/02/03/tana-snaps-up-25m-with-its-ai-powered-knowledge-graph-for-work-racking-up-a-160k-waitlist/"
Logseq,pricing,Free (open-source; all local features free; future Logseq Pro cloud sync planned as paid),https://discuss.logseq.com/t/what-is-logseqs-business-model/389
Logseq,compliance,Privacy-first positioning; GDPR compliance concern raised re default data-sharing (GitHub issue #11781 March 2025),https://github.com/logseq/logseq/issues/11781
Logseq,data_handling,Local-first; notes stored as Markdown/Org-mode files on disk; no server transmission by default,https://logseq.com/
Logseq,deployment,Both (desktop app local-first; optional sync add-on planned),https://logseq.com/
Logseq,hq,US (New York; incorporated 2020),https://www.crunchbase.com/organization/logseq
Logseq,founders,"Tienson Qin (original creator), ZhiYuan Chen, Huang Peng, An Vu (ex-NASA/JPL)","https://blog.logseq.com/logseq-raises-4-1m-to-accelerate-growth-of-the-new-world-knowledge-graph/"
Logseq,funding,$4.1M seed (May 2022); investors include Patrick Collison (Stripe CEO) and Tobias Lütke (Shopify CEO),https://blog.logseq.com/logseq-raises-4-1m-to-accelerate-growth-of-the-new-world-knowledge-graph/
Logseq,customers,no data — open-source tool; no commercial customer list,https://logseq.com/
Capacities,created,2022 (St. Wendel / Stuttgart Germany),https://www.crunchbase.com/organization/capacities
Capacities,funding,Bootstrapped; no external VC funding; subscription-supported,https://capacities.io/believer/
Capacities,customers,no data — bootstrapped indie tool; no published customer count,https://capacities.io/
Capacities,pricing,"Free tier + Pro ~€7.99–9.99/mo; Believer €12.49/mo (annual) — from product claims row",https://capacities.io/
Capacities,compliance,GDPR-compliant; data stored in EU; encrypted at rest (AES-256 equivalent) and in transit (TLS),https://docs.capacities.io/more/data-protection
Capacities,data_handling,Never sells or uses data for advertising; no data monetization; AI calls encrypted and minimal data transmitted,https://docs.capacities.io/more/data-protection
Capacities,deployment,Managed-only,https://capacities.io/
Capacities,hq,DE (Stuttgart / St. Wendel Germany),https://www.crunchbase.com/organization/capacities
Capacities,founders,"Michael von Hohnhorst and Steffen Bleher (100% owner-operated; bootstrapped indie team)","https://nesslabs.com/capacities-featured-tool-update"
Heptabase,created,2021 (YC W22),https://www.ycombinator.com/companies/heptabase
Heptabase,funding,"$1.7M seed (HOF Capital, YC, Kleiner Perkins, Moving Capital, Taiwan Tonic Fund)",https://www.ycombinator.com/companies/heptabase
Heptabase,customers,no data — bootstrapped to $200K/mo ARR; no named enterprise customers,https://www.starterstory.com/heptabase-breakdown
Heptabase,pricing,"Pro $8.99/mo (annual); Premium $17.99/mo (annual) — from product claims row",https://heptabase.com/
Heptabase,compliance,no formal certifications listed; AWS-hosted; AES-256 at rest; SSL/TLS in transit,https://support.heptabase.com/en/articles/10448141-is-my-data-safe-in-heptabase
Heptabase,data_handling,Never trains AI models on user content; third-party AI providers bound by data protection agreements,https://heptabase.com/privacy_policy
Heptabase,deployment,Managed-only,https://heptabase.com/
Heptabase,hq,TW (Taiwan; US-incorporated via YC),https://www.ycombinator.com/companies/heptabase
Heptabase,founders,"Yu-An (Alan) Chan (CEO; co-founder; NTU + Minerva University)","https://nesslabs.com/heptabase-featured-tool"
Craft AI,created,2019,https://www.crunchbase.com/organization/craft-cacb
Craft AI,funding,no data — raised $12.2M (Skyscanner founder-backed) per TFN but Crunchbase shows seed-level; exact total unclear,https://techfundingnews.com/craft-docs-snaps-12-2m-to-let-companies-create-and-share-beautiful-documents/
Craft AI,customers,no data — no public customer count found,https://www.craft.do/
Craft AI,pricing,"Free; Plus $8/mo; Team $50/mo flat (up to 25 members) — from product claims row",https://www.craft.do/
Craft AI,compliance,SOC 2 Type II,https://www.craft.do/blog/craft-soc-2-announcement
Craft AI,data_handling,Never sells data or uses it for advertising; data protected from third-party access,https://www.craft.do/security
Craft AI,deployment,Managed-only,https://www.craft.do/
Craft AI,hq,HU (Budapest Hungary),https://www.crunchbase.com/organization/craft-cacb
Craft AI,founders,"Balint Orosz (CEO & Founder; ex-Apple; iOS engineer background)","https://www.crunchbase.com/person/balint-orosz"
Mymind,created,2020,https://mymind.com/mymind-inc-creates-the-first-and-only-extension-for-your-brain
Mymind,funding,Bootstrapped; self-funded; zero outside investment (founders explicitly state),https://mymind.com/mymind-pricing-why-pay-for-an-app-when-others-are-free
Mymind,customers,no data — subscription-only indie tool; no published user count,https://access.mymind.com/pricing
Mymind,pricing,"Student of Life $6.99/mo; Mastermind $12.99/mo; Free guest (100 cards permanent)","https://access.mymind.com/pricing"
Mymind,compliance,no formal certifications found; privacy-first positioning,https://mymind.com/mymind-privacy
Mymind,data_handling,no data — no explicit public data handling statement found beyond privacy-first claims,https://mymind.com/mymind-privacy
Mymind,deployment,Managed-only,https://access.mymind.com/
Mymind,hq,US (New York area; founders internationally distributed),https://tracxn.com/d/companies/mymind/__Lq0C1VY7XW_0Xz7ukMXuZlE4gm6aBAeKZeWEAVOIFis
Mymind,founders,"Tobias van Schneider (designer; ex-Spotify; ex-R/GA) and Jason Nelson (co-founder)","https://tracxn.com/d/companies/mymind/__Lq0C1VY7XW_0Xz7ukMXuZlE4gm6aBAeKZeWEAVOIFis#founders-and-board-of-directors"
Mymind,mindshare,no data — below detection threshold,https://access.mymind.com/
Supernotes AI,created,2018 (London UK),https://supernotes.app/blog/posts/story-behind-supernotes/
