source,record_id,column,incoming_value,incoming_citation,incoming_status,action,reason
quintet,0-5-physical-intelligence--pi-website,desc,"Extends π0 with MEM layer giving the policy short-term (within-task) + long-term (cross-task, >10-min horizon) memory. Co-trained on robot teleoperation + human",https://www.pi.website/blog/pi05,real-data,apply-citation,value unchanged; backfill citation
quintet,0-5-physical-intelligence--pi-website,type,Multi-Scale Embodied Memory (short + long episodic),https://www.pi.website/blog/pi05,real-data,apply-citation,value unchanged; backfill citation
quintet,0-5-physical-intelligence--pi-website,pros,Generalist robot policy with strong simulation-to-real transfer; memory is implicit in the policy network rather than explicit external store.,https://www.pi.website/blog/pi05,real-data,apply-citation,value unchanged; backfill citation
quintet,0-5-physical-intelligence--pi-website,cons,Implicit memory is harder to inspect or edit; embodied agent only — not generalizable to LLM agents.,https://www.pi.website/blog/pi05,real-data,apply-citation,value unchanged; backfill citation
quintet,0-5-physical-intelligence--pi-website,links,π0.5 blog paper,https://www.pi.website/blog/pi05,real-data,apply-citation,value unchanged; backfill citation
quintet,a-mem--gh-wujiangxu-a-mem,desc,Treats memories as atomic linkable notes — explicit nod to Zettelkasten knowledge management. Dynamic linking; retroactive memory revision.,https://github.com/WujiangXu/A-mem,real-data,apply-citation,value unchanged; backfill citation
quintet,a-mem--gh-wujiangxu-a-mem,type,Atomic-note / Zettelkasten-style,https://github.com/WujiangXu/A-mem,real-data,apply-citation,value unchanged; backfill citation
quintet,a-mem--gh-wujiangxu-a-mem,pros,Adaptive memory with explicit policy for what to remember vs forget.,https://github.com/WujiangXu/A-mem,real-data,apply-citation,value unchanged; backfill citation
quintet,a-mem--gh-wujiangxu-a-mem,cons,Research-only; no production deployment.,https://github.com/WujiangXu/A-mem,real-data,apply-citation,value unchanged; backfill citation
quintet,a-mem--gh-wujiangxu-a-mem,links,GitHub WujiangXu/A-mem arxiv 2502.12110 NeurIPS 2025 poster,https://github.com/WujiangXu/A-mem,real-data,apply-citation,value unchanged; backfill citation
quintet,abridge--abridge-com,desc,Clinician-assist ambient documentation. Source mapping: every AI-generated summary element traced back to the source utterance. Audit-and-trust layer over episo,https://www.abridge.com/,real-data,apply-citation,value unchanged; backfill citation
quintet,abridge--abridge-com,type,Grounded-transcript provenance,https://www.abridge.com/,real-data,apply-citation,value unchanged; backfill citation
quintet,abridge--abridge-com,pros,Strongest published evidence for clinical-encounter memory accuracy; multi-EMR integrations and large hospital deployments.,https://www.abridge.com/,real-data,apply-citation,value unchanged; backfill citation
quintet,abridge--abridge-com,cons,Enterprise sales motion only; longitudinal cross-visit memory layered on top of single-encounter scribing rather than the architecture's primary unit.,https://www.abridge.com/,real-data,apply-citation,value unchanged; backfill citation
quintet,abridge--abridge-com,links,abridge.com,https://www.abridge.com/,real-data,apply-citation,value unchanged; backfill citation
quintet,acon--arxiv-2510-00615,desc,Optimises context compression for long-horizon LLM agents.,https://arxiv.org/abs/2510.00615,real-data,apply-citation,value unchanged; backfill citation
quintet,acon--arxiv-2510-00615,type,Context-compression optimisation,https://arxiv.org/abs/2510.00615,real-data,apply-citation,value unchanged; backfill citation
quintet,acon--arxiv-2510-00615,pros,Agent-context-orchestration memory.,https://arxiv.org/abs/2510.00615,real-data,apply-citation,value unchanged; backfill citation
quintet,acon--arxiv-2510-00615,cons,Preprint; orchestration overhead in agent loops.,https://arxiv.org/abs/2510.00615,real-data,apply-citation,value unchanged; backfill citation
quintet,acon--arxiv-2510-00615,links,arxiv 2510.00615,https://arxiv.org/abs/2510.00615,real-data,apply-citation,value unchanged; backfill citation
quintet,activeloop-deep-lake--activeloop-ai,desc,Deep Memory feature optimises embedding space per use-case (+22% retrieval accuracy). Deep Lake PG unifies serverless Postgres (agent short-term state) + billio,https://activeloop.ai,real-data,apply-citation,value unchanged; backfill citation
quintet,activeloop-deep-lake--activeloop-ai,type,Multimodal vector + serverless Postgres,https://activeloop.ai,real-data,apply-citation,value unchanged; backfill citation
quintet,activeloop-deep-lake--activeloop-ai,pros,Multi-modal data lake (vectors + images + video) with version control — strong for ML data pipelines plus memory.,https://activeloop.ai,real-data,apply-citation,value unchanged; backfill citation
quintet,activeloop-deep-lake--activeloop-ai,cons,Less developer-API-friendly than Pinecone / Weaviate; positioning straddles ML training and runtime memory.,https://activeloop.ai,real-data,apply-citation,value unchanged; backfill citation
quintet,activeloop-deep-lake--activeloop-ai,links,activeloop.ai,https://activeloop.ai,real-data,apply-citation,value unchanged; backfill citation
quintet,acuvity-now-proofpoint--acuvity-ai,desc,"Runtime enforcement targeting memory poisoning, unauthorised execution, identity spoofing per the OWASP LLM threat list. Visibility/control over MCP servers and",https://acuvity.ai/ai-runtime-security/,real-data,apply-citation,value unchanged; backfill citation
quintet,acuvity-now-proofpoint--acuvity-ai,type,MCP / Shadow-AI runtime enforcement,https://acuvity.ai/ai-runtime-security/,real-data,apply-citation,value unchanged; backfill citation
quintet,acuvity-now-proofpoint--acuvity-ai,pros,Enterprise DLP for AI products — protects against data exfiltration via memory writes/reads; backed by Proofpoint's enterprise channel.,https://acuvity.ai/ai-runtime-security/,real-data,apply-citation,value unchanged; backfill citation
quintet,acuvity-now-proofpoint--acuvity-ai,cons,Enterprise-tier pricing and complexity; smaller mind-share than Lakera or Microsoft Defender for AI.,https://acuvity.ai/ai-runtime-security/,real-data,apply-citation,value unchanged; backfill citation
quintet,acuvity-now-proofpoint--acuvity-ai,links,acuvity.ai Proofpoint acquisition,https://acuvity.ai/ai-runtime-security/,real-data,apply-citation,value unchanged; backfill citation
quintet,adaptive-rag--gh-starsuzi-adaptive-rag,desc,"Smaller classifier LM predicts query complexity, then routes to no-retrieval / single-step / iterative retrieval as appropriate. NAACL 2024.",https://github.com/starsuzi/Adaptive-RAG,real-data,apply-citation,value unchanged; backfill citation
quintet,adaptive-rag--gh-starsuzi-adaptive-rag,type,Query-complexity routing,https://github.com/starsuzi/Adaptive-RAG,real-data,apply-citation,value unchanged; backfill citation
quintet,adaptive-rag--gh-starsuzi-adaptive-rag,pros,Query-adaptive routing across retrieval strategies — picks the right method per question.,https://github.com/starsuzi/Adaptive-RAG,real-data,apply-citation,value unchanged; backfill citation
quintet,adaptive-rag--gh-starsuzi-adaptive-rag,cons,Routing decisions can be wrong; adds inference cost.,https://github.com/starsuzi/Adaptive-RAG,real-data,apply-citation,value unchanged; backfill citation
quintet,adaptive-rag--gh-starsuzi-adaptive-rag,links,GitHub starsuzi/Adaptive-RAG arxiv 2403.14403 ACL Anthology (NAACL),https://github.com/starsuzi/Adaptive-RAG,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-kb--arxiv-2507-06229,desc,Leverages cross-domain experience for agentic problem solving.,https://arxiv.org/abs/2507.06229,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-kb--arxiv-2507-06229,type,Cross-domain experience KB,https://arxiv.org/abs/2507.06229,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-kb--arxiv-2507-06229,pros,Knowledge-base memory for agent task experience.,https://arxiv.org/abs/2507.06229,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-kb--arxiv-2507-06229,cons,Preprint; KB curation overhead.,https://arxiv.org/abs/2507.06229,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-kb--arxiv-2507-06229,links,arxiv 2507.06229,https://arxiv.org/abs/2507.06229,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-s--arxiv-2410-08164,desc,Open agentic framework that uses computers like a human.,https://arxiv.org/abs/2410.08164,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-s--arxiv-2410-08164,type,Open agentic computer-use framework,https://arxiv.org/abs/2410.08164,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-s--arxiv-2410-08164,pros,Computer-use agent with explicit screen-history memory.,https://arxiv.org/abs/2410.08164,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-s--arxiv-2410-08164,cons,Preprint; screen-history scales aggressively.,https://arxiv.org/abs/2410.08164,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-s--arxiv-2410-08164,links,arxiv 2410.08164,https://arxiv.org/abs/2410.08164,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-workflow-memory--openreview-net,desc,Workflow-based memory framework component.,https://openreview.net/forum?id=NTAhi2JEEE,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-workflow-memory--openreview-net,type,Workflow as memory,https://openreview.net/forum?id=NTAhi2JEEE,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-workflow-memory--openreview-net,pros,"Workflow-pattern abstraction means agents recall multi-step procedures, not just facts.",https://openreview.net/forum?id=NTAhi2JEEE,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-workflow-memory--openreview-net,cons,Workflow-shaped scope; less applicable to free-form recall.,https://openreview.net/forum?id=NTAhi2JEEE,real-data,apply-citation,value unchanged; backfill citation
quintet,agent-workflow-memory--openreview-net,links,OpenReview,https://openreview.net/forum?id=NTAhi2JEEE,real-data,apply-citation,value unchanged; backfill citation
quintet,agentevolver--arxiv-2511-10395,desc,Towards an efficient self-evolving agent system.,https://arxiv.org/abs/2511.10395,real-data,apply-citation,value unchanged; backfill citation
quintet,agentevolver--arxiv-2511-10395,type,Efficient self-evolving agent system,https://arxiv.org/abs/2511.10395,real-data,apply-citation,value unchanged; backfill citation
quintet,agentevolver--arxiv-2511-10395,pros,Agent that evolves its own memory architecture.,https://arxiv.org/abs/2511.10395,real-data,apply-citation,value unchanged; backfill citation
quintet,agentevolver--arxiv-2511-10395,cons,Preprint; evolutionary stability concerns.,https://arxiv.org/abs/2511.10395,real-data,apply-citation,value unchanged; backfill citation
quintet,agentevolver--arxiv-2511-10395,links,arxiv 2511.10395,https://arxiv.org/abs/2511.10395,real-data,apply-citation,value unchanged; backfill citation
quintet,agentfold--arxiv-2510-24699,desc,Long-horizon web agents with proactive context management.,https://arxiv.org/abs/2510.24699,real-data,apply-citation,value unchanged; backfill citation
quintet,agentfold--arxiv-2510-24699,type,Proactive context management,https://arxiv.org/abs/2510.24699,real-data,apply-citation,value unchanged; backfill citation
quintet,agentfold--arxiv-2510-24699,pros,Folded-context agent — compresses old context into summary memory.,https://arxiv.org/abs/2510.24699,real-data,apply-citation,value unchanged; backfill citation
quintet,agentfold--arxiv-2510-24699,cons,Preprint; folding-quality bounds long-horizon recall.,https://arxiv.org/abs/2510.24699,real-data,apply-citation,value unchanged; backfill citation
quintet,agentfold--arxiv-2510-24699,links,arxiv 2510.24699,https://arxiv.org/abs/2510.24699,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-memory--arxiv-2601-01885,desc,Learning unified long-term and short-term memory management.,https://arxiv.org/abs/2601.01885,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-memory--arxiv-2601-01885,type,Unified short + long-term management,https://arxiv.org/abs/2601.01885,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-memory--arxiv-2601-01885,pros,Agent-shaped memory with first-class read/write operations exposed to the agent loop.,https://arxiv.org/abs/2601.01885,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-memory--arxiv-2601-01885,cons,Preprint; agent-controlled memory quality bounds value.,https://arxiv.org/abs/2601.01885,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-memory--arxiv-2601-01885,links,arxiv 2601.01885,https://arxiv.org/abs/2601.01885,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-plan-caching-apc--neurips-cc,desc,"Extracts, stores, adapts, and reuses structured plan templates from planning stages of agent applications. NeurIPS 2025 poster.",https://neurips.cc/virtual/2025/poster/116166,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-plan-caching-apc--neurips-cc,type,Test-time plan-template memory,https://neurips.cc/virtual/2025/poster/116166,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-plan-caching-apc--neurips-cc,pros,Cache-aware planning reduces repeated work for similar tasks.,https://neurips.cc/virtual/2025/poster/116166,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-plan-caching-apc--neurips-cc,cons,Niche use case; cache-invalidation issues common in evolving domains.,https://neurips.cc/virtual/2025/poster/116166,real-data,apply-citation,value unchanged; backfill citation
quintet,agentic-plan-caching-apc--neurips-cc,links,NeurIPS 2025 poster,https://neurips.cc/virtual/2025/poster/116166,real-data,apply-citation,value unchanged; backfill citation
quintet,agentops--agentops-ai,desc,"When Mem0 is connected, gains Memory Operation Timeline, Search Analytics, Memory Growth tracking, Error Tracking per memory call. Standalone, records context a",https://www.agentops.ai/,real-data,apply-citation,value unchanged; backfill citation
quintet,agentops--agentops-ai,type,Operational metrics for agent memory,https://www.agentops.ai/,real-data,apply-citation,value unchanged; backfill citation
