record_id,column,action,before,after,source_csv,reason
github-copilot-custom-instructions--gh-copilot-customizing-copilot,created,apply-value,"{""value"": ""no data"", ""status"": ""real-data"", ""citation"": ""https://docs.github.com/en/copilot/how-tos/configure-custom-instructions/add-repository-instructions""}",2024 (public preview launched October 2024 in VS Code; .github/copilot-instructions.md format),fillable,
github-copilot-custom-instructions--gh-copilot-customizing-copilot,latest-release,apply-value,"{""value"": ""no data — repo … no data —"", ""status"": ""real-data"", ""citation"": ""https://docs.github.com/en/copilot/how-tos/configure-custom-instructions/add-repository-instructions""}",n/a — vendor feature of GitHub Copilot (not a versioned repo); rolling updates via Copilot changelog,fillable,
github-copilot-custom-instructions--gh-copilot-customizing-copilot,license,apply-value,"{""value"": ""no data — repo unreachable"", ""status"": ""real-data"", ""citation"": ""https://docs.github.com/en/copilot/how-tos/configure-custom-instructions/add-repository-instructions""}",n/a — feature of GitHub Copilot (proprietary); instructions files are user-owned under repo license,fillable,
nomi-ai--nomi-ai,created,apply-value,"{""value"": ""no data"", ""status"": ""real-data"", ""citation"": ""https://nomi.ai/""}",2023 (beta.nomi.ai live by May 2023 per Wayback Machine; built by Glimpse-AI),fillable,
acuvity-now-proofpoint--acuvity-ai,a2a-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://acuvity.ai/ai-runtime-security/""}","no data — searched proofpoint.com/us/platform/ai-security, acuvity.ai/, acuvity.ai/integrations/, acuvity.ai/blog/; A2A protocol not advertised",fillable,
acuvity-now-proofpoint--acuvity-ai,import-export,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://acuvity.ai/ai-runtime-security/""}","Exportable structured audit logs (event lineage, decisions, redactions) for audits and investigations",fillable,
acuvity-now-proofpoint--acuvity-ai,mcp-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://acuvity.ai/ai-runtime-security/""}",Yes — Secure MCP servers (Model Context Protocol) is a core capability; protects MCP-based agent integrations,fillable,
acuvity-now-proofpoint--acuvity-ai,otel,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://acuvity.ai/ai-runtime-security/""}","no data — searched acuvity.ai, proofpoint.com/us/platform/ai-security, docs.acuvity.ai; OpenTelemetry export not advertised",fillable,
acuvity-now-proofpoint--acuvity-ai,webhooks,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://acuvity.ai/ai-runtime-security/""}","no data — searched acuvity.ai, proofpoint.com/us/platform/ai-security, docs.acuvity.ai; webhook events not advertised",fillable,
enkrypt-ai--enkryptai-com,a2a-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.enkryptai.com/platform/capabilities/ai-risk-removal""}","no data — searched enkryptai.com, enkryptai.com/platform/capabilities/ai-risk-removal, docs.enkryptai.com; A2A protocol not advertised",fillable,
enkrypt-ai--enkryptai-com,import-export,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.enkryptai.com/platform/capabilities/ai-risk-removal""}",Postman Collection (import-ready API collection) for integrating with Enkrypt AI services,fillable,
enkrypt-ai--enkryptai-com,mcp-support,apply-value,"{""value"": ""searched not found — not advertised on vendor site"", ""status"": ""real-data"", ""citation"": ""https://www.enkryptai.com/platform/capabilities/ai-risk-removal""}",Yes — MCP Hub: vulnerability scanning for MCP (Model Context Protocol) servers; source-based + hosted scans; MCP Registry,fillable,
