row_name,column_class,new_value,citation_url,status
ACON,perf,"<span class=""signal-num"">54.5%</span> 8-objective QA peak-token reduction",https://arxiv.org/abs/2510.00615,deepened
Agent KB,perf,"<span class=""signal-num"">+18.7pp</span> smolagents pass@3 (GAIA/HLE/GPQA)<br><span class=""signal-num"">+4.0pp</span> OpenHands SWE-bench",https://arxiv.org/abs/2507.06229,deepened
Agent S,perf,"<span class=""signal-num"">20.58%</span> OSWorld success<br><span class=""signal-num"">+9.37pp</span> OSWorld vs GPT-4o",https://arxiv.org/abs/2410.08164,deepened
Agent Workflow Memory,perf,"<span class=""signal-num"">+24.6%</span> Mind2Web<br><span class=""signal-num"">+51.1%</span> WebArena (relative)",https://arxiv.org/abs/2409.07429,deepened
AgentEvolver,perf,no headline number — claims relative gain on AppWorld / BFCL-v3 vs Vanilla GRPO,https://arxiv.org/abs/2511.10395,no-empirical-benchmarks
AgentFold,perf,"<span class=""signal-num"">36.2%</span> BrowseComp<br><span class=""signal-num"">47.3%</span> BrowseComp-ZH",https://arxiv.org/abs/2510.24699,deepened
Agentic Memory,perf,"<span class=""signal-num"">54.31%</span> ALFWorld/SciWorld/PDDL/BabyAI/HotpotQA avg (Qwen3-4B)<br><span class=""signal-num"">+23.52pp</span> vs Mem0/A-Mem",https://arxiv.org/abs/2601.01885,deepened
Agentic Plan Caching (APC),perf,"<span class=""signal-num"">50.31%</span> serving-cost reduction<br><span class=""signal-num"">96.61%</span> of optimal performance",https://arxiv.org/abs/2506.14852,deepened
AI PERSONA,perf,"<span class=""signal-num"">8.29</span> PersonaBench helpfulness (k=3)<br><span class=""signal-num"">7.63</span> PersonaBench personalization",https://arxiv.org/abs/2412.13103,deepened
AiT (Associative Transformer),perf,no headline number — beats Coordination on Sort-of-CLEVR with fewer params,https://arxiv.org/abs/2309.12862,no-empirical-benchmarks
Alita,perf,"<span class=""signal-num"">75.15%</span> GAIA pass@1<br><span class=""signal-num"">87.27%</span> GAIA pass@3",https://arxiv.org/abs/2505.20286,deepened
Alita-G,perf,"<span class=""signal-num"">83.03%</span> GAIA pass@1<br><span class=""signal-num"">89.09%</span> GAIA pass@3",https://arxiv.org/abs/2510.23601,deepened
AlphaEdit,perf,"<span class=""signal-num"">32.85%</span> Counterfact Efficacy (LLaMA3)<br><span class=""signal-num"">30.60%</span> Generalization<br><span class=""signal-num"">+36.7%</span> avg over baselines",https://arxiv.org/abs/2410.02355,deepened
Arigraph,perf,no headline number — outperforms RL/memory baselines on text games,https://arxiv.org/abs/2407.04363,no-empirical-benchmarks
AriGraph,perf,no headline number — outperforms RL/memory baselines on text games,https://arxiv.org/abs/2407.04363,no-empirical-benchmarks
ARMT (Associative RMT),perf,"<span class=""signal-num"">79.9%</span> BABILong @ 50M tokens (single-fact QA)",https://arxiv.org/abs/2407.04841,deepened
ATLAS,perf,"<span class=""signal-num"">+80% acc</span> BABILong",https://arxiv.org/abs/2505.23735,unchanged-already-specific
BrowserAgent,perf,"<span class=""signal-num"">0.484</span> multi-hop QA avg LLM-judge (vs Search-R1 0.348)",https://arxiv.org/abs/2510.10666,deepened
Buffer of Thoughts,perf,"<span class=""signal-num"">+11%</span> Game of 24<br><span class=""signal-num"">+20%</span> Geometric Shapes<br><span class=""signal-num"">+51%</span> Checkmate-in-One",https://arxiv.org/abs/2406.04271,deepened
