system_name,field_name,value,source_url
Mem0,pricing,"Free + paid (free tier; Mem0 Platform paid tiers based on memory operations)",https://mem0.ai/pricing
Mem0,deployment,"Both (cloud-hosted managed + self-hosted Docker)",https://mem0.ai/blog/self-host-mem0-docker
Mem0,hq,"US (San Francisco)",https://www.crunchbase.com/organization/mem0ai
Mem0,compliance,"SOC 2 Type II, HIPAA-ready",https://mem0.ai/security
Mem0,data_handling,"Trains on de-identified/aggregated data per privacy policy; enterprise data controls not publicly detailed",https://mem0.ai/privacy-policy
Mem0,funding,"$24M total; $150M valuation; Series A Oct 2025; investors YC, Peak XV, Basis Set",https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
Mem0,customers,"AWS (exclusive memory provider for Agent SDK); 80k+ developer signups; enterprise unnamed",https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
Mem0,mindshare,"54.9k GitHub stars; +1.6k/mo; 57 HN posts; 12 inbound integrations; 4 press mentions",https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
Mem0,founders,"YC S24; co-founders Taranjeet Singh (built first GPT app store to 1M+ users) and Deshraj Yadav",https://techcrunch.com/2025/10/28/mem0-raises-24m-from-yc-peak-xv-and-basis-set-to-build-the-memory-layer-for-ai-apps/
Mem0,modalities,text,https://docs.mem0.ai/open-source/features/graph-memory
Mem0,volume_claim,"1B+ memories (vendor blog claims); 80k+ developer signups",https://mem0.ai/research
Mem0,conflict_resolution,LLM-arbitrate,https://docs.mem0.ai/open-source/features/graph-memory
Mem0,license,Apache-2.0,https://github.com/mem0ai/mem0/blob/main/LICENSE
Mem0,latest_release,"openclaw-v1.0.11 — 2026-04-29",https://github.com/mem0ai/mem0/releases/tag/openclaw-v1.0.11
Letta / MemGPT,pricing,"Free + paid (Letta Cloud; open-source self-hosted free)",https://www.letta.com/pricing
Letta / MemGPT,deployment,"Both (managed Letta Cloud + self-hosted OSS)",https://docs.letta.com/concepts/memgpt/
Letta / MemGPT,hq,"US (San Francisco)",https://www.letta.com/
Letta / MemGPT,compliance,"no data — searched not found",https://letta.com/
Letta / MemGPT,data_handling,"no data — searched not found",https://letta.com/
Letta / MemGPT,funding,"$10M total; $70M valuation; Seed Sept 2024",https://techcrunch.com/2024/09/23/letta-one-of-uc-berkeleys-most-anticipated-ai-startups-has-just-come-out-of-stealth/
Letta / MemGPT,customers,"~$1M ARR; 11–50 employees; no named enterprise customers disclosed",https://getlatka.com/companies/letta.com
Letta / MemGPT,mindshare,"no data — below detection threshold; 22.5k GitHub stars",https://github.com/letta-ai/letta
Letta / MemGPT,founders,"UC Berkeley Sky Computing Lab spin-off; co-founders Charles Packer and Sarah Wooders (both Berkeley PhD students)",https://techcrunch.com/2024/09/23/letta-one-of-uc-berkeleys-most-anticipated-ai-startups-has-just-come-out-of-stealth/
Letta / MemGPT,modalities,text,https://docs.letta.com/concepts/memgpt/
Letta / MemGPT,volume_claim,"no scale claim publicly stated",https://www.letta.com/blog/benchmarking-ai-agent-memory
Letta / MemGPT,conflict_resolution,LLM-arbitrate,https://docs.letta.com/concepts/memgpt/
Letta / MemGPT,license,Apache-2.0,https://github.com/letta-ai/letta/blob/main/LICENSE
Letta / MemGPT,latest_release,"0.16.7 — 2026-03-31",https://github.com/letta-ai/letta/releases/tag/0.16.7
Zep & Graphiti,pricing,"Free + paid (Zep Cloud; Graphiti OSS free)",https://www.getzep.com/pricing/
Zep & Graphiti,deployment,"Managed-only (Zep Cloud); Graphiti OSS is self-hosted",https://www.getzep.com/product/agent-memory/
Zep & Graphiti,hq,"US",https://www.crunchbase.com/organization/zep-software
Zep & Graphiti,compliance,"SOC 2 Type II; HIPAA BAA available on Enterprise tier",https://www.getzep.com/security/
