# Round 9 — Path B Bucket 2: Vertical / domain-specific AI memory deep-fill
# generated_by: scripts/path_b_bucket_2.py
# source: extraction/data-gaps.csv (section=Vertical / domain-specific AI memory, non-quintet)
# cells_filled: 1130
# cells_still_gap: 0
record_id,record_name,column,new_value,citation_url,status,gap_class_resolved
0-5-physical-intelligence--pi-website,π0.5 (Physical Intelligence),perf,π0.5 (Physical Intelligence): open-world generalisation results — clean unseen kitchens (vendor paper),https://www.physicalintelligence.company/blog/pi05,real-data,filled-perf
abridge--abridge-com,Abridge,perf,no public benchmark scores found — vendor-claim 1.5M+ medical-encounter dataset; no published WER / SOAP-accuracy metric,https://www.abridge.com/research,depth-floor-reached,filled-perf
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,perf,no public benchmark scores found — AWS Generative AI Competency partner; no public head-to-head benchmark,https://www.asapp.com/news,depth-floor-reached,filled-perf
benevolentai--benevolent-com,BenevolentAI,perf,"no public benchmark scores found — vendor cites drug-target identification successes (BEN-2293, BEN-8744); no public benchmark",https://www.benevolent.com/our-impact,depth-floor-reached,filled-perf
causaly--causaly-com,Causaly,perf,no public benchmark scores found — vendor cites 500M facts / 70M directional relationships; no QA benchmark,https://www.causaly.com/blog,depth-floor-reached,filled-perf
character-ai--character-ai,Character.ai,perf,no public benchmark scores found — vendor cites hundreds of millions of users + Google Shazeer team transfer; no public benchmark,https://blog.character.ai/,depth-floor-reached,filled-perf
charisma-ai--charisma-ai,Charisma.ai,perf,no public benchmark scores found — vendor cites Warner Bros / Sky / BBC clients; no public benchmark,https://charisma.ai/clients,depth-floor-reached,filled-perf
chatgpt-study-mode--openai-com,ChatGPT Study Mode,perf,no public benchmark scores found — OpenAI cites pilot at Cal State (CSU); no head-to-head learning-gains benchmark,https://openai.com/index/chatgpt-study-mode/,depth-floor-reached,filled-perf
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,perf,no public benchmark scores found — vendor cites Clio Duo AI integration; no public benchmark,https://www.clio.com/clio-duo/,depth-floor-reached,filled-perf
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),perf,no public benchmark scores found — vendor cites 5x faster legal research; no head-to-head public LegalBench result,https://legal.thomsonreuters.com/en/c/cocounsel,depth-floor-reached,filled-perf
