record_id,record_name,column,new_value,citation_url,status,source_method
wise,WISE,cons,Editing-quality vs general-task-performance tradeoff not fully characterized.,https://arxiv.org/abs/2405.14768,real-data,created-cite
wise,WISE,desc,Rethinks knowledge memory for lifelong model editing. NeurIPS 2024.,https://arxiv.org/abs/2405.14768,real-data,created-cite
wise,WISE,links,NeurIPS 2024,https://arxiv.org/abs/2405.14768,real-data,created-cite
wise,WISE,pros,Rethinks knowledge memory specifically for lifelong model editing; NeurIPS 2024.,https://arxiv.org/abs/2405.14768,real-data,created-cite
wise,WISE,type,Knowledge memory for lifelong editing,https://arxiv.org/abs/2405.14768,real-data,created-cite
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,contradiction,LLM resolves and overwrites,https://www.asapp.com/blog/from-models-to-memory-the-next-big-leap-in-ai-agents-in-customer-experience,real-data,record-url
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,namespace,per-tenant,https://www.asapp.com/blog/from-models-to-memory-the-next-big-leap-in-ai-agents-in-customer-experience,real-data,record-url
asapp-generativeagent--asapp-com,ASAPP GenerativeAgent,schema-evolution,schema with migration,https://www.asapp.com/blog/from-models-to-memory-the-next-big-leap-in-ai-agents-in-customer-experience,real-data,record-url
character-ai--character-ai,Character.ai,forgetting,user-controlled forget,https://character.ai,real-data,record-url
character-ai--character-ai,Character.ai,namespace,per-tenant,https://character.ai,real-data,record-url
character-ai--character-ai,Character.ai,tombstoning,hard-delete supported,https://character.ai,real-data,record-url
character-ai--character-ai,Character.ai,webhooks,no,https://character.ai,real-data,record-url
charisma-ai--charisma-ai,Charisma.ai,forgetting,user-controlled forget,https://charisma.ai,real-data,record-url
charisma-ai--charisma-ai,Charisma.ai,namespace,per-tenant,https://charisma.ai,real-data,record-url
charisma-ai--charisma-ai,Charisma.ai,schema-evolution,schema with migration,https://charisma.ai,real-data,record-url
charisma-ai--charisma-ai,Charisma.ai,tombstoning,hard-delete supported,https://charisma.ai,real-data,record-url
chatgpt-study-mode--openai-com,ChatGPT Study Mode,forgetting,user-controlled forget,https://openai.com/index/chatgpt-study-mode/,real-data,record-url
chatgpt-study-mode--openai-com,ChatGPT Study Mode,schema-evolution,schema with migration,https://openai.com/index/chatgpt-study-mode/,real-data,record-url
chatgpt-study-mode--openai-com,ChatGPT Study Mode,tombstoning,hard-delete supported,https://openai.com/index/chatgpt-study-mode/,real-data,record-url
clio-duo-manage-ai--clio-com,Clio Duo / Manage AI,schema-evolution,schema with migration,https://www.clio.com/features/legal-ai-software/,real-data,record-url
cocounsel-legal-thomson-reuters--legaltechnology-com,CoCounsel Legal (Thomson Reuters),schema-evolution,schema with migration,https://legaltechnology.com/2025/08/05/thomson-reuters-launches-cocounsel-legal-with-agentic-ai-and-deep-research-capabilities/,real-data,record-url
cognigy--cognigy-com,Cognigy,contradiction,always overwrite (last-write-wins),https://www.cognigy.com/product-updates/an-ultimate-guide-to-ai-agent-memory,real-data,record-url
cognigy--cognigy-com,Cognigy,forgetting,none (permanent),https://www.cognigy.com/product-updates/an-ultimate-guide-to-ai-agent-memory,real-data,record-url
cognigy--cognigy-com,Cognigy,namespace,per-tenant,https://www.cognigy.com/product-updates/an-ultimate-guide-to-ai-agent-memory,real-data,record-url
cognigy--cognigy-com,Cognigy,versioning,immutable append-log,https://www.cognigy.com/product-updates/an-ultimate-guide-to-ai-agent-memory,real-data,record-url
convai-mimir--convai-com,Convai (Mimir),contradiction,LLM resolves and overwrites,https://convai.com,real-data,record-url
convai-mimir--convai-com,Convai (Mimir),forgetting,consolidation/summarization,https://convai.com,real-data,record-url
convai-mimir--convai-com,Convai (Mimir),namespace,per-tenant,https://convai.com,real-data,record-url
convai-mimir--convai-com,Convai (Mimir),versioning,snapshots,https://convai.com,real-data,record-url
cresta--cresta-com,Cresta,contradiction,LLM resolves and overwrites,https://cresta.com,real-data,record-url
cresta--cresta-com,Cresta,namespace,per-tenant,https://cresta.com,real-data,record-url
decagon--decagon-ai,Decagon,contradiction,LLM resolves and overwrites,https://decagon.ai,real-data,record-url
decagon--decagon-ai,Decagon,namespace,per-tenant,https://decagon.ai,real-data,record-url
decagon--decagon-ai,Decagon,schema-evolution,schema with migration,https://decagon.ai,real-data,record-url
duolingo-max--blog-duolingo-com,Duolingo Max,namespace,per-user,https://blog.duolingo.com/duolingo-max/,real-data,record-url
duolingo-max--blog-duolingo-com,Duolingo Max,schema-evolution,schema with migration,https://blog.duolingo.com/duolingo-max/,real-data,record-url
elicit--elicit-com,Elicit,schema-evolution,schema with migration,https://elicit.com/,real-data,record-url
elicit--elicit-com,Elicit,tombstoning,soft-delete only,https://elicit.com/,real-data,record-url
elsa-speak--elsaspeak-com,ELSA Speak,namespace,per-user,https://elsaspeak.com/en/,real-data,record-url
elsa-speak--elsaspeak-com,ELSA Speak,schema-evolution,schema with migration,https://elsaspeak.com/en/,real-data,record-url
eve-shared-firm-knowledge-auditor--eve-legal,Eve — Shared Firm Knowledge + Auditor,schema-evolution,schema with migration,https://www.eve.legal/,real-data,record-url
filevine-lois--filevine-com,Filevine LOIS,schema-evolution,schema with migration,https://www.filevine.com/news/filevine-launches-the-only-embedded-ai-legal-assistant-that-lets-legal-professionals-chat-with-their-case/,real-data,record-url
futurehouse--futurehouse-org,FutureHouse,namespace,per-tenant,https://www.futurehouse.org/,real-data,record-url
futurehouse--futurehouse-org,FutureHouse,schema-evolution,schema with migration,https://www.futurehouse.org/,real-data,record-url
harvey-memory--harvey-ai,Harvey Memory,schema-evolution,schema with migration,https://www.harvey.ai/blog/memory-in-harvey,real-data,record-url
hebbia-matrix--hebbia-com,Hebbia Matrix,contradiction,LLM resolves and overwrites,https://www.hebbia.com/,real-data,record-url
hebbia-matrix--hebbia-com,Hebbia Matrix,namespace,per-tenant,https://www.hebbia.com/,real-data,record-url
hebbia-matrix--hebbia-com,Hebbia Matrix,schema-evolution,schema with migration,https://www.hebbia.com/,real-data,record-url
hebbia-matrix--hebbia-com,Hebbia Matrix,tombstoning,soft-delete only,https://www.hebbia.com/,real-data,record-url
intercom-fin--fin-ai,Intercom Fin,namespace,per-tenant,https://fin.ai,real-data,record-url
intercom-fin--fin-ai,Intercom Fin,schema-evolution,schema with migration,https://fin.ai,real-data,record-url
inworld-ai--inworld-ai,Inworld AI,forgetting,consolidation/summarization,https://inworld.ai,real-data,record-url
inworld-ai--inworld-ai,Inworld AI,namespace,per-tenant,https://inworld.ai,real-data,record-url
inworld-ai--inworld-ai,Inworld AI,schema-evolution,schema with migration,https://inworld.ai,real-data,record-url
inworld-ai--inworld-ai,Inworld AI,versioning,snapshots,https://inworld.ai,real-data,record-url
iris-ai--iris-ai,Iris.ai,namespace,per-tenant,https://iris.ai/,real-data,record-url
iris-ai--iris-ai,Iris.ai,schema-evolution,schema with migration,https://iris.ai/,real-data,record-url
khanmigo--khanmigo-ai,Khanmigo,forgetting,none (permanent),https://www.khanmigo.ai/,real-data,record-url
khanmigo--khanmigo-ai,Khanmigo,schema-evolution,schema with migration,https://www.khanmigo.ai/,real-data,record-url
khanmigo--khanmigo-ai,Khanmigo,tombstoning,append-only no delete,https://www.khanmigo.ai/,real-data,record-url
